"experiment","version","level","report","mean_objective","n","sd_objective","min_objective","max_objective"
"exp1","raw","8 squares",46,35,2,1.4142135623731,34,36
"exp1","raw","8 squares",48,31.875,8,3.44082631271701,25,36
"exp1","raw","12 squares",2,18,2,2.82842712474619,16,20
"exp1","raw","12 squares",5,16,1,NA,16,16
"exp1","raw","12 squares",6,22.6666666666667,3,5.5075705472861,17,28
"exp1","raw","12 squares",8,14.5,2,0.707106781186548,14,15
"exp1","raw","12 squares",9,18.75,4,5.5,14,24
"exp1","raw","12 squares",10,15.875,8,3.83359212376963,14,25
"exp1","raw","12 squares",11,17.25,12,2.89592189749027,14,23
"exp1","raw","12 squares",12,17.2,15,3.29935058545076,14,26
"exp1","raw","12 squares",13,17,15,2.95199690282455,14,23
"exp1","raw","12 squares",14,17.2727272727273,11,3.69028207840293,14,23
"exp1","raw","12 squares",15,17.2857142857143,14,3.1968390982,14,25
"exp1","raw","12 squares",16,19.125,24,3.74528689328915,14,30
"exp1","raw","12 squares",17,21.2916666666667,24,5.53627693661007,14,32
"exp1","raw","12 squares",18,19.1052631578947,38,4.58428262939509,14,32
"exp1","raw","12 squares",19,20.6666666666667,36,4.42718872423573,14,33
"exp1","raw","12 squares",20,22.4411764705882,34,5.97059043052917,14,34
"exp1","raw","12 squares",21,21.3157894736842,38,4.44245648601722,14,32
"exp1","raw","12 squares",22,22.8809523809524,42,4.95443817273293,14,34
"exp1","raw","12 squares",23,23.2391304347826,46,5.76265672762021,14,35
"exp1","raw","12 squares",24,23.7291666666667,48,5.54570787966016,14,36
"exp1","raw","12 squares",25,25.2045454545455,44,5.79727099171448,14,35
"exp1","raw","12 squares",26,25.9411764705882,51,5.45678207263542,14,36
"exp1","raw","12 squares",27,24.7818181818182,55,5.79811881718388,14,36
"exp1","raw","12 squares",28,27.6041666666667,48,4.725393525584,17,35
"exp1","raw","12 squares",29,26.7826086956522,46,5.45247362203925,14,36
"exp1","raw","12 squares",30,27.7073170731707,41,6.20178967088946,14,36
"exp1","raw","12 squares",31,27.09375,32,5.44390381157469,15,36
"exp1","raw","12 squares",32,28.9444444444444,36,5.44029644383699,14,36
"exp1","raw","12 squares",33,29.7037037037037,27,4.5133546692422,19,36
"exp1","raw","12 squares",34,30.7272727272727,33,4.8879490028585,15,36
"exp1","raw","12 squares",35,30.921052631579,38,4.64630966000056,19,36
"exp1","raw","12 squares",36,29.304347826087,23,5.44755810690104,17,36
"exp1","raw","12 squares",37,28.5555555555556,18,4.38207877371972,18,36
"exp1","raw","12 squares",38,31.0714285714286,14,5.35600720563492,17,36
"exp1","raw","12 squares",39,31.9473684210526,19,5.48202805346228,18,36
"exp1","raw","12 squares",40,32,14,4.50640569719286,20,36
"exp1","raw","12 squares",41,33.2,5,2.04939015319192,30,35
"exp1","raw","12 squares",42,32.4,10,3.06231575409489,27,36
"exp1","raw","12 squares",43,32.5454545454545,11,2.62158869251591,28,36
"exp1","raw","12 squares",44,33.6666666666667,6,3.32665998663324,27,36
"exp1","raw","12 squares",45,34,1,NA,34,34
"exp1","raw","12 squares",46,33.75,4,2.5,30,35
"exp1","raw","12 squares",48,32.5555555555556,9,3.24465372232196,27,36
"exp1","shift_removed","2 squares",5,20.5,2,7.77817459305202,15,26
"exp1","shift_removed","2 squares",6,15,1,NA,15,15
"exp1","shift_removed","2 squares",7,20,1,NA,20,20
"exp1","shift_removed","2 squares",8,14.5,2,0.707106781186548,14,15
"exp1","shift_removed","2 squares",9,18,3,2.64575131106459,16,21
"exp1","shift_removed","2 squares",10,14.6666666666667,3,0.577350269189626,14,15
"exp1","shift_removed","2 squares",11,17.8333333333333,12,5.67023060831878,14,34
"exp1","shift_removed","2 squares",12,18.0769230769231,13,3.37790710503655,14,24
"exp1","shift_removed","2 squares",13,19.3,10,6.12916525039639,14,31
"exp1","shift_removed","2 squares",14,17.952380952381,21,2.26883649644902,15,23
"exp1","shift_removed","2 squares",15,18.2162162162162,37,3.59888204196136,14,28
"exp1","shift_removed","2 squares",16,17.96875,32,3.03192023684342,14,25
"exp1","shift_removed","2 squares",17,17.3939393939394,33,3.07143486357958,14,25
"exp1","shift_removed","2 squares",18,20.5102040816327,49,4.81370633789422,14,34
"exp1","shift_removed","2 squares",19,19.3658536585366,41,3.63150173868178,14,29
"exp1","shift_removed","2 squares",20,22.2727272727273,44,5.15960894661888,15,35
"exp1","shift_removed","2 squares",21,21.7222222222222,54,4.05349449365148,14,33
"exp1","shift_removed","2 squares",22,21.6944444444444,36,3.74027840403392,14,31
"exp1","shift_removed","2 squares",23,24.5121951219512,41,5.02554450392946,14,34
"exp1","shift_removed","2 squares",24,23.2857142857143,49,4.7740618624675,14,36
"exp1","shift_removed","2 squares",25,23.5,42,5.22307264020692,14,35
"exp1","shift_removed","2 squares",26,27.3584905660377,53,4.05298721563511,17,35
"exp1","shift_removed","2 squares",27,27.7222222222222,36,4.74860046215791,18,36
"exp1","shift_removed","2 squares",28,29.4791666666667,48,4.27257251389895,19,36
"exp1","shift_removed","2 squares",29,28.8787878787879,33,4.91653826231918,19,36
"exp1","shift_removed","2 squares",30,28.9818181818182,55,3.60293557826736,19,36
"exp1","shift_removed","2 squares",31,29.2413793103448,29,4.21439007969627,15,36
"exp1","shift_removed","2 squares",32,30.8461538461538,39,4.20237064385569,21,36
"exp1","shift_removed","2 squares",33,31.6875,32,3.3929480948275,25,36
"exp1","shift_removed","2 squares",34,31.12,25,3.62077339804633,20,36
"exp1","shift_removed","2 squares",35,31.7777777777778,27,2.95261726574047,27,36
"exp1","shift_removed","2 squares",36,32.1785714285714,28,3.12757830145722,24,36
"exp1","shift_removed","2 squares",37,32.8125,16,2.78612634315101,26,36
"exp1","shift_removed","2 squares",38,34,7,1.15470053837925,32,35
"exp1","shift_removed","2 squares",39,33.8888888888889,9,2.08832734769028,30,36
"exp1","shift_removed","2 squares",40,33.5882352941176,17,1.5834623270468,30,36
"exp1","shift_removed","2 squares",41,33.5,6,2.58843582110896,29,36
"exp1","shift_removed","2 squares",42,32.8571428571429,7,4.29839394148448,24,36
"exp1","shift_removed","2 squares",43,34.6666666666667,3,1.15470053837925,34,36
"exp1","shift_removed","2 squares",44,32,4,3.91578004149024,27,36
"exp1","shift_removed","2 squares",45,32.5,4,4.50924975282289,26,36
