"bucket","bucket_label","array_length","condition","value","n_trials","direction"
34,"33-35","20","average",31.3174603174603,63,"reverse"
34,"33-35","20","experience",32.859649122807,57,"reverse"
37,"36-38","2","average",33,29,"reverse"
37,"36-38","2","experience",32.8421052631579,19,"reverse"
37,"36-38","10","average",32.6923076923077,39,"reverse"
37,"36-38","10","experience",31.8771929824561,57,"reverse"
37,"36-38","20","average",31.7857142857143,28,"reverse"
37,"36-38","20","experience",32.093023255814,43,"reverse"
40,"39-41","2","average",34.875,8,"reverse"
40,"39-41","2","experience",31,14,"reverse"
40,"39-41","10","average",34.7692307692308,13,"reverse"
40,"39-41","10","experience",30.9473684210526,19,"reverse"
40,"39-41","20","average",32.6,10,"reverse"
40,"39-41","20","experience",33.3125,16,"reverse"
43,"42-44","2","average",34.25,4,"reverse"
43,"42-44","2","experience",33,3,"reverse"
43,"42-44","10","average",32.6,5,"reverse"
43,"42-44","10","experience",33.8888888888889,9,"reverse"
43,"42-44","20","average",35,3,"reverse"
43,"42-44","20","experience",33,10,"reverse"
46,"45-47","2","experience",32,1,"reverse"
46,"45-47","10","experience",34,1,"reverse"
46,"45-47","20","experience",33.4,5,"reverse"
49,"48-50","2","average",34,1,"reverse"
49,"48-50","2","experience",32.3333333333333,3,"reverse"
49,"48-50","10","experience",34.5,2,"reverse"
49,"48-50","20","experience",32.6,5,"reverse"
13,"12-14","2","average",12,54,"forward"
13,"12-14","2","experience",11.7636363636364,55,"forward"
13,"12-14","10","average",15.0461538461538,65,"forward"
13,"12-14","10","experience",14.0425531914894,47,"forward"
13,"12-14","20","average",13.2272727272727,66,"forward"
13,"12-14","20","experience",14.4807692307692,52,"forward"
16,"15-17","2","average",13.5736842105263,190,"forward"
16,"15-17","2","experience",13.2700729927007,137,"forward"
16,"15-17","10","average",16.6534090909091,176,"forward"
16,"15-17","10","experience",16.2443181818182,176,"forward"
16,"15-17","20","average",15.119170984456,193,"forward"
16,"15-17","20","experience",15.1019108280255,157,"forward"
19,"18-20","2","average",15.685393258427,178,"forward"
19,"18-20","2","experience",15.5,146,"forward"
19,"18-20","10","average",19.0364583333333,192,"forward"
19,"18-20","10","experience",18.7852348993289,149,"forward"
19,"18-20","20","average",17.7908163265306,196,"forward"
19,"18-20","20","experience",17.31875,160,"forward"
22,"21-23","2","average",18.7018633540373,161,"forward"
22,"21-23","2","experience",18.3544973544974,189,"forward"
22,"21-23","10","average",21.0693641618497,173,"forward"
22,"21-23","10","experience",21.6267605633803,142,"forward"
22,"21-23","20","average",19.1948717948718,195,"forward"
22,"21-23","20","experience",19.6122448979592,147,"forward"
25,"24-26","2","average",20.7475247524752,202,"forward"
25,"24-26","2","experience",20.6626506024096,166,"forward"
25,"24-26","10","average",22.6153846153846,195,"forward"
25,"24-26","10","experience",24.0613496932515,163,"forward"
25,"24-26","20","average",21.8614457831325,166,"forward"
25,"24-26","20","experience",22.7987012987013,154,"forward"
28,"27-29","2","average",24.0738636363636,176,"forward"
28,"27-29","2","experience",23.3868613138686,137,"forward"
28,"27-29","10","average",25.4341463414634,205,"forward"
28,"27-29","10","experience",26.7852348993289,149,"forward"
28,"27-29","20","average",25.1657458563536,181,"forward"
28,"27-29","20","experience",24.8957055214724,163,"forward"
31,"30-32","2","average",25.6739130434783,184,"forward"
31,"30-32","2","experience",26.9444444444444,162,"forward"
31,"30-32","10","average",26.6722222222222,180,"forward"
31,"30-32","10","experience",28.4965517241379,145,"forward"
31,"30-32","20","average",26.5549450549451,182,"forward"
31,"30-32","20","experience",28.3441558441558,154,"forward"
34,"33-35","2","average",28.5970149253731,201,"forward"
34,"33-35","2","experience",28.6969696969697,132,"forward"
34,"33-35","10","average",30.1161290322581,155,"forward"
34,"33-35","10","experience",31.1870503597122,139,"forward"
34,"33-35","20","average",27.5652173913043,161,"forward"
34,"33-35","20","experience",31.5259259259259,135,"forward"
37,"36-38","2","average",29.9354838709677,62,"forward"
37,"36-38","2","experience",30.6578947368421,38,"forward"
37,"36-38","10","average",30.8333333333333,60,"forward"
37,"36-38","10","experience",31.9402985074627,67,"forward"
37,"36-38","20","average",29.5769230769231,52,"forward"
37,"36-38","20","experience",33.3478260869565,46,"forward"
