"participant_id","condition","array_length","n_sides","n_low","n_high","inward_low","inward_high","inward"
"average.65fa95fafeda35caf378b6f9","average","20",2,12,9,0.333333333333333,-2.77777777777778,-1.22222222222222
"average.6631a9caa7ecf621ae2ad49f","average","2",2,7,7,2.42857142857143,5.85714285714286,4.14285714285714
"average.6631a9caa7ecf621ae2ad49f","average","10",2,10,9,3.4,-0.555555555555556,1.42222222222222
"average.6631a9caa7ecf621ae2ad49f","average","20",2,4,8,5.25,-0.875,2.1875
"average.66450101a6a8f52f8b5db596","average","2",2,8,6,-5.125,2,-1.5625
"average.66450101a6a8f52f8b5db596","average","10",2,13,4,0.538461538461539,2.5,1.51923076923077
"average.66450101a6a8f52f8b5db596","average","20",2,13,6,-1.76923076923077,1.83333333333333,0.0320512820512822
"average.66463e4efb99fba5a67a010a","average","2",2,5,12,-4.8,0.5,-2.15
"average.66463e4efb99fba5a67a010a","average","10",2,9,5,4.11111111111111,-1.6,1.25555555555556
"average.66463e4efb99fba5a67a010a","average","20",2,9,5,0,1.8,0.9
"average.66707f3a4435f4e05d0940a1","average","2",2,11,6,-3.90909090909091,4.5,0.295454545454545
"average.66707f3a4435f4e05d0940a1","average","10",2,10,10,0.6,4.5,2.55
"average.66707f3a4435f4e05d0940a1","average","20",2,6,5,-1.33333333333333,2,0.333333333333333
"average.66a02d45a7db35d93c9f6a81","average","2",2,11,9,-1.27272727272727,11,4.86363636363636
"average.66a02d45a7db35d93c9f6a81","average","10",2,7,9,-1,8.66666666666667,3.83333333333333
"average.66a02d45a7db35d93c9f6a81","average","20",2,9,6,-0.333333333333333,12,5.83333333333333
"average.66c3366a3b5834b89124e85a","average","2",2,5,9,-0.6,7.66666666666667,3.53333333333333
"average.66c3366a3b5834b89124e85a","average","10",2,6,7,-3,3.85714285714286,0.428571428571428
"average.66c3366a3b5834b89124e85a","average","20",2,9,9,-4.66666666666667,7.55555555555556,1.44444444444444
"average.66ca18ce20c4af7baa912758","average","2",2,6,10,1.66666666666667,6.7,4.18333333333333
"average.66ca18ce20c4af7baa912758","average","10",2,3,16,2.66666666666667,4,3.33333333333333
"average.66ca18ce20c4af7baa912758","average","20",2,8,6,1,5.33333333333333,3.16666666666667
"average.66dcc0e54f44ccecf2730c76","average","2",2,13,9,0.307692307692308,5.44444444444444,2.87606837606838
"average.66dcc0e54f44ccecf2730c76","average","10",2,6,7,1.5,5.14285714285714,3.32142857142857
"average.66dcc0e54f44ccecf2730c76","average","20",2,9,4,-0.222222222222222,3,1.38888888888889
"average.671f12c5d2543b67c0f12e57","average","2",2,10,9,-4,6,1
"average.671f12c5d2543b67c0f12e57","average","10",2,8,6,-0.875,6.5,2.8125
"average.671f12c5d2543b67c0f12e57","average","20",2,12,7,-1.25,7.14285714285714,2.94642857142857
"average.67620128f5496ea07672039c","average","2",2,10,6,1.2,5.66666666666667,3.43333333333333
"average.67620128f5496ea07672039c","average","10",2,7,7,-4.42857142857143,1.42857142857143,-1.5
"average.67620128f5496ea07672039c","average","20",2,8,6,-4.5,7.5,1.5
"average.6766deef2e4e127d7fc3c293","average","2",2,7,5,-8.28571428571429,9.4,0.557142857142857
"average.6766deef2e4e127d7fc3c293","average","10",2,8,4,-4.75,9,2.125
"average.6766deef2e4e127d7fc3c293","average","20",2,8,9,-2.5,8.77777777777778,3.13888888888889
"average.676e13e5655cf7cc40923c54","average","2",2,11,8,-2.72727272727273,3.75,0.511363636363636
"average.676e13e5655cf7cc40923c54","average","10",2,6,9,1.83333333333333,2.22222222222222,2.02777777777778
"average.676e13e5655cf7cc40923c54","average","20",2,11,6,-0.363636363636364,4.5,2.06818181818182
"average.6784912ccf5664bd1c08be9f","average","2",2,6,9,0.666666666666667,0.444444444444444,0.555555555555556
"average.6784912ccf5664bd1c08be9f","average","10",2,5,10,3.2,4.2,3.7
"average.6784912ccf5664bd1c08be9f","average","20",2,8,9,4,5.22222222222222,4.61111111111111
"average.678f0bb28ec3307e4f1afb78","average","2",2,9,4,1,7,4
"average.678f0bb28ec3307e4f1afb78","average","10",2,6,7,1.83333333333333,4.14285714285714,2.98809523809524
"average.678f0bb28ec3307e4f1afb78","average","20",2,6,7,-0.5,5.71428571428571,2.60714285714286
"average.67e8e0c0be5802df7311d109","average","2",2,6,8,-4.83333333333333,8.875,2.02083333333333
"average.67e8e0c0be5802df7311d109","average","10",2,5,9,0.8,10.3333333333333,5.56666666666667
"average.67e8e0c0be5802df7311d109","average","20",2,7,10,2.14285714285714,9.5,5.82142857142857
"average.67eec9e200be02ad51843d9b","average","2",2,7,10,-3.14285714285714,1.2,-0.971428571428571
"average.67eec9e200be02ad51843d9b","average","10",2,12,9,2.5,1.11111111111111,1.80555555555556
"average.67eec9e200be02ad51843d9b","average","20",2,12,6,-0.833333333333333,4.83333333333333,2
"average.67f15a6eb321af2595c63b9b","average","2",2,3,10,-5.33333333333333,2.1,-1.61666666666667
"average.67f15a6eb321af2595c63b9b","average","10",2,11,4,-2.27272727272727,3.75,0.738636363636364
"average.67f15a6eb321af2595c63b9b","average","20",2,11,5,-3.81818181818182,1.8,-1.00909090909091
"average.682b8071ffc2da7edd49f10c","average","2",2,10,8,-1.8,6.5,2.35
"average.682b8071ffc2da7edd49f10c","average","10",2,15,3,1.6,12,6.8
"average.682b8071ffc2da7edd49f10c","average","20",2,8,12,-0.375,6,2.8125
"experience.583ec287ad2f4300014b355a","experience","2",2,6,11,-6.16666666666667,12.9090909090909,3.37121212121212
"experience.583ec287ad2f4300014b355a","experience","10",2,10,5,-0.9,14.2,6.65
"experience.583ec287ad2f4300014b355a","experience","20",2,7,8,-2.28571428571429,9.375,3.54464285714286
"experience.58a1fe40ea3d11000170d9b9","experience","2",2,6,9,1.83333333333333,6.33333333333333,4.08333333333333
"experience.58a1fe40ea3d11000170d9b9","experience","10",2,7,11,4.14285714285714,4,4.07142857142857
"experience.58a1fe40ea3d11000170d9b9","experience","20",2,8,8,2.625,5.125,3.875
"experience.59296fb2e8a7ff000163f033","experience","2",2,7,4,-4,11.75,3.875
"experience.59296fb2e8a7ff000163f033","experience","10",2,12,7,-1.58333333333333,6.71428571428571,2.56547619047619
"experience.59296fb2e8a7ff000163f033","experience","20",2,10,8,-1.1,7.75,3.325
"experience.5c2fcd716ea6880001dc8e3d","experience","2",2,4,7,-7,9,1
"experience.5c2fcd716ea6880001dc8e3d","experience","10",2,15,7,1.53333333333333,6.42857142857143,3.98095238095238
"experience.5c2fcd716ea6880001dc8e3d","experience","20",2,9,2,0.555555555555556,11,5.77777777777778
"experience.5c4a4b329ba9e00001ffc4f3","experience","2",2,9,8,-1.11111111111111,10.125,4.50694444444444
"experience.5c4a4b329ba9e00001ffc4f3","experience","10",2,10,7,-2.4,-0.142857142857143,-1.27142857142857
"experience.5c4a4b329ba9e00001ffc4f3","experience","20",2,11,10,0.909090909090909,0.200000000000001,0.554545454545455
"experience.5caf7f17a85c43001737b4b3","experience","2",2,5,10,-7.6,6.6,-0.5
"experience.5caf7f17a85c43001737b4b3","experience","10",2,9,5,5.11111111111111,3.2,4.15555555555556
"experience.5caf7f17a85c43001737b4b3","experience","20",2,9,7,-6.77777777777778,6.85714285714286,0.0396825396825395
"experience.5d17ce93ac37cd0019535088","experience","2",2,7,5,1.28571428571429,4.6,2.94285714285714
"experience.5d17ce93ac37cd0019535088","experience","10",2,6,11,6,-3.09090909090909,1.45454545454545
"experience.5d17ce93ac37cd0019535088","experience","20",2,8,9,5,0.111111111111111,2.55555555555556
"experience.5d6eea19b26c1100010cb6f3","experience","2",2,6,12,-2.83333333333333,2.66666666666667,-0.083333333333333
"experience.5d6eea19b26c1100010cb6f3","experience","10",2,13,8,-2.46153846153846,-0.375,-1.41826923076923
"experience.5d6eea19b26c1100010cb6f3","experience","20",2,3,9,-3,0,-1.5
"experience.5d88db42c1d06e001a1fdcab","experience","2",2,7,5,-7.14285714285714,10.2,1.52857142857143
"experience.5d88db42c1d06e001a1fdcab","experience","10",2,16,3,-4.5,9,2.25
"experience.5d88db42c1d06e001a1fdcab","experience","20",2,10,6,-4.8,8.66666666666667,1.93333333333333
"experience.5d982c7ef65bb80019cc6731","experience","2",2,5,9,-6.8,3.33333333333333,-1.73333333333333
"experience.5d982c7ef65bb80019cc6731","experience","10",2,6,7,-3,-0.428571428571428,-1.71428571428571
"experience.5d982c7ef65bb80019cc6731","experience","20",2,12,11,-2.75,-2.09090909090909,-2.42045454545455
"experience.5e84bd7c34d5d9072128fac1","experience","2",2,8,11,0,4.72727272727273,2.36363636363636
"experience.5e84bd7c34d5d9072128fac1","experience","10",2,6,11,2.83333333333333,3.45454545454545,3.14393939393939
"experience.5e84bd7c34d5d9072128fac1","experience","20",2,7,5,0.714285714285714,5.6,3.15714285714286
"experience.5e8a1827052175000938eb91","experience","2",2,7,7,-0.714285714285714,14.5714285714286,6.92857142857143
"experience.5e8a1827052175000938eb91","experience","10",2,8,10,0.875,8.3,4.5875
"experience.5e8a1827052175000938eb91","experience","20",2,8,8,0,12.25,6.125
"experience.5ee92b925f0f482bb1e73668","experience","2",2,8,5,1.75,2.8,2.275
"experience.5ee92b925f0f482bb1e73668","experience","10",2,7,6,2.85714285714286,1.66666666666667,2.26190476190476
"experience.5ee92b925f0f482bb1e73668","experience","20",2,8,7,3.625,1.42857142857143,2.52678571428571
"experience.5ef4d8b87faaa00c0dea0c4e","experience","2",2,11,6,-2.09090909090909,3.16666666666667,0.537878787878788
"experience.5ef4d8b87faaa00c0dea0c4e","experience","10",2,4,11,-2.75,5.18181818181818,1.21590909090909
