"experiment","condition","level","n_trials","item_sd_sd","item_sd","n_items","label","noise_var","slope","slope_se","ci_low","ci_high"
"exp4","average",5,3960,0.0906248830494533,4.7474399068525,10,"Experiment 4 - stimulus variance (SD 3/5/7)","variance_level",0.913701568911602,0.0314734513343282,0.851234077413045,0.97616906041016
"exp4","average",7,3960,0.0908205627213514,6.6471064313978,10,"Experiment 4 - stimulus variance (SD 3/5/7)","variance_level",0.777386222622505,0.0331378938458949,0.711634138831658,0.843138306413353
"exp4","experience",3,4320,0.0903553535186744,2.85940331834514,10,"Experiment 4 - stimulus variance (SD 3/5/7)","variance_level",1.09474662360703,0.0356289650543207,1.02404653057046,1.16544671664359
"exp4","experience",5,4320,0.0908060387925144,4.74684511854574,10,"Experiment 4 - stimulus variance (SD 3/5/7)","variance_level",0.965237516256722,0.0318567604817051,0.902014970279902,1.02846006223354
"exp4","experience",7,4320,0.091291200895431,6.64434466249104,10,"Experiment 4 - stimulus variance (SD 3/5/7)","variance_level",0.854693265970275,0.0335358315802942,0.788157602531765,0.921228929408785
"exp2_batch2","average",2,2056,0.47511267836638,3.97665369649805,2,"Partial snapshot of Experiment 2 (subset, not independent)","array_length",0.828119122104582,0.0309998713398078,0.766614153250602,0.889624090958563
"exp2_batch2","average",10,2068,0.197193884341858,5.91938280198376,10,"Partial snapshot of Experiment 2 (subset, not independent)","array_length",0.68980768625249,0.0322388167924565,0.625888703511293,0.753726668993686
"exp2_batch2","average",20,1952,0,5.5,20,"Partial snapshot of Experiment 2 (subset, not independent)","array_length",0.758160033616759,0.0299630319675583,0.698711512662901,0.817608554570617
"exp2_batch2","experience",2,1957,0.53375793792143,3.960909555442,2,"Partial snapshot of Experiment 2 (subset, not independent)","array_length",0.964336177102214,0.0344080623100338,0.896093658061592,1.03257869614284
"exp2_batch2","experience",10,1969,0.169019198299941,5.92770861261546,10,"Partial snapshot of Experiment 2 (subset, not independent)","array_length",0.826647258412807,0.0354039728086812,0.756445145718103,0.896849371107511
"exp2_batch2","experience",20,1856,0,5.5,20,"Partial snapshot of Experiment 2 (subset, not independent)","array_length",0.913617460280948,0.0333383119034309,0.847504031971123,0.979730888590773
"short_exposure","experience",2,1382,0.526499558828589,3.98227206946454,2,"Pilot - short exposure, experience only (2/10/20)","array_length",0.913424739189675,0.0392042000785848,0.833786614749306,0.993062863630044
"short_exposure","experience",10,1389,0.182369667244844,5.91973775824774,10,"Pilot - short exposure, experience only (2/10/20)","array_length",0.834592392561039,0.0353772673309776,0.762896712595429,0.906288072526649
"short_exposure","experience",20,1312,0,5.5,20,"Pilot - short exposure, experience only (2/10/20)","array_length",0.857653983495681,0.037926553426989,0.780727476433703,0.934580490557659
