"participant_id","condition","array_length","n_trials","r","z"
"average.66ca18ce20c4af7baa912758","average","2",32,0.684604265772166,0.83772890430827
"average.66ca18ce20c4af7baa912758","average","10",30,0.611209160098695,0.710849347414425
"average.66ca18ce20c4af7baa912758","average","20",30,0.553080024902991,0.622807899549497
"average.66dcc0e54f44ccecf2730c76","average","2",30,0.787872195116757,1.06579626384283
"average.66dcc0e54f44ccecf2730c76","average","10",27,0.728376947930175,0.925261399791061
"average.66dcc0e54f44ccecf2730c76","average","20",27,0.748367312622228,0.969233616398184
"average.671f12c5d2543b67c0f12e57","average","2",32,0.750482158427117,0.974058063062648
"average.671f12c5d2543b67c0f12e57","average","10",32,0.66893070544895,0.808805350815953
"average.671f12c5d2543b67c0f12e57","average","20",30,0.717450074190344,0.902370345643793
"average.67620128f5496ea07672039c","average","2",29,0.736816573585426,0.943478966599123
"average.67620128f5496ea07672039c","average","10",32,0.822755627112936,1.16528764884378
"average.67620128f5496ea07672039c","average","20",32,0.781209047158618,1.04846546598954
"average.6766deef2e4e127d7fc3c293","average","2",31,0.880758501537186,1.37913979860521
"average.6766deef2e4e127d7fc3c293","average","10",31,0.859131453994088,1.29001876987065
"average.6766deef2e4e127d7fc3c293","average","20",31,0.82469827165235,1.17133063524872
"average.676e13e5655cf7cc40923c54","average","2",32,0.867289064653537,1.32203480775054
"average.676e13e5655cf7cc40923c54","average","10",31,0.789078052363105,1.0689837814878
"average.676e13e5655cf7cc40923c54","average","20",30,0.703771961191939,0.874735156873201
"average.6784912ccf5664bd1c08be9f","average","2",31,0.857830928243683,1.28507396153914
"average.6784912ccf5664bd1c08be9f","average","10",32,0.663553930287593,0.799136823388247
"average.6784912ccf5664bd1c08be9f","average","20",31,0.714110272281364,0.89552163212807
"average.678f0bb28ec3307e4f1afb78","average","2",31,0.869586757179009,1.33138225012506
"average.678f0bb28ec3307e4f1afb78","average","10",31,0.7732872947553,1.02845336573751
"average.678f0bb28ec3307e4f1afb78","average","20",31,0.779629859472064,1.0444260439968
"average.67e8e0c0be5802df7311d109","average","2",30,0.700069661942596,0.867437132800628
"average.67e8e0c0be5802df7311d109","average","10",27,0.233572339555281,0.237964631309172
"average.67e8e0c0be5802df7311d109","average","20",30,0.41275871476184,0.438931911832582
"average.67eec9e200be02ad51843d9b","average","2",30,0.847676883539067,1.24784017977591
"average.67eec9e200be02ad51843d9b","average","10",32,0.793067609714603,1.07964552877587
"average.67eec9e200be02ad51843d9b","average","20",31,0.720587606954478,0.908866170825215
"average.67f15a6eb321af2595c63b9b","average","2",31,0.889658180684088,1.42028411946803
