"participant_id","trial","condition","array_length","n_items","shown_mean","item_sd","item_min","item_max","skew","n_at_edge"
"67d8b5e7ceb82869824198a2",11,"average",5,5,15,2.60768096208106,11,18,-0.406040288213314,0
"67d8b5e7ceb82869824198a2",12,"average",12,12,11.5,5.82380173655205,3,20,0.0607521289036574,0
"67d8b5e7ceb82869824198a2",13,"average",11,11,39.7272727272727,5.54470933890069,29,47,-0.586673232534959,0
"67d8b5e7ceb82869824198a2",14,"average",9,9,11,3.36650164612069,6,16,0,0
"67d8b5e7ceb82869824198a2",15,"average",12,12,10.9166666666667,6.26442779155092,1,20,-0.143478143636592,1
"67d8b5e7ceb82869824198a2",16,"average",5,5,6.6,6.65131565932636,1,19,1.0805351116394,1
"67d8b5e7ceb82869824198a2",17,"average",9,9,37.8888888888889,5.60643369401905,30,47,0.26312056827232,0
"67d8b5e7ceb82869824198a2",18,"average",9,9,9.33333333333333,5.3748384988657,2,19,0.554339852279462,0
"67d8b5e7ceb82869824198a2",19,"average",5,5,42.4,4.27083130081252,35,47,-0.677176188768605,0
"67d8b5e7ceb82869824198a2",20,"average",9,9,11,6.20035841257942,1,20,-0.0251710229920278,1
"67d8b5e7ceb82869824198a2",21,"average",8,8,24,5.47722557505166,16,32,0,0
"67d8b5e7ceb82869824198a2",22,"average",2,2,21,4,17,25,0,0
"67d8b5e7ceb82869824198a2",23,"average",2,2,36,4,32,40,0,0
"67d8b5e7ceb82869824198a2",24,"average",6,6,32,4.32049379893857,26,38,0,0
"67d8b5e7ceb82869824198a2",25,"average",6,6,35,4.32049379893857,29,41,0,0
"67d8b5e7ceb82869824198a2",26,"average",12,12,26.3333333333333,5.45180907793204,17,35,-0.206282093856245,0
"67d8b5e7ceb82869824198a2",27,"average",6,6,36,4.32049379893857,30,42,0,0
"67d8b5e7ceb82869824198a2",28,"average",12,12,25.3333333333333,5.45180907793204,16,34,-0.206282093856245,0
"67d8b5e7ceb82869824198a2",29,"average",2,2,19,4,15,23,0,0
"67d8b5e7ceb82869824198a2",30,"average",12,12,27.3333333333333,5.45180907793204,18,36,-0.206282093856245,0
"67d8b5e7ceb82869824198a2",31,"average",12,12,31.3333333333333,5.45180907793204,22,40,-0.206282093856245,0
"67d8b5e7ceb82869824198a2",32,"average",8,8,14,5.47722557505166,6,22,0,0
"67d8b5e7ceb82869824198a2",33,"average",12,12,22.3333333333333,5.45180907793204,13,31,-0.206282093856245,0
"67d8b5e7ceb82869824198a2",34,"average",12,12,23.3333333333333,5.45180907793204,14,32,-0.206282093856245,0
"67d8b5e7ceb82869824198a2",35,"average",12,12,24.3333333333333,5.45180907793204,15,33,-0.206282093856245,0
"67d8b5e7ceb82869824198a2",36,"average",6,6,31,4.32049379893857,25,37,0,0
"67d8b5e7ceb82869824198a2",37,"average",12,12,22.3333333333333,5.45180907793204,13,31,-0.206282093856245,0
"67d8b5e7ceb82869824198a2",38,"average",2,2,36,4,32,40,0,0
"67d8b5e7ceb82869824198a2",39,"average",12,12,31.3333333333333,5.45180907793204,22,40,-0.206282093856245,0
"67d8b5e7ceb82869824198a2",40,"average",8,8,25,5.47722557505166,17,33,0,0
"67d8b5e7ceb82869824198a2",41,"average",6,6,24,4.32049379893857,18,30,0,0
"67d8b5e7ceb82869824198a2",42,"average",8,8,34,5.47722557505166,26,42,0,0
"67d8b5e7ceb82869824198a2",43,"average",8,8,35,5.47722557505166,27,43,0,0
"67d8b5e7ceb82869824198a2",44,"average",12,12,25.3333333333333,5.45180907793204,16,34,-0.206282093856245,0
"67d8b5e7ceb82869824198a2",45,"average",12,12,29.3333333333333,5.45180907793204,20,38,-0.206282093856245,0
"67d8b5e7ceb82869824198a2",46,"average",8,8,20,5.47722557505166,12,28,0,0
"67d8b5e7ceb82869824198a2",47,"average",2,2,22,4,18,26,0,0
"67d8b5e7ceb82869824198a2",48,"average",8,8,33,5.47722557505166,25,41,0,0
"67d8b5e7ceb82869824198a2",49,"average",2,2,32,4,28,36,0,0
"67d8b5e7ceb82869824198a2",50,"average",6,6,33,4.32049379893857,27,39,0,0
"67d8b5e7ceb82869824198a2",51,"average",2,2,31,4,27,35,0,0
"67d8b5e7ceb82869824198a2",52,"average",2,2,30,4,26,34,0,0
"67d8b5e7ceb82869824198a2",53,"average",6,6,21,4.32049379893857,15,27,0,0
"67d8b5e7ceb82869824198a2",54,"average",6,6,17,4.32049379893857,11,23,0,0
"67d8b5e7ceb82869824198a2",55,"average",2,2,35,4,31,39,0,0
"67d8b5e7ceb82869824198a2",56,"average",6,6,18,4.32049379893857,12,24,0,0
"67d8b5e7ceb82869824198a2",57,"average",8,8,28,5.47722557505166,20,36,0,0
"67d8b5e7ceb82869824198a2",58,"average",8,8,25,5.47722557505166,17,33,0,0
"67d8b5e7ceb82869824198a2",59,"average",8,8,36,5.47722557505166,28,44,0,0
"67d8b5e7ceb82869824198a2",60,"average",6,6,35,4.32049379893857,29,41,0,0
"67d8b5e7ceb82869824198a2",61,"average",12,12,19.3333333333333,5.45180907793204,10,28,-0.206282093856245,0
"67d8b5e7ceb82869824198a2",62,"average",2,2,24,4,20,28,0,0
"67d8b5e7ceb82869824198a2",63,"average",2,2,19,4,15,23,0,0
"67d8b5e7ceb82869824198a2",64,"average",2,2,36,4,32,40,0,0
"67d8b5e7ceb82869824198a2",65,"average",6,6,31,4.32049379893857,25,37,0,0
"67d8b5e7ceb82869824198a2",66,"average",8,8,23,5.47722557505166,15,31,0,0
"67d8b5e7ceb82869824198a2",67,"average",6,6,16,4.32049379893857,10,22,0,0
"67d8b5e7ceb82869824198a2",68,"average",8,8,18,5.47722557505166,10,26,0,0
"67d8b5e7ceb82869824198a2",69,"average",2,2,23,4,19,27,0,0
"67d8b5e7ceb82869824198a2",70,"average",6,6,32,4.32049379893857,26,38,0,0
"67d8b5e7ceb82869824198a2",71,"average",8,8,24,5.47722557505166,16,32,0,0
"67d8b5e7ceb82869824198a2",72,"average",6,6,26,4.32049379893857,20,32,0,0
"67d8b5e7ceb82869824198a2",73,"average",12,12,26.3333333333333,5.45180907793204,17,35,-0.206282093856245,0
"67d8b5e7ceb82869824198a2",74,"average",12,12,36.3333333333333,5.45180907793204,27,45,-0.206282093856247,0
"67d8b5e7ceb82869824198a2",75,"average",12,12,20.3333333333333,5.45180907793204,11,29,-0.206282093856245,0
"67d8b5e7ceb82869824198a2",76,"average",2,2,23,4,19,27,0,0
"67d8b5e7ceb82869824198a2",77,"average",2,2,27,4,23,31,0,0
"67d8b5e7ceb82869824198a2",78,"average",6,6,33,4.32049379893857,27,39,0,0
"67d8b5e7ceb82869824198a2",79,"average",12,12,32.3333333333333,5.45180907793204,23,41,-0.206282093856247,0
"67d8b5e7ceb82869824198a2",80,"average",2,2,22,4,18,26,0,0
"67d8b5e7ceb82869824198a2",81,"average",8,8,35,5.47722557505166,27,43,0,0
"67d8b5e7ceb82869824198a2",82,"average",12,12,20.3333333333333,5.45180907793204,11,29,-0.206282093856245,0
"67d8b5e7ceb82869824198a2",83,"average",2,2,34,4,30,38,0,0
"67d8b5e7ceb82869824198a2",84,"average",6,6,32,4.32049379893857,26,38,0,0
"67d8b5e7ceb82869824198a2",85,"average",6,6,31,4.32049379893857,25,37,0,0
