"participant_id","trial","array_length","item_sd","n_items","condition","level","experiment"
"651b249337102ada9fee4951",29,10,5.9464274989274,10,"average",10,"exp2_batch2"
"651b249337102ada9fee4951",30,10,5.9464274989274,10,"average",10,"exp2_batch2"
"651b249337102ada9fee4951",31,2,4,2,"average",2,"exp2_batch2"
"651b249337102ada9fee4951",32,2,4,2,"average",2,"exp2_batch2"
"651b249337102ada9fee4951",33,10,5.9464274989274,10,"average",10,"exp2_batch2"
"651b249337102ada9fee4951",34,10,5.9464274989274,10,"average",10,"exp2_batch2"
"651b249337102ada9fee4951",35,2,4,2,"average",2,"exp2_batch2"
"651b249337102ada9fee4951",36,2,4,2,"average",2,"exp2_batch2"
"651b249337102ada9fee4951",37,2,4,2,"average",2,"exp2_batch2"
"651b249337102ada9fee4951",38,20,5.5,20,"average",20,"exp2_batch2"
"651b249337102ada9fee4951",39,20,5.5,20,"average",20,"exp2_batch2"
"651b249337102ada9fee4951",40,2,4,2,"average",2,"exp2_batch2"
"651b249337102ada9fee4951",41,10,5.9464274989274,10,"average",10,"exp2_batch2"
"651b249337102ada9fee4951",42,10,5.9464274989274,10,"average",10,"exp2_batch2"
"651b249337102ada9fee4951",43,10,5.9464274989274,10,"average",10,"exp2_batch2"
"651b249337102ada9fee4951",44,20,5.5,20,"average",20,"exp2_batch2"
