"participant_id","trial","array_length","item_sd","n_items","condition","level","experiment"
"59205f5005b0ce000123c6e6",27,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",28,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",29,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",30,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",31,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",32,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",33,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",34,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",35,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",36,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",37,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",38,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",39,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",40,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",41,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",42,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",43,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",44,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",45,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",46,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",47,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",48,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",49,10,5.9464274989274,10,"experience",10,"short_exposure"
"59205f5005b0ce000123c6e6",50,20,5.5,20,"experience",20,"short_exposure"
"59205f5005b0ce000123c6e6",51,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",52,2,4,2,"experience",2,"short_exposure"
"59205f5005b0ce000123c6e6",53,2,4,2,"experience",2,"short_exposure"
