"participant_id","condition","array_length","band","n_trials","dist","inward"
"average.633f4f203450d46b01e3d16b","average","10","middle",15,2.82877192982456,1.2
"average.633f4f203450d46b01e3d16b","average","20","extreme",16,8.60131578947368,3.625
"average.633f4f203450d46b01e3d16b","average","20","middle",15,2.67929824561404,0.4
"average.63e63f77c742a91baf498dd0","average","2","extreme",17,7.87855787476281,0.176470588235294
"average.63e63f77c742a91baf498dd0","average","2","middle",13,2.46650124069479,3.30769230769231
"average.63e63f77c742a91baf498dd0","average","10","extreme",20,8.96881720430108,7.4
"average.63e63f77c742a91baf498dd0","average","10","middle",11,2.6989247311828,0.545454545454546
"average.63e63f77c742a91baf498dd0","average","20","extreme",17,8.17267552182163,4
"average.63e63f77c742a91baf498dd0","average","20","middle",15,3.06236559139785,-0.8
"average.640415971520c41606ca4389","average","2","extreme",19,7.34521788341822,-2
"average.640415971520c41606ca4389","average","2","middle",12,2.68906810035842,1.16666666666667
"average.640415971520c41606ca4389","average","10","extreme",23,8.92893875642824,1.43478260869565
"average.640415971520c41606ca4389","average","10","middle",9,3.04062126642772,0.444444444444444
"average.640415971520c41606ca4389","average","20","extreme",15,8.20645161290323,-1.93333333333333
"average.640415971520c41606ca4389","average","20","middle",15,2.64229390681004,1.8
"average.651b249337102ada9fee4951","average","2","extreme",19,9.00743707093821,-0.578947368421053
"average.651b249337102ada9fee4951","average","2","middle",12,2.90579710144928,2.66666666666667
"average.651b249337102ada9fee4951","average","10","extreme",16,8.08016304347826,2.375
"average.651b249337102ada9fee4951","average","10","middle",15,2.62826086956522,0.6
"average.651b249337102ada9fee4951","average","20","extreme",14,7.97981366459627,2.92857142857143
"average.651b249337102ada9fee4951","average","20","middle",16,2.66032608695652,0.5625
"average.6572244f5a6d2b943074aa73","average","2","extreme",9,8.56989247311828,1
"average.6572244f5a6d2b943074aa73","average","2","middle",22,2.30205278592375,-0.772727272727272
"average.6572244f5a6d2b943074aa73","average","10","extreme",17,8.74573055028463,1.17647058823529
"average.6572244f5a6d2b943074aa73","average","10","middle",14,3.01382488479263,0.642857142857143
"average.6572244f5a6d2b943074aa73","average","20","extreme",16,8.09072580645161,-1.1875
"average.6572244f5a6d2b943074aa73","average","20","middle",15,2.65161290322581,-0.666666666666667
"average.657b80c8ff78a49936e4cff3","average","2","extreme",17,8.69399249061327,2.11764705882353
"average.657b80c8ff78a49936e4cff3","average","2","middle",13,2.65548281505728,0.076923076923077
"average.657b80c8ff78a49936e4cff3","average","10","extreme",16,8.94015957446809,2.5
"average.657b80c8ff78a49936e4cff3","average","10","middle",16,3.18218085106383,1.0625
"average.657b80c8ff78a49936e4cff3","average","20","extreme",20,8.58404255319149,2.2
"average.657b80c8ff78a49936e4cff3","average","20","middle",12,2.5,0.666666666666667
"average.6604664cb53a76971c8a1dce","average","2","extreme",18,9.14814814814815,-0.555555555555556
"average.6604664cb53a76971c8a1dce","average","2","middle",13,3.46153846153846,-1
"average.6604664cb53a76971c8a1dce","average","10","extreme",16,8.60416666666667,1.125
"average.6604664cb53a76971c8a1dce","average","10","middle",16,2.375,3.125
"average.6604664cb53a76971c8a1dce","average","20","extreme",18,8.81481481481481,3.72222222222222
"average.6604664cb53a76971c8a1dce","average","20","middle",12,2.94444444444444,3.5
"average.662613a0c132844f74a62143","average","2","extreme",21,8.05529953917051,3.85714285714286
"average.662613a0c132844f74a62143","average","2","middle",9,3.01075268817204,6.22222222222222
"average.662613a0c132844f74a62143","average","10","extreme",17,8.82542694497154,2.35294117647059
"average.662613a0c132844f74a62143","average","10","middle",14,2.70046082949309,-2.57142857142857
"average.662613a0c132844f74a62143","average","20","extreme",17,8.24098671726755,1.52941176470588
"average.662613a0c132844f74a62143","average","20","middle",15,2.73118279569892,1.06666666666667
"average.6627e29477d23bd171a6728a","average","2","extreme",16,9.00271739130435,5.875
"average.6627e29477d23bd171a6728a","average","2","middle",15,2.52971014492754,-0.666666666666667
"average.6627e29477d23bd171a6728a","average","10","extreme",14,8.93012422360249,4.28571428571429
"average.6627e29477d23bd171a6728a","average","10","middle",16,2.55978260869565,-0.25
"average.6627e29477d23bd171a6728a","average","20","extreme",13,8.38210702341137,2.07692307692308
"average.6627e29477d23bd171a6728a","average","20","middle",18,3.77777777777778,1.22222222222222
"average.667871d17d7fdf0358f82a28","average","2","extreme",18,8.69082125603865,4.55555555555556
"average.667871d17d7fdf0358f82a28","average","2","middle",13,2.91220735785953,1.76923076923077
"average.667871d17d7fdf0358f82a28","average","10","extreme",17,8.84846547314578,1.11764705882353
"average.667871d17d7fdf0358f82a28","average","10","middle",15,2.43840579710145,0.333333333333333
"average.667871d17d7fdf0358f82a28","average","20","extreme",16,9.1875,1.625
"average.667871d17d7fdf0358f82a28","average","20","middle",13,2.75836120401338,-0.538461538461539
"average.6683fb33cc602af8407e62e9","average","2","extreme",15,9.12350877192982,1.46666666666667
"average.6683fb33cc602af8407e62e9","average","2","middle",17,3.07801857585139,-0.88235294117647
"average.6683fb33cc602af8407e62e9","average","10","extreme",20,8.33526315789474,2.65
"average.6683fb33cc602af8407e62e9","average","10","middle",12,3.47543859649123,0.666666666666667
"average.6683fb33cc602af8407e62e9","average","20","extreme",17,7.7733746130031,-0.647058823529412
"average.6683fb33cc602af8407e62e9","average","20","middle",14,2.60075187969925,2.85714285714286
"average.669eb709554e753adddffe01","average","2","extreme",17,8.14027149321267,5.17647058823529
"average.669eb709554e753adddffe01","average","2","middle",14,2.95604395604396,2
"average.669eb709554e753adddffe01","average","10","extreme",14,9.12087912087912,2.78571428571429
"average.669eb709554e753adddffe01","average","10","middle",15,2.98974358974359,-1
"average.669eb709554e753adddffe01","average","20","extreme",16,8.35096153846154,1.8125
"average.669eb709554e753adddffe01","average","20","middle",15,2.96923076923077,0.133333333333333
"average.66a428de01ccbc61556d585b","average","2","extreme",16,7.84574468085106,-0.375
"average.66a428de01ccbc61556d585b","average","2","middle",15,2.26170212765957,1.2
"average.66a428de01ccbc61556d585b","average","10","extreme",12,8.86524822695035,3.16666666666667
"average.66a428de01ccbc61556d585b","average","10","middle",19,2.87066069428891,2.26315789473684
"average.66a428de01ccbc61556d585b","average","20","extreme",15,8.84609929078014,4.6
"average.66a428de01ccbc61556d585b","average","20","middle",17,2.98185231539424,0.294117647058823
"average.66cc97280604bbb0c7bc71bd","average","2","extreme",15,8.71205673758865,4.53333333333333
"average.66cc97280604bbb0c7bc71bd","average","2","middle",16,2.67952127659574,2.625
"average.66cc97280604bbb0c7bc71bd","average","10","extreme",20,8.43191489361702,1.15
"average.66cc97280604bbb0c7bc71bd","average","10","middle",12,1.98936170212766,1.5
"average.66cc97280604bbb0c7bc71bd","average","20","extreme",12,8.57269503546099,2.25
"average.66cc97280604bbb0c7bc71bd","average","20","middle",19,2.35834266517357,2.52631578947368
"average.66ccbb7d4109382e498e3c82","average","2","extreme",13,9.29059829059829,3
"average.66ccbb7d4109382e498e3c82","average","2","middle",17,3.31372549019608,-0.647058823529412
"average.66ccbb7d4109382e498e3c82","average","10","extreme",11,8.35353535353535,3.27272727272727
"average.66ccbb7d4109382e498e3c82","average","10","middle",18,3.24691358024691,0.944444444444444
"average.66ccbb7d4109382e498e3c82","average","20","extreme",18,8.58024691358025,1.55555555555555
"average.66ccbb7d4109382e498e3c82","average","20","middle",13,2.16239316239316,-2.30769230769231
"average.66f9a40196d53f05f2232cff","average","2","extreme",12,8.51176470588235,-0.75
"average.66f9a40196d53f05f2232cff","average","2","middle",15,2.4643137254902,-1.6
"average.66f9a40196d53f05f2232cff","average","10","extreme",12,8.24411764705882,2.25
"average.66f9a40196d53f05f2232cff","average","10","middle",15,3.00705882352941,-0.733333333333333
"average.66f9a40196d53f05f2232cff","average","20","extreme",10,8.1,2.1
"average.66f9a40196d53f05f2232cff","average","20","middle",21,2.70924369747899,1.61904761904762
"average.6704304cf839621ba18d9529","average","2","extreme",16,7.71388888888889,2.1875
"average.6704304cf839621ba18d9529","average","2","middle",15,3.55259259259259,2.6
"average.6704304cf839621ba18d9529","average","10","extreme",11,7.2989898989899,2
"average.6704304cf839621ba18d9529","average","10","middle",18,2.18148148148148,4.38888888888889
"average.6704304cf839621ba18d9529","average","20","extreme",14,7.42857142857143,2.07142857142857
"average.6704304cf839621ba18d9529","average","20","middle",16,2.26944444444444,0.1875
"average.6712acd49ca5448a6e983e6c","average","2","extreme",20,8.34340659340659,2.1
"average.6712acd49ca5448a6e983e6c","average","2","middle",11,2.28171828171828,3.90909090909091
"average.6712acd49ca5448a6e983e6c","average","10","extreme",19,8.04742625795257,3.8421052631579
"average.6712acd49ca5448a6e983e6c","average","10","middle",11,2.45754245754246,0.363636363636364
"average.6712acd49ca5448a6e983e6c","average","20","extreme",20,8.3467032967033,4.35
"average.6712acd49ca5448a6e983e6c","average","20","middle",10,1.80659340659341,0.7
"average.671912820d4a64051a764936","average","2","extreme",14,8.81987577639752,6.92857142857143
"average.671912820d4a64051a764936","average","2","middle",17,2.74040920716113,1.82352941176471
"average.671912820d4a64051a764936","average","10","extreme",16,7.90760869565217,3.3125
"average.671912820d4a64051a764936","average","10","middle",15,2.45942028985507,4
"average.671912820d4a64051a764936","average","20","extreme",14,9.22670807453416,4.64285714285714
"average.671912820d4a64051a764936","average","20","middle",16,2.48913043478261,2.5625
"average.672c2b25d6aa996ff3d8244f","average","2","extreme",16,8.75,-1.0625
"average.672c2b25d6aa996ff3d8244f","average","2","middle",14,2.92857142857143,-1.21428571428571
"average.672c2b25d6aa996ff3d8244f","average","10","extreme",15,8.13846153846154,0.8
"average.672c2b25d6aa996ff3d8244f","average","10","middle",14,2.5989010989011,-3.21428571428571
"average.672c2b25d6aa996ff3d8244f","average","20","extreme",20,8.16923076923077,-1.7
"average.672c2b25d6aa996ff3d8244f","average","20","middle",12,2.01923076923077,0.333333333333333
"average.672fcaf82c52010e8586b90a","average","2","extreme",13,8.6227495908347,1.23076923076923
"average.672fcaf82c52010e8586b90a","average","2","middle",18,2.41016548463357,-2.44444444444444
"average.672fcaf82c52010e8586b90a","average","10","extreme",15,8.66028368794326,1.66666666666667
"average.672fcaf82c52010e8586b90a","average","10","middle",16,2.58643617021277,0.8125
"average.672fcaf82c52010e8586b90a","average","20","extreme",20,8.75212765957447,5.4
"average.672fcaf82c52010e8586b90a","average","20","middle",12,2.43262411347518,0.25
"average.673a27fe372ce97a95aecf5c","average","2","extreme",17,8.1404174573055,-0.11764705882353
"average.673a27fe372ce97a95aecf5c","average","2","middle",14,3.31797235023042,-0.285714285714286
"average.673a27fe372ce97a95aecf5c","average","10","extreme",11,7.94428152492669,0.636363636363636
"average.673a27fe372ce97a95aecf5c","average","10","middle",20,2.72741935483871,-1.8
"average.673a27fe372ce97a95aecf5c","average","20","extreme",18,9.20967741935484,1.66666666666667
"average.673a27fe372ce97a95aecf5c","average","20","middle",13,2.50868486352357,-1.15384615384615
"average.674c8549a9fd90b7c8dda9d3","average","2","extreme",20,8.35434782608696,3.85
"average.674c8549a9fd90b7c8dda9d3","average","2","middle",10,2.59565217391304,1.2
"average.674c8549a9fd90b7c8dda9d3","average","10","extreme",13,9.08528428093645,4.84615384615385
"average.674c8549a9fd90b7c8dda9d3","average","10","middle",18,2.82367149758454,-0.611111111111111
"average.674c8549a9fd90b7c8dda9d3","average","20","extreme",15,7.52028985507246,0.733333333333333
"average.674c8549a9fd90b7c8dda9d3","average","20","middle",16,2.94021739130435,1.125
"average.675aaec58dfc729c338a52eb","average","2","extreme",13,8.29280397022332,-1.15384615384615
"average.675aaec58dfc729c338a52eb","average","2","middle",19,2.90888511601585,-2.78947368421053
"average.675aaec58dfc729c338a52eb","average","10","extreme",18,8.17084826762246,-0.888888888888889
"average.675aaec58dfc729c338a52eb","average","10","middle",13,2.6302729528536,-2
"average.675aaec58dfc729c338a52eb","average","20","extreme",11,9.20625610948192,-1.81818181818182
"average.675aaec58dfc729c338a52eb","average","20","middle",19,3.54046406338427,1
"average.675c61776fc3233ee8002446","average","2","extreme",18,8.5,-0.444444444444444
"average.675c61776fc3233ee8002446","average","2","middle",12,2.64964157706093,-0.666666666666667
"average.675c61776fc3233ee8002446","average","10","extreme",16,8.2997311827957,1.75
"average.675c61776fc3233ee8002446","average","10","middle",16,2.2002688172043,0.9375
"average.675c61776fc3233ee8002446","average","20","extreme",20,8.68978494623656,1.3
"average.675c61776fc3233ee8002446","average","20","middle",11,2.14565004887586,0.909090909090909
"average.67a4e8dd295e3fb3cf7cee74","average","2","extreme",17,8.15772462831286,4.47058823529412
"average.67a4e8dd295e3fb3cf7cee74","average","2","middle",14,2.8116169544741,2.21428571428571
"average.67a4e8dd295e3fb3cf7cee74","average","10","extreme",17,8.37168713639302,4.88235294117647
"average.67a4e8dd295e3fb3cf7cee74","average","10","middle",12,3.25,1.83333333333333
"average.67a4e8dd295e3fb3cf7cee74","average","20","extreme",17,8.39301874595992,4.47058823529412
"average.67a4e8dd295e3fb3cf7cee74","average","20","middle",14,3.00627943485086,0.5
"average.67be4c756ba3a15a47e60356","average","2","extreme",16,8.73684210526316,1.875
"average.67be4c756ba3a15a47e60356","average","2","middle",16,1.5625,-0.3125
"average.67be4c756ba3a15a47e60356","average","10","extreme",15,8.28771929824561,0.466666666666666
"average.67be4c756ba3a15a47e60356","average","10","middle",16,2.83881578947368,-1.25
"average.67be4c756ba3a15a47e60356","average","20","extreme",16,8.5,2.375
"average.67be4c756ba3a15a47e60356","average","20","middle",16,3.5,1.125
"average.67d1ddb07de1caaaa343e133","average","2","extreme",13,8.83779264214047,4.38461538461539
"average.67d1ddb07de1caaaa343e133","average","2","middle",17,3.00639386189258,0.294117647058823
"average.67d1ddb07de1caaaa343e133","average","10","extreme",19,8.94851258581236,2.36842105263158
"average.67d1ddb07de1caaaa343e133","average","10","middle",13,3.00167224080268,4.07692307692308
"average.67d1ddb07de1caaaa343e133","average","20","extreme",16,8.375,1.25
"average.67d1ddb07de1caaaa343e133","average","20","middle",14,2.93478260869565,0.714285714285715
"average.67e1dc9c35b6facf1079fb30","average","2","extreme",18,8.98191214470284,0.611111111111111
"average.67e1dc9c35b6facf1079fb30","average","2","middle",11,2.25792811839323,0.636363636363636
