"participant_id","condition","variance_level","n_trials","mean_abs_resp","mean_abs_obj","ratio"
"experience.56c79f6cc41c43000c0886b0","experience","3",12,13.7330173775671,8.52883096366509,0.621045668929023
"experience.56c79f6cc41c43000c0886b0","experience","5",16,13,6.97837677725119,0.536798213634707
"experience.56c79f6cc41c43000c0886b0","experience","7",12,11.3503159557662,7.83333333333333,0.690142315320644
"experience.5711c09d28742b0011c585be","experience","3",4,13.25,8.5,0.641509433962264
"experience.5711c09d28742b0011c585be","experience","5",4,12,7.75,0.645833333333333
"experience.5711c09d28742b0011c585be","experience","7",4,12,10.5,0.875
"experience.5a5aabd3acc75b00017a5300","experience","3",3,12.1761904761905,4.42539682539682,0.363446747490549
"experience.5a5aabd3acc75b00017a5300","experience","5",6,11.9809523809524,7.24126984126984,0.604398516163222
"experience.5a5aabd3acc75b00017a5300","experience","7",10,13.9828571428571,5.9552380952381,0.425895654542978
"experience.5a792c898fe2dc0001058c3b","experience","3",30,15.5780410742496,7.05781990521327,0.453062093723697
"experience.5a792c898fe2dc0001058c3b","experience","5",20,13.1943127962085,7.3,0.55326867816092
"experience.5a792c898fe2dc0001058c3b","experience","7",20,13.7113744075829,7.22890995260664,0.527219937091701
"experience.5b0d1b8e444cef0001ca66ac","experience","3",11,13.2722964239552,8.48255062473072,0.639117026456744
"experience.5b0d1b8e444cef0001ca66ac","experience","5",13,13.2289464090412,6.70433831571272,0.506793066387412
"experience.5b0d1b8e444cef0001ca66ac","experience","7",8,12.875,6.625,0.514563106796116
"experience.5bb58e338f3bd70001e5df57","experience","3",18,15.3709847288046,7.82938388625592,0.509361242912691
"experience.5bb58e338f3bd70001e5df57","experience","5",21,11.8352516361995,5.62288422477996,0.475096296861294
"experience.5bb58e338f3bd70001e5df57","experience","7",13,13.4199781261393,5.41414509660955,0.403439189372742
"experience.5c223d4a4a7e1f000137e5b9","experience","3",24,15.375,7.20833333333333,0.468834688346884
"experience.5c223d4a4a7e1f000137e5b9","experience","5",19,14.2333664349553,7.45953326713009,0.524087769483011
"experience.5c223d4a4a7e1f000137e5b9","experience","7",19,12.6325719960278,7.22020854021847,0.571554909205251
"experience.5d0c46b3dff7d70019e6dda7","experience","3",7,13.8571428571429,8.14016172506739,0.587434351293523
"experience.5d0c46b3dff7d70019e6dda7","experience","5",11,11.9090909090909,8.00171526586621,0.671899755149071
"experience.5d0c46b3dff7d70019e6dda7","experience","7",12,12.4166666666667,7.52672955974843,0.606179561858934
"experience.5d4611bb3c5a360001b1bb59","experience","3",11,14.1971830985915,8.52752880921895,0.600649350649351
"experience.5d4611bb3c5a360001b1bb59","experience","5",12,12.2781690140845,7.71713615023474,0.628524997610171
"experience.5d4611bb3c5a360001b1bb59","experience","7",7,11.579476861167,7.32394366197183,0.63249348392702
"experience.5e991aaac7bc1615ea5b3eb8","experience","3",1,11.7033492822966,8.79904306220096,0.751839738348324
"experience.5e991aaac7bc1615ea5b3eb8","experience","5",5,13.022009569378,10.2794258373206,0.789388594944151
"experience.5e991aaac7bc1615ea5b3eb8","experience","7",3,11.7033492822966,8.46570972886762,0.723357863177978
"experience.5ebb96b6cd673a0008ace9ce","experience","5",3,11.588785046729,8.56853582554517,0.739381720430107
"experience.5ebb96b6cd673a0008ace9ce","experience","7",5,10.7401869158879,8.97663551401869,0.835798816568047
"experience.5f16f559325a640008bb9a07","experience","3",26,14.5118343195266,6.53402366863905,0.450254841997961
"experience.5f16f559325a640008bb9a07","experience","5",23,14.2495819397993,6.89360367892977,0.483775854481444
"experience.5f16f559325a640008bb9a07","experience","7",21,12.8759157509158,6.06341575091575,0.470911418512855
"experience.5fb809a247aaee22c2a204fc","experience","3",10,13.2914285714286,8.91333333333333,0.67060762396102
"experience.5fb809a247aaee22c2a204fc","experience","5",14,13.2857142857143,6.85238095238095,0.515770609318996
"experience.5fb809a247aaee22c2a204fc","experience","7",20,13.2271428571429,6.74666666666667,0.510062281743889
"experience.608f39d2c76e436967135846","experience","3",6,13.4691943127962,8.09162717219589,0.60075064508562
"experience.608f39d2c76e436967135846","experience","5",7,11.6560595802302,8.8178740690589,0.756505576208178
"experience.608f39d2c76e436967135846","experience","7",11,11.037052994399,6.0249892287807,0.5458874965843
"experience.610c83598db46d4d46de2c61","experience","3",18,14.2713675213675,8.85683760683761,0.620601886509957
"experience.610c83598db46d4d46de2c61","experience","5",11,12.4156468531469,7.41914335664336,0.59756398070898
"experience.610c83598db46d4d46de2c61","experience","7",5,10.5028846153846,6.86442307692308,0.653575025176234
"experience.6120602a67554358bbd53c9d","experience","3",16,14.4693396226415,8.16037735849057,0.5639771801141
"experience.6120602a67554358bbd53c9d","experience","5",3,14.2610062893082,6.32704402515723,0.443660418963616
"experience.6120602a67554358bbd53c9d","experience","7",5,11.0433962264151,9.80377358490566,0.887749871860584
"experience.6172cf92f2ea6613f717abb6","experience","3",9,12.572337962963,7.80671296296296,0.620943613348677
"experience.6172cf92f2ea6613f717abb6","experience","5",12,14.4340277777778,6.88020833333333,0.476665864806351
"experience.6172cf92f2ea6613f717abb6","experience","7",13,12.2800480769231,7.85977564102564,0.640044370493622
"experience.62e174454a461d00781acfe1","experience","3",17,14.1552601809955,8.33342760180996,0.588715961081254
"experience.62e174454a461d00781acfe1","experience","5",15,14.061858974359,6.83557692307692,0.486107628837782
"experience.62e174454a461d00781acfe1","experience","7",20,13.5572115384615,6.10336538461539,0.450193269264868
"experience.6329e23d509947bfd4c50ab3","experience","3",25,14.619336492891,7.74616113744076,0.529857229923363
"experience.6329e23d509947bfd4c50ab3","experience","5",20,12.3016587677725,7.2345971563981,0.588099320016181
"experience.6329e23d509947bfd4c50ab3","experience","7",13,12.4243528982865,8.02661319722931,0.646038732394366
"experience.63d92dacc885e6167a4a486c","experience","3",3,13.3333333333333,8.66666666666667,0.65
"experience.63d92dacc885e6167a4a486c","experience","5",5,11.9333333333333,9.13333333333333,0.76536312849162
"experience.63d92dacc885e6167a4a486c","experience","7",7,11.8571428571429,8.57142857142857,0.72289156626506
"experience.64badb09518eb5b219132eea","experience","3",30,15.5113744075829,7.81026856240126,0.50351879576726
"experience.64badb09518eb5b219132eea","experience","5",26,14.9803135253372,6.64199781261393,0.443381762429729
"experience.64badb09518eb5b219132eea","experience","7",13,14.1472839956252,8.17900109369304,0.578132247590579
"experience.65181c2f753b188afdddd2c4","experience","3",14,12.8764387271496,7.32024373730535,0.568499092988406
"experience.65181c2f753b188afdddd2c4","experience","5",11,11.8677294269711,7.51098664368807,0.632891631875113
"experience.65181c2f753b188afdddd2c4","experience","7",9,10.7983149025803,5.62822538177988,0.521213303423388
"experience.655f8b959477c803eb906622","experience","3",14,14.6428571428571,8.35714285714286,0.570731707317073
"experience.655f8b959477c803eb906622","experience","5",12,13.8380503144654,9.35770440251572,0.676229973866606
"experience.655f8b959477c803eb906622","experience","7",8,12.1179245283019,7.375,0.608602569093032
"experience.655fd05c12d38751dfa91559","experience","3",3,12.5825396825397,10.4444444444444,0.830074429166141
"experience.655fd05c12d38751dfa91559","experience","5",7,12.034693877551,8.85714285714286,0.735967441071731
"experience.655fd05c12d38751dfa91559","experience","7",8,11.4357142857143,8.125,0.710493441599001
"experience.6599b15ac5bd63ec64f8b1f5","experience","3",13,12.2770689026613,8.729128691214,0.711010808884666
"experience.6599b15ac5bd63ec64f8b1f5","experience","5",13,12.560335399198,7.52314983594604,0.598960903259513
"experience.6599b15ac5bd63ec64f8b1f5","experience","7",16,13.0284360189573,6.99259478672986,0.536717897417243
"experience.65cce024500351e8c8f7ff26","experience","3",12,12.2656494522692,8.70070422535211,0.70935536346528
"experience.65cce024500351e8c8f7ff26","experience","5",10,11.9046948356808,8.13521126760563,0.68336159640336
"experience.65cce024500351e8c8f7ff26","experience","7",7,12.411804158283,8.65995975855131,0.697719658489139
