"participant_id","condition","variance_level","n_trials","r","z"
"average.69a30af34cf4575fd785090b","average","3",71,0.824185262539205,1.16972896113927
"average.69a30af34cf4575fd785090b","average","5",71,0.76830088561472,1.01616740185275
"average.69a30af34cf4575fd785090b","average","7",69,0.684970660311336,0.838418826999878
"average.69a4b67351c86f1665010c28","average","3",65,0.828764031306034,1.18417654288719
"average.69a4b67351c86f1665010c28","average","5",66,0.773098993208609,1.02798515465677
"average.69a4b67351c86f1665010c28","average","7",68,0.726439429482727,0.921146685810763
"average.69a54b53983c2fc21935a276","average","3",71,0.756470270421714,0.987911259152152
"average.69a54b53983c2fc21935a276","average","5",68,0.706198045023905,0.879558445422016
"average.69a54b53983c2fc21935a276","average","7",65,0.756277265520288,0.987460206368202
"average.69aa203bc67c0093e96b9875","average","3",71,0.868875328878281,1.32847177096267
"average.69aa203bc67c0093e96b9875","average","5",70,0.895480391697516,1.44892644859106
"average.69aa203bc67c0093e96b9875","average","7",72,0.865150697642528,1.31346962786869
"average.69ac80094c5494db959077d6","average","3",68,0.813754592374224,1.13804456812992
"average.69ac80094c5494db959077d6","average","5",69,0.649115758996313,0.773769074124002
"average.69ac80094c5494db959077d6","average","7",70,0.627651259029885,0.737531209208435
"average.69acffd5ce1304cfa474a22f","average","3",71,0.848654187452015,1.25132290967699
"average.69acffd5ce1304cfa474a22f","average","5",70,0.766648145576718,1.01214595392819
"average.69acffd5ce1304cfa474a22f","average","7",67,0.728865111534734,0.926302013436222
"average.69af386aa115c4cb66894fb8","average","3",68,0.557942329870179,0.629840430642279
"average.69af386aa115c4cb66894fb8","average","5",66,0.572121178119412,0.650670513144605
"average.69af386aa115c4cb66894fb8","average","7",64,0.221066716004937,0.224777357008023
"average.69b4b502fec38544c443c643","average","3",69,0.830221696425816,1.188849447366
"average.69b4b502fec38544c443c643","average","5",70,0.802663458479414,1.10605497278701
"average.69b4b502fec38544c443c643","average","7",70,0.820681304345174,1.1589007038245
