"participant_id","condition","variance_level","n_sides","n_low","n_high","inward_low","inward_high","inward"
"average.69b702926fc53d9dd8eeaa52","average","5",2,33,9,5.15151515151515,-6.66666666666667,-0.757575757575758
"average.69b702926fc53d9dd8eeaa52","average","7",2,5,29,3,-2.62068965517241,0.189655172413793
"average.69b885c83f7ae2b8458c6624","average","3",2,22,13,-6.22727272727273,2.53846153846154,-1.84440559440559
"average.69b885c83f7ae2b8458c6624","average","5",2,12,17,-5.66666666666667,0.235294117647059,-2.7156862745098
"average.69b885c83f7ae2b8458c6624","average","7",2,20,15,-1.05,-0.533333333333334,-0.791666666666667
"average.69b8c2e2a791bd09e0041dd7","average","3",2,13,16,-1.46153846153846,2.75,0.644230769230769
"average.69b8c2e2a791bd09e0041dd7","average","5",2,25,18,1.68,5.66666666666667,3.67333333333333
"average.69b8c2e2a791bd09e0041dd7","average","7",2,21,10,4.23809523809524,1,2.61904761904762
"average.69b9174a05fa2db6d0a8b4ff","average","3",2,24,19,-9.66666666666667,9.1578947368421,-0.254385964912282
"average.69b9174a05fa2db6d0a8b4ff","average","5",2,19,13,-4.05263157894737,8.15384615384615,2.05060728744939
"average.69b9174a05fa2db6d0a8b4ff","average","7",2,17,12,-1.82352941176471,10.5833333333333,4.37990196078431
"average.69bb5d0e58b8b38af6ea30eb","average","3",2,20,13,-2.15,1.61538461538462,-0.267307692307692
"average.69bb5d0e58b8b38af6ea30eb","average","5",2,25,13,-1.76,3.23076923076923,0.735384615384615
"average.69bb5d0e58b8b38af6ea30eb","average","7",2,14,18,3.42857142857143,3.11111111111111,3.26984126984127
"average.69bc4a5a75e354d36da3b4df","average","3",2,21,15,-1.28571428571429,0.2,-0.542857142857143
"average.69bc4a5a75e354d36da3b4df","average","5",2,19,17,-3.05263157894737,4.52941176470588,0.738390092879257
"average.69bc4a5a75e354d36da3b4df","average","7",2,15,12,-3.2,4.83333333333333,0.816666666666667
"average.69bdd52e962f286c3349b154","average","3",2,18,17,0.777777777777778,4.11764705882353,2.44771241830065
"average.69bdd52e962f286c3349b154","average","5",2,24,12,4.79166666666667,1.41666666666667,3.10416666666667
"average.69bdd52e962f286c3349b154","average","7",2,17,15,5.35294117647059,2.53333333333333,3.94313725490196
"average.69c07518ef8c7765906f4e89","average","3",2,23,13,-1.26086956521739,0.076923076923077,-0.591973244147157
"average.69c07518ef8c7765906f4e89","average","5",2,21,12,-0.19047619047619,0,-0.0952380952380952
"average.69c07518ef8c7765906f4e89","average","7",2,15,19,3.73333333333333,2.68421052631579,3.20877192982456
"average.69c19681729c357296460f3d","average","3",2,15,21,-2.33333333333333,-4.38095238095238,-3.35714285714286
"average.69c19681729c357296460f3d","average","5",2,20,10,0.3,-3.3,-1.5
"average.69c19681729c357296460f3d","average","7",2,23,14,-0.173913043478261,-1.85714285714286,-1.01552795031056
"average.69c1aaedff8c0b25b7df1d32","average","3",2,19,16,-7.36842105263158,0.3125,-3.52796052631579
"average.69c1aaedff8c0b25b7df1d32","average","5",2,20,16,-6,-2.5,-4.25
"average.69c1aaedff8c0b25b7df1d32","average","7",2,21,14,-2.23809523809524,-0.285714285714286,-1.26190476190476
"experience.558955ebfdf99b6bd06016c9","experience","3",2,29,15,-3.3448275862069,-1,-2.17241379310345
"experience.558955ebfdf99b6bd06016c9","experience","5",2,21,18,-1.33333333333333,-0.111111111111111,-0.722222222222222
"experience.558955ebfdf99b6bd06016c9","experience","7",2,7,12,1.14285714285714,-2.08333333333333,-0.470238095238095
"experience.56c79f6cc41c43000c0886b0","experience","3",2,20,16,1.3,-1.125,0.0875000000000002
"experience.56c79f6cc41c43000c0886b0","experience","5",2,16,14,1.0625,0.857142857142857,0.959821428571428
"experience.56c79f6cc41c43000c0886b0","experience","7",2,22,15,3.09090909090909,1.86666666666667,2.47878787878788
"experience.5711c09d28742b0011c585be","experience","3",2,13,12,5.76923076923077,-2.16666666666667,1.80128205128205
"experience.5711c09d28742b0011c585be","experience","5",2,24,16,5.54166666666667,-2.1875,1.67708333333333
"experience.5711c09d28742b0011c585be","experience","7",2,22,15,6.22727272727273,-0.466666666666667,2.88030303030303
"experience.5a5aabd3acc75b00017a5300","experience","3",2,18,13,1.5,5.30769230769231,3.40384615384615
"experience.5a5aabd3acc75b00017a5300","experience","5",2,19,15,1.68421052631579,4.8,3.24210526315789
"experience.5a5aabd3acc75b00017a5300","experience","7",2,23,17,3.56521739130435,5.58823529411765,4.576726342711
"experience.5a792c898fe2dc0001058c3b","experience","3",2,22,13,-2.86363636363636,-4.46153846153846,-3.66258741258741
"experience.5a792c898fe2dc0001058c3b","experience","5",2,21,16,0.523809523809524,-2.5,-0.988095238095238
"experience.5a792c898fe2dc0001058c3b","experience","7",2,17,17,0.529411764705882,-2.88235294117647,-1.17647058823529
