"participant_id","condition","variance_level","side","n_trials","inward"
"average.69b4b502fec38544c443c643","average","3","high",13,-0.615384615384616
"average.69b4b502fec38544c443c643","average","3","low",18,0.444444444444444
"average.69b4b502fec38544c443c643","average","5","high",15,-0.533333333333333
"average.69b4b502fec38544c443c643","average","5","low",21,4
"average.69b4b502fec38544c443c643","average","7","high",16,-0.3125
"average.69b4b502fec38544c443c643","average","7","low",20,4.55
"average.69b702926fc53d9dd8eeaa52","average","3","high",7,-7.28571428571429
"average.69b702926fc53d9dd8eeaa52","average","3","low",20,4.85
"average.69b702926fc53d9dd8eeaa52","average","5","high",9,-6.66666666666667
"average.69b702926fc53d9dd8eeaa52","average","5","low",33,5.15151515151515
"average.69b702926fc53d9dd8eeaa52","average","7","high",29,-2.62068965517241
"average.69b702926fc53d9dd8eeaa52","average","7","low",5,3
"average.69b885c83f7ae2b8458c6624","average","3","high",13,2.53846153846154
"average.69b885c83f7ae2b8458c6624","average","3","low",22,-6.22727272727273
"average.69b885c83f7ae2b8458c6624","average","5","high",17,0.235294117647059
"average.69b885c83f7ae2b8458c6624","average","5","low",12,-5.66666666666667
"average.69b885c83f7ae2b8458c6624","average","7","high",15,-0.533333333333334
"average.69b885c83f7ae2b8458c6624","average","7","low",20,-1.05
"average.69b8c2e2a791bd09e0041dd7","average","3","high",16,2.75
"average.69b8c2e2a791bd09e0041dd7","average","3","low",13,-1.46153846153846
"average.69b8c2e2a791bd09e0041dd7","average","5","high",18,5.66666666666667
"average.69b8c2e2a791bd09e0041dd7","average","5","low",25,1.68
"average.69b8c2e2a791bd09e0041dd7","average","7","high",10,1
"average.69b8c2e2a791bd09e0041dd7","average","7","low",21,4.23809523809524
"average.69b9174a05fa2db6d0a8b4ff","average","3","high",19,9.1578947368421
"average.69b9174a05fa2db6d0a8b4ff","average","3","low",24,-9.66666666666667
"average.69b9174a05fa2db6d0a8b4ff","average","5","high",13,8.15384615384615
"average.69b9174a05fa2db6d0a8b4ff","average","5","low",19,-4.05263157894737
"average.69b9174a05fa2db6d0a8b4ff","average","7","high",12,10.5833333333333
"average.69b9174a05fa2db6d0a8b4ff","average","7","low",17,-1.82352941176471
"average.69bb5d0e58b8b38af6ea30eb","average","3","high",13,1.61538461538462
"average.69bb5d0e58b8b38af6ea30eb","average","3","low",20,-2.15
"average.69bb5d0e58b8b38af6ea30eb","average","5","high",13,3.23076923076923
"average.69bb5d0e58b8b38af6ea30eb","average","5","low",25,-1.76
"average.69bb5d0e58b8b38af6ea30eb","average","7","high",18,3.11111111111111
"average.69bb5d0e58b8b38af6ea30eb","average","7","low",14,3.42857142857143
"average.69bc4a5a75e354d36da3b4df","average","3","high",15,0.2
"average.69bc4a5a75e354d36da3b4df","average","3","low",21,-1.28571428571429
"average.69bc4a5a75e354d36da3b4df","average","5","high",17,4.52941176470588
"average.69bc4a5a75e354d36da3b4df","average","5","low",19,-3.05263157894737
"average.69bc4a5a75e354d36da3b4df","average","7","high",12,4.83333333333333
"average.69bc4a5a75e354d36da3b4df","average","7","low",15,-3.2
"average.69bdd52e962f286c3349b154","average","3","high",17,4.11764705882353
"average.69bdd52e962f286c3349b154","average","3","low",18,0.777777777777778
"average.69bdd52e962f286c3349b154","average","5","high",12,1.41666666666667
"average.69bdd52e962f286c3349b154","average","5","low",24,4.79166666666667
"average.69bdd52e962f286c3349b154","average","7","high",15,2.53333333333333
"average.69bdd52e962f286c3349b154","average","7","low",17,5.35294117647059
"average.69c07518ef8c7765906f4e89","average","3","high",13,0.076923076923077
"average.69c07518ef8c7765906f4e89","average","3","low",23,-1.26086956521739
"average.69c07518ef8c7765906f4e89","average","5","high",12,0
"average.69c07518ef8c7765906f4e89","average","5","low",21,-0.19047619047619
"average.69c07518ef8c7765906f4e89","average","7","high",19,2.68421052631579
"average.69c07518ef8c7765906f4e89","average","7","low",15,3.73333333333333
"average.69c19681729c357296460f3d","average","3","high",21,-4.38095238095238
"average.69c19681729c357296460f3d","average","3","low",15,-2.33333333333333
"average.69c19681729c357296460f3d","average","5","high",10,-3.3
"average.69c19681729c357296460f3d","average","5","low",20,0.3
"average.69c19681729c357296460f3d","average","7","high",14,-1.85714285714286
"average.69c19681729c357296460f3d","average","7","low",23,-0.173913043478261
"average.69c1aaedff8c0b25b7df1d32","average","3","high",16,0.3125
"average.69c1aaedff8c0b25b7df1d32","average","3","low",19,-7.36842105263158
"average.69c1aaedff8c0b25b7df1d32","average","5","high",16,-2.5
"average.69c1aaedff8c0b25b7df1d32","average","5","low",20,-6
"average.69c1aaedff8c0b25b7df1d32","average","7","high",14,-0.285714285714286
"average.69c1aaedff8c0b25b7df1d32","average","7","low",21,-2.23809523809524
"experience.558955ebfdf99b6bd06016c9","experience","3","high",15,-1
"experience.558955ebfdf99b6bd06016c9","experience","3","low",29,-3.3448275862069
"experience.558955ebfdf99b6bd06016c9","experience","5","high",18,-0.111111111111111
"experience.558955ebfdf99b6bd06016c9","experience","5","low",21,-1.33333333333333
"experience.558955ebfdf99b6bd06016c9","experience","7","high",12,-2.08333333333333
"experience.558955ebfdf99b6bd06016c9","experience","7","low",7,1.14285714285714
"experience.56c79f6cc41c43000c0886b0","experience","3","high",16,-1.125
"experience.56c79f6cc41c43000c0886b0","experience","3","low",20,1.3
"experience.56c79f6cc41c43000c0886b0","experience","5","high",14,0.857142857142857
"experience.56c79f6cc41c43000c0886b0","experience","5","low",16,1.0625
"experience.56c79f6cc41c43000c0886b0","experience","7","high",15,1.86666666666667
"experience.56c79f6cc41c43000c0886b0","experience","7","low",22,3.09090909090909
"experience.5711c09d28742b0011c585be","experience","3","high",12,-2.16666666666667
"experience.5711c09d28742b0011c585be","experience","3","low",13,5.76923076923077
"experience.5711c09d28742b0011c585be","experience","5","high",16,-2.1875
"experience.5711c09d28742b0011c585be","experience","5","low",24,5.54166666666667
"experience.5711c09d28742b0011c585be","experience","7","high",15,-0.466666666666667
"experience.5711c09d28742b0011c585be","experience","7","low",22,6.22727272727273
"experience.5a5aabd3acc75b00017a5300","experience","3","high",13,5.30769230769231
"experience.5a5aabd3acc75b00017a5300","experience","3","low",18,1.5
"experience.5a5aabd3acc75b00017a5300","experience","5","high",15,4.8
"experience.5a5aabd3acc75b00017a5300","experience","5","low",19,1.68421052631579
"experience.5a5aabd3acc75b00017a5300","experience","7","high",17,5.58823529411765
"experience.5a5aabd3acc75b00017a5300","experience","7","low",23,3.56521739130435
"experience.5a792c898fe2dc0001058c3b","experience","3","high",13,-4.46153846153846
"experience.5a792c898fe2dc0001058c3b","experience","3","low",22,-2.86363636363636
"experience.5a792c898fe2dc0001058c3b","experience","5","high",16,-2.5
"experience.5a792c898fe2dc0001058c3b","experience","5","low",21,0.523809523809524
"experience.5a792c898fe2dc0001058c3b","experience","7","high",17,-2.88235294117647
"experience.5a792c898fe2dc0001058c3b","experience","7","low",17,0.529411764705882
"experience.5b0d1b8e444cef0001ca66ac","experience","3","high",18,2.38888888888889
"experience.5b0d1b8e444cef0001ca66ac","experience","3","low",22,-3.04545454545455
"experience.5b0d1b8e444cef0001ca66ac","experience","5","high",14,4.42857142857143
"experience.5b0d1b8e444cef0001ca66ac","experience","5","low",18,-3.88888888888889
"experience.5b0d1b8e444cef0001ca66ac","experience","7","high",13,2.30769230769231
"experience.5b0d1b8e444cef0001ca66ac","experience","7","low",18,-0.611111111111111
"experience.5bb58e338f3bd70001e5df57","experience","3","high",15,1.26666666666667
"experience.5bb58e338f3bd70001e5df57","experience","3","low",20,-3.1
"experience.5bb58e338f3bd70001e5df57","experience","5","high",14,5.35714285714286
"experience.5bb58e338f3bd70001e5df57","experience","5","low",22,-2.86363636363636
"experience.5bb58e338f3bd70001e5df57","experience","7","high",17,7.29411764705882
"experience.5bb58e338f3bd70001e5df57","experience","7","low",15,-0.933333333333333
"experience.5c223d4a4a7e1f000137e5b9","experience","3","high",14,-6.42857142857143
"experience.5c223d4a4a7e1f000137e5b9","experience","3","low",22,-2.90909090909091
"experience.5c223d4a4a7e1f000137e5b9","experience","5","high",17,-2.82352941176471
"experience.5c223d4a4a7e1f000137e5b9","experience","5","low",25,1.44
"experience.5c223d4a4a7e1f000137e5b9","experience","7","high",14,-2.64285714285714
"experience.5c223d4a4a7e1f000137e5b9","experience","7","low",11,1.54545454545455
"experience.5d0c46b3dff7d70019e6dda7","experience","3","high",16,-2.0625
"experience.5d0c46b3dff7d70019e6dda7","experience","3","low",16,0.9375
"experience.5d0c46b3dff7d70019e6dda7","experience","5","high",13,-1.61538461538462
"experience.5d0c46b3dff7d70019e6dda7","experience","5","low",23,1.73913043478261
"experience.5d0c46b3dff7d70019e6dda7","experience","7","high",17,-1.70588235294118
"experience.5d0c46b3dff7d70019e6dda7","experience","7","low",20,2.9
"experience.5d4611bb3c5a360001b1bb59","experience","3","high",15,-3.06666666666667
"experience.5d4611bb3c5a360001b1bb59","experience","3","low",19,2.05263157894737
"experience.5d4611bb3c5a360001b1bb59","experience","5","high",14,-2
"experience.5d4611bb3c5a360001b1bb59","experience","5","low",25,1.8
"experience.5d4611bb3c5a360001b1bb59","experience","7","high",15,-2.46666666666667
"experience.5d4611bb3c5a360001b1bb59","experience","7","low",15,6.73333333333333
"experience.5e991aaac7bc1615ea5b3eb8","experience","3","high",13,5.30769230769231
"experience.5e991aaac7bc1615ea5b3eb8","experience","3","low",22,-0.590909090909091
"experience.5e991aaac7bc1615ea5b3eb8","experience","5","high",13,4.69230769230769
"experience.5e991aaac7bc1615ea5b3eb8","experience","5","low",22,-0.772727272727273
"experience.5e991aaac7bc1615ea5b3eb8","experience","7","high",19,6.31578947368421
"experience.5e991aaac7bc1615ea5b3eb8","experience","7","low",16,3.5
"experience.5ebb96b6cd673a0008ace9ce","experience","3","high",10,4.2
"experience.5ebb96b6cd673a0008ace9ce","experience","3","low",17,-2.23529411764706
"experience.5ebb96b6cd673a0008ace9ce","experience","5","high",15,6
"experience.5ebb96b6cd673a0008ace9ce","experience","5","low",21,-0.285714285714286
"experience.5ebb96b6cd673a0008ace9ce","experience","7","high",21,7.19047619047619
"experience.5ebb96b6cd673a0008ace9ce","experience","7","low",22,-0.863636363636364
"experience.5f16f559325a640008bb9a07","experience","3","high",11,-1.54545454545455
"experience.5f16f559325a640008bb9a07","experience","3","low",22,1.04545454545454
"experience.5f16f559325a640008bb9a07","experience","5","high",16,-3.0625
"experience.5f16f559325a640008bb9a07","experience","5","low",22,1.18181818181818
"experience.5f16f559325a640008bb9a07","experience","7","high",14,-1.28571428571429
"experience.5f16f559325a640008bb9a07","experience","7","low",16,2.75
"experience.5fb809a247aaee22c2a204fc","experience","3","high",16,4.3125
"experience.5fb809a247aaee22c2a204fc","experience","3","low",23,-3.21739130434783
"experience.5fb809a247aaee22c2a204fc","experience","5","high",12,4.75
"experience.5fb809a247aaee22c2a204fc","experience","5","low",16,-4.3125
"experience.5fb809a247aaee22c2a204fc","experience","7","high",18,6.11111111111111
"experience.5fb809a247aaee22c2a204fc","experience","7","low",17,-6.05882352941176
"experience.608f39d2c76e436967135846","experience","3","high",18,0.833333333333333
"experience.608f39d2c76e436967135846","experience","3","low",20,0.9
"experience.608f39d2c76e436967135846","experience","5","high",14,0.285714285714286
"experience.608f39d2c76e436967135846","experience","5","low",19,2.36842105263158
