"participant_id","condition","array_length","side","n_trials","inward"
"experience.6674d66310b6684b86ddf7b9","experience","2","high",9,7.66666666666667
"experience.6674d66310b6684b86ddf7b9","experience","2","low",9,0.222222222222222
"experience.6674d66310b6684b86ddf7b9","experience","10","high",6,6.53333333333334
"experience.6674d66310b6684b86ddf7b9","experience","10","low",11,0.70909090909091
"experience.6674d66310b6684b86ddf7b9","experience","20","high",11,8.5
"experience.6674d66310b6684b86ddf7b9","experience","20","low",7,-1.07142857142857
"experience.669aed56568d11bad784de3b","experience","2","high",8,-1.625
"experience.669aed56568d11bad784de3b","experience","2","low",6,5.83333333333333
"experience.669aed56568d11bad784de3b","experience","10","high",12,-7.21666666666667
"experience.669aed56568d11bad784de3b","experience","10","low",7,3.22857142857143
"experience.669aed56568d11bad784de3b","experience","20","high",10,-5.1
"experience.669aed56568d11bad784de3b","experience","20","low",6,6.16666666666667
"experience.66b68e2b2c21a7ed557cf866","experience","2","high",11,1.63636363636364
"experience.66b68e2b2c21a7ed557cf866","experience","2","low",5,-7.4
"experience.66b68e2b2c21a7ed557cf866","experience","10","high",6,-3.13333333333333
"experience.66b68e2b2c21a7ed557cf866","experience","10","low",9,0.244444444444445
"experience.66b68e2b2c21a7ed557cf866","experience","20","high",6,-1.33333333333333
"experience.66b68e2b2c21a7ed557cf866","experience","20","low",10,1.3
"experience.66d1a34290c0181302a08f66","experience","2","high",7,3.14285714285714
"experience.66d1a34290c0181302a08f66","experience","2","low",8,-0.625
"experience.66d1a34290c0181302a08f66","experience","10","high",6,-2.96666666666667
"experience.66d1a34290c0181302a08f66","experience","10","low",7,1.94285714285714
"experience.66d1a34290c0181302a08f66","experience","20","high",8,-2.375
"experience.66d1a34290c0181302a08f66","experience","20","low",9,3.61111111111111
"experience.66e9cc5fb04f5ba6d8b5a3f1","experience","2","high",10,8.8
"experience.66e9cc5fb04f5ba6d8b5a3f1","experience","2","low",9,-0.111111111111111
"experience.66e9cc5fb04f5ba6d8b5a3f1","experience","10","high",5,7.6
"experience.66e9cc5fb04f5ba6d8b5a3f1","experience","10","low",9,3.68888888888889
"experience.66e9cc5fb04f5ba6d8b5a3f1","experience","20","high",4,3.25
"experience.66e9cc5fb04f5ba6d8b5a3f1","experience","20","low",13,1.26923076923077
"experience.676f2ff678d74407b518207d","experience","2","high",10,7.7
"experience.676f2ff678d74407b518207d","experience","2","low",7,-1.28571428571429
"experience.676f2ff678d74407b518207d","experience","10","high",7,2.62857142857143
"experience.676f2ff678d74407b518207d","experience","10","low",6,5.63333333333333
"experience.676f2ff678d74407b518207d","experience","20","high",7,2.5
"experience.676f2ff678d74407b518207d","experience","20","low",12,2.75
"experience.6941735b3d4f8229158290ea","experience","2","high",8,4
"experience.6941735b3d4f8229158290ea","experience","2","low",10,-2.1
"experience.6941735b3d4f8229158290ea","experience","10","high",7,5.2
"experience.6941735b3d4f8229158290ea","experience","10","low",8,-0.199999999999999
"experience.6941735b3d4f8229158290ea","experience","20","high",6,-0.833333333333333
"experience.6941735b3d4f8229158290ea","experience","20","low",9,-1.61111111111111
"experience.694179d88301c400c4bbdb4d","experience","2","high",5,-0.6
"experience.694179d88301c400c4bbdb4d","experience","2","low",8,-3.625
"experience.694179d88301c400c4bbdb4d","experience","10","high",8,-2.425
"experience.694179d88301c400c4bbdb4d","experience","10","low",11,0.345454545454546
"experience.694179d88301c400c4bbdb4d","experience","20","high",6,-2.5
"experience.694179d88301c400c4bbdb4d","experience","20","low",11,-2.5
"experience.6942e378d0c8a15ff6b1f81e","experience","2","high",5,6
"experience.6942e378d0c8a15ff6b1f81e","experience","2","low",15,-2.86666666666667
"experience.6942e378d0c8a15ff6b1f81e","experience","10","high",13,2.27692307692308
"experience.6942e378d0c8a15ff6b1f81e","experience","10","low",12,-0.783333333333332
"experience.6942e378d0c8a15ff6b1f81e","experience","20","high",6,5.66666666666667
"experience.6942e378d0c8a15ff6b1f81e","experience","20","low",14,-1.07142857142857
"experience.6945b7f9c69fe2317b25e4a2","experience","2","high",8,-2.875
"experience.6945b7f9c69fe2317b25e4a2","experience","2","low",11,2.72727272727273
"experience.6945b7f9c69fe2317b25e4a2","experience","10","high",6,-2.3
"experience.6945b7f9c69fe2317b25e4a2","experience","10","low",12,5.21666666666667
"experience.6945b7f9c69fe2317b25e4a2","experience","20","high",8,-3.5
"experience.6945b7f9c69fe2317b25e4a2","experience","20","low",10,11.7
"experience.6957ec3547d1923f4fa00638","experience","2","high",8,0.375
"experience.6957ec3547d1923f4fa00638","experience","2","low",9,-5.33333333333333
"experience.6957ec3547d1923f4fa00638","experience","10","high",10,-0.599999999999998
"experience.6957ec3547d1923f4fa00638","experience","10","low",9,0.0222222222222228
"experience.6957ec3547d1923f4fa00638","experience","20","high",7,-3.64285714285714
"experience.6957ec3547d1923f4fa00638","experience","20","low",12,3.66666666666667
"experience.695c8ba574771ee1382bed66","experience","2","high",8,5.75
"experience.695c8ba574771ee1382bed66","experience","2","low",9,-3
"experience.695c8ba574771ee1382bed66","experience","10","high",9,0.200000000000002
"experience.695c8ba574771ee1382bed66","experience","10","low",9,4.35555555555556
"experience.695c8ba574771ee1382bed66","experience","20","high",5,-0.5
"experience.695c8ba574771ee1382bed66","experience","20","low",12,3.5
