"experiment","version","level","report","mean_objective","n"
"exp2_batch2","shift_removed","2 squares",37,33.4107142857143,56
"exp2_batch2","shift_removed","2 squares",38,33.46,50
"exp2_batch2","shift_removed","2 squares",39,34,32
"exp2_batch2","shift_removed","2 squares",40,33.4193548387097,31
"exp2_batch2","shift_removed","2 squares",41,33.6666666666667,21
"exp2_batch2","shift_removed","2 squares",42,34.3333333333333,9
"exp2_batch2","shift_removed","2 squares",43,34.9090909090909,11
"exp2_batch2","shift_removed","2 squares",44,34.8333333333333,6
"exp2_batch2","shift_removed","2 squares",45,35.5,2
"exp2_batch2","shift_removed","2 squares",46,36,1
"exp2_batch2","shift_removed","2 squares",47,29.5,2
"exp2_batch2","shift_removed","2 squares",48,32.3333333333333,3
"exp2_batch2","shift_removed","10 squares",2,18.2,2
"exp2_batch2","shift_removed","10 squares",3,14.2,1
"exp2_batch2","shift_removed","10 squares",4,14.2,1
"exp2_batch2","shift_removed","10 squares",5,30.2,1
"exp2_batch2","shift_removed","10 squares",6,17.45,4
"exp2_batch2","shift_removed","10 squares",7,22.95,4
"exp2_batch2","shift_removed","10 squares",8,16.2,13
"exp2_batch2","shift_removed","10 squares",9,17.9368421052632,19
"exp2_batch2","shift_removed","10 squares",10,16.2,9
"exp2_batch2","shift_removed","10 squares",11,16.8111111111111,18
"exp2_batch2","shift_removed","10 squares",12,17.4727272727273,33
"exp2_batch2","shift_removed","10 squares",13,16.7666666666667,30
"exp2_batch2","shift_removed","10 squares",14,17.5111111111111,45
"exp2_batch2","shift_removed","10 squares",15,17.7671641791045,67
"exp2_batch2","shift_removed","10 squares",16,19.178021978022,91
"exp2_batch2","shift_removed","10 squares",17,19.5936170212766,94
"exp2_batch2","shift_removed","10 squares",18,18.9317073170732,123
"exp2_batch2","shift_removed","10 squares",19,20.0102189781022,137
"exp2_batch2","shift_removed","10 squares",20,20.8277372262774,137
"exp2_batch2","shift_removed","10 squares",21,22.0402366863905,169
"exp2_batch2","shift_removed","10 squares",22,21.4982456140351,171
"exp2_batch2","shift_removed","10 squares",23,23.4565445026178,191
"exp2_batch2","shift_removed","10 squares",24,23.0271604938272,162
"exp2_batch2","shift_removed","10 squares",25,24.5651685393258,178
"exp2_batch2","shift_removed","10 squares",26,25.4625,160
"exp2_batch2","shift_removed","10 squares",27,26.7430463576159,151
"exp2_batch2","shift_removed","10 squares",28,28.0150289017341,173
"exp2_batch2","shift_removed","10 squares",29,28.4846715328467,137
"exp2_batch2","shift_removed","10 squares",30,29.6142857142857,140
"exp2_batch2","shift_removed","10 squares",31,30.1477611940299,134
"exp2_batch2","shift_removed","10 squares",32,30.903125,128
"exp2_batch2","shift_removed","10 squares",33,30.8774193548387,124
"exp2_batch2","shift_removed","10 squares",34,32.0478260869565,92
"exp2_batch2","shift_removed","10 squares",35,31.7396825396825,63
"exp2_batch2","shift_removed","10 squares",36,32.3290322580645,62
"exp2_batch2","shift_removed","10 squares",37,33.96,50
"exp2_batch2","shift_removed","10 squares",38,34.237037037037,27
"exp2_batch2","shift_removed","10 squares",39,32.9727272727273,22
"exp2_batch2","shift_removed","10 squares",40,33.9333333333333,15
"exp2_batch2","shift_removed","10 squares",41,34.6666666666667,15
"exp2_batch2","shift_removed","10 squares",42,34.3428571428571,7
"exp2_batch2","shift_removed","10 squares",43,35.7,2
"exp2_batch2","shift_removed","10 squares",44,33.0571428571429,7
"exp2_batch2","shift_removed","10 squares",45,35.8666666666667,3
"exp2_batch2","shift_removed","10 squares",46,36.2,1
"exp2_batch2","shift_removed","10 squares",48,35.2,1
"exp2_batch2","shift_removed","20 squares",1,12.5,1
"exp2_batch2","shift_removed","20 squares",2,12.5,2
"exp2_batch2","shift_removed","20 squares",3,17.5,1
"exp2_batch2","shift_removed","20 squares",4,15.5,3
"exp2_batch2","shift_removed","20 squares",5,12.75,4
"exp2_batch2","shift_removed","20 squares",6,15.5,5
"exp2_batch2","shift_removed","20 squares",7,15.2692307692308,13
"exp2_batch2","shift_removed","20 squares",8,14.8333333333333,12
"exp2_batch2","shift_removed","20 squares",9,14.9444444444444,18
"exp2_batch2","shift_removed","20 squares",10,15.5769230769231,26
"exp2_batch2","shift_removed","20 squares",11,14.96875,32
"exp2_batch2","shift_removed","20 squares",12,15.9354838709677,62
"exp2_batch2","shift_removed","20 squares",13,16.0774647887324,71
"exp2_batch2","shift_removed","20 squares",14,16.1857142857143,105
"exp2_batch2","shift_removed","20 squares",15,16.5595238095238,84
"exp2_batch2","shift_removed","20 squares",16,17.6746031746032,126
"exp2_batch2","shift_removed","20 squares",17,18.7142857142857,126
"exp2_batch2","shift_removed","20 squares",18,18.3807947019868,151
"exp2_batch2","shift_removed","20 squares",19,19.675572519084,131
"exp2_batch2","shift_removed","20 squares",20,20.4333333333333,180
"exp2_batch2","shift_removed","20 squares",21,20.7302631578947,152
"exp2_batch2","shift_removed","20 squares",22,22.7335329341317,167
"exp2_batch2","shift_removed","20 squares",23,23.5124223602484,161
"exp2_batch2","shift_removed","20 squares",24,24.0502958579882,169
"exp2_batch2","shift_removed","20 squares",25,24.3285714285714,140
"exp2_batch2","shift_removed","20 squares",26,26.5181818181818,165
"exp2_batch2","shift_removed","20 squares",27,26.1428571428571,126
"exp2_batch2","shift_removed","20 squares",28,27.6168831168831,154
"exp2_batch2","shift_removed","20 squares",29,27.9793388429752,121
"exp2_batch2","shift_removed","20 squares",30,28.9471544715447,123
"exp2_batch2","shift_removed","20 squares",31,29.5344827586207,116
"exp2_batch2","shift_removed","20 squares",32,29.7795698924731,93
"exp2_batch2","shift_removed","20 squares",33,31.1129032258065,62
"exp2_batch2","shift_removed","20 squares",34,30.9246575342466,73
"exp2_batch2","shift_removed","20 squares",35,31.5350877192982,57
"exp2_batch2","shift_removed","20 squares",36,32.3571428571429,35
"exp2_batch2","shift_removed","20 squares",37,31.2058823529412,34
"exp2_batch2","shift_removed","20 squares",38,31.8793103448276,29
"exp2_batch2","shift_removed","20 squares",39,31.921052631579,19
"exp2_batch2","shift_removed","20 squares",40,31.3947368421053,19
"exp2_batch2","shift_removed","20 squares",41,31.3181818181818,11
"exp2_batch2","shift_removed","20 squares",42,32.9,5
"exp2_batch2","shift_removed","20 squares",43,32.8333333333333,3
"exp2_batch2","shift_removed","20 squares",44,33,8
"exp2_batch2","shift_removed","20 squares",45,34.5,2
"exp2_batch2","shift_removed","20 squares",50,29.5,1
"exp2_batch2","shift_removed","20 squares",51,28.5,1
