"bias","experiment","level","true","n","mean_report","sd_report"
1.51219512195122,"exp2_batch2","10 squares",15,123,16.5121951219512,4.80328755868847
1.6056338028169,"exp2_batch2","10 squares",16,142,17.6056338028169,5.55559617738953
1.10655737704918,"exp2_batch2","10 squares",17,122,18.1065573770492,5.4314775504441
0.637681159420289,"exp2_batch2","10 squares",18,138,18.6376811594203,5.19255788195497
0.136054421768709,"exp2_batch2","10 squares",19,147,19.1360544217687,5.50048497959195
0.183006535947712,"exp2_batch2","10 squares",20,153,20.1830065359477,5.35015728801836
0.0335570469798654,"exp2_batch2","10 squares",21,149,21.0335570469799,5.03825380971578
-0.535483870967742,"exp2_batch2","10 squares",22,155,21.4645161290323,6.14782975048691
-1.20359281437126,"exp2_batch2","10 squares",23,167,21.7964071856287,6.0773517161173
-0.218309859154928,"exp2_batch2","10 squares",24,142,23.7816901408451,5.48901701231308
-1.51327433628319,"exp2_batch2","10 squares",25,113,23.4867256637168,5.91625340579388
-1.14184397163121,"exp2_batch2","10 squares",26,141,24.8581560283688,5.89380008420918
-2.02797202797203,"exp2_batch2","10 squares",27,143,24.972027972028,5.97641380049148
-2.13103448275862,"exp2_batch2","10 squares",28,145,25.8689655172414,5.89874653871221
-2.29007633587786,"exp2_batch2","10 squares",29,131,26.7099236641221,5.65207728949593
-2.91791044776119,"exp2_batch2","10 squares",30,134,27.0820895522388,6.80230888208249
-3.2578125,"exp2_batch2","10 squares",31,128,27.7421875,5.90241655268563
-2.81944444444444,"exp2_batch2","10 squares",32,144,29.1805555555556,5.73378257577514
-2.2109375,"exp2_batch2","10 squares",33,128,30.7890625,5.8061226762355
-3.08333333333333,"exp2_batch2","10 squares",34,132,30.9166666666667,6.75531079363304
-4.19230769230769,"exp2_batch2","10 squares",35,130,30.8076923076923,6.33814116227807
-3.38562091503268,"exp2_batch2","10 squares",36,153,32.6143790849673,6.41556924393855
-0.666666666666666,"exp2_batch2","20 squares",14,138,13.3333333333333,5.08516280748107
-0.623076923076923,"exp2_batch2","20 squares",15,130,14.3769230769231,5.35306242078856
-1.28082191780822,"exp2_batch2","20 squares",16,146,14.7191780821918,5.20178106193868
-1.27272727272727,"exp2_batch2","20 squares",17,132,15.7272727272727,5.30028216027102
-1.42105263157895,"exp2_batch2","20 squares",18,133,16.578947368421,5.51061032520898
-1.42953020134228,"exp2_batch2","20 squares",19,149,17.5704697986577,5.85668367736528
-2.06622516556292,"exp2_batch2","20 squares",20,151,17.9337748344371,5.66353114134305
-1.375,"exp2_batch2","20 squares",21,144,19.625,5.57701953135784
-1.9765625,"exp2_batch2","20 squares",22,128,20.0234375,6.1317103287026
-2.97810218978102,"exp2_batch2","20 squares",23,137,20.021897810219,5.72721464136835
-2.17482517482517,"exp2_batch2","20 squares",24,143,21.8251748251748,6.09584791189836
-2.97101449275362,"exp2_batch2","20 squares",25,138,22.0289855072464,5.50903972315695
-3.16058394160584,"exp2_batch2","20 squares",26,137,22.8394160583942,5.87020589958851
-3.11510791366906,"exp2_batch2","20 squares",27,139,23.8848920863309,6.04221758010846
-3.02547770700637,"exp2_batch2","20 squares",28,157,24.9745222929936,5.8231952685547
-3.36551724137931,"exp2_batch2","20 squares",29,145,25.6344827586207,6.29573686568874
-3.84297520661157,"exp2_batch2","20 squares",30,121,26.1570247933884,6.66584361310556
-4.07462686567164,"exp2_batch2","20 squares",31,134,26.9253731343284,6.41383240351082
-4.02666666666667,"exp2_batch2","20 squares",32,150,27.9733333333333,6.46409460138541
-4.23188405797102,"exp2_batch2","20 squares",33,138,28.768115942029,6.39147453952365
-4.10606060606061,"exp2_batch2","20 squares",34,132,29.8939393939394,6.84647073037983
-4.68992248062015,"exp2_batch2","20 squares",35,129,30.3100775193798,5.79169455126855
-4.68243243243243,"exp2_batch2","20 squares",36,148,31.3175675675676,6.02380443684577
