"experiment","version","level","report","mean_objective","n","sd_objective","min_objective","max_objective"
"exp2_batch2","raw","20 squares",31,30.5,80,4.69581014430869,17,36
"exp2_batch2","raw","20 squares",32,30.6470588235294,68,4.59644478409178,18,36
"exp2_batch2","raw","20 squares",33,30.2686567164179,67,5.073944402988,16,36
"exp2_batch2","raw","20 squares",34,31.5,42,4.70728547948452,15,36
"exp2_batch2","raw","20 squares",35,31.7291666666667,48,3.61285873332329,21,36
"exp2_batch2","raw","20 squares",36,32.1627906976744,43,3.59185740886602,22,36
"exp2_batch2","raw","20 squares",37,31.7666666666667,30,4.75382483635153,19,36
"exp2_batch2","raw","20 squares",38,31.3,30,3.69669003858578,22,36
"exp2_batch2","raw","20 squares",39,33.1153846153846,26,2.74702636429901,28,36
"exp2_batch2","raw","20 squares",40,32.8695652173913,23,2.89677481828086,24,36
"exp2_batch2","raw","20 squares",41,34.6363636363636,11,1.5015143870591,32,36
"exp2_batch2","raw","20 squares",42,33.125,16,2.21735578260835,30,36
"exp2_batch2","raw","20 squares",43,34.5,4,0.577350269189626,34,35
"exp2_batch2","raw","20 squares",44,33.5,6,2.50998007960223,30,36
"exp2_batch2","raw","20 squares",45,33,1,NA,33,33
"exp2_batch2","raw","20 squares",46,30,1,NA,30,30
"exp2_batch2","raw","20 squares",48,31,1,NA,31,31
"exp2_batch2","shift_removed","2 squares",1,16,1,NA,16,16
"exp2_batch2","shift_removed","2 squares",3,14,1,NA,14,14
"exp2_batch2","shift_removed","2 squares",5,14,1,NA,14,14
"exp2_batch2","shift_removed","2 squares",6,18.5,2,6.36396103067893,14,23
"exp2_batch2","shift_removed","2 squares",7,15.4285714285714,7,1.39727626201154,14,18
"exp2_batch2","shift_removed","2 squares",8,17,12,3.21926021993196,14,26
"exp2_batch2","shift_removed","2 squares",9,15.1428571428571,7,1.21498579258791,14,17
"exp2_batch2","shift_removed","2 squares",10,15.9230769230769,13,2.10006104917367,14,21
"exp2_batch2","shift_removed","2 squares",11,17.6470588235294,17,3.08101396602215,14,25
"exp2_batch2","shift_removed","2 squares",12,16.7659574468085,47,2.4424930773561,14,23
"exp2_batch2","shift_removed","2 squares",13,16.9591836734694,49,3.52939550816584,14,33
"exp2_batch2","shift_removed","2 squares",14,18.3666666666667,60,3.47858663421675,14,29
"exp2_batch2","shift_removed","2 squares",15,17.6136363636364,88,3.10887427673548,14,28
"exp2_batch2","shift_removed","2 squares",16,18.0841121495327,107,3.30271899228814,14,31
"exp2_batch2","shift_removed","2 squares",17,18.7238805970149,134,3.74846693684407,14,32
"exp2_batch2","shift_removed","2 squares",18,18.6260162601626,123,3.5744961217385,14,28
"exp2_batch2","shift_removed","2 squares",19,19.8308823529412,136,4.3077108246747,14,35
"exp2_batch2","shift_removed","2 squares",20,20.8345323741007,139,4.11007444183467,14,34
"exp2_batch2","shift_removed","2 squares",21,21.5185185185185,162,3.91877503712326,14,32
"exp2_batch2","shift_removed","2 squares",22,22.6277372262774,137,4.41089443255539,14,36
"exp2_batch2","shift_removed","2 squares",23,23.6054421768707,147,4.61913504197671,14,36
"exp2_batch2","shift_removed","2 squares",24,24.0933333333333,150,4.55149015596222,14,36
"exp2_batch2","shift_removed","2 squares",25,24.9929078014184,141,4.22998894611982,15,36
"exp2_batch2","shift_removed","2 squares",26,26.2108843537415,147,4.5993318343158,14,36
"exp2_batch2","shift_removed","2 squares",27,27.1777777777778,135,5.12510162500869,14,36
"exp2_batch2","shift_removed","2 squares",28,27.9597315436242,149,4.2280900975961,17,36
"exp2_batch2","shift_removed","2 squares",29,28.437908496732,153,4.09240320812696,14,36
"exp2_batch2","shift_removed","2 squares",30,29.3858267716535,127,4.0080222017541,18,36
"exp2_batch2","shift_removed","2 squares",31,30.1388888888889,108,3.80962463707245,15,36
"exp2_batch2","shift_removed","2 squares",32,31.0819672131148,122,3.47503532043273,20,36
