"participant_id","condition","array_length","n_trials","n_eligible","n_exaggerated","prop_exagg"
"average.6110888158573651261c3100","average","10",30,17,4,0.133333333333333
"average.6110888158573651261c3100","average","20",32,20,4,0.125
"average.614f39b82ccdbdd51c76cc50","average","2",30,16,6,0.2
"average.614f39b82ccdbdd51c76cc50","average","10",32,15,3,0.09375
"average.614f39b82ccdbdd51c76cc50","average","20",31,16,7,0.225806451612903
"average.6151e479b4ee16668948c7f2","average","2",30,17,4,0.133333333333333
"average.6151e479b4ee16668948c7f2","average","10",32,17,1,0.03125
"average.6151e479b4ee16668948c7f2","average","20",31,14,1,0.032258064516129
"average.62733b8ee687326d23d970ea","average","2",30,16,0,0
"average.62733b8ee687326d23d970ea","average","10",30,21,0,0
"average.62733b8ee687326d23d970ea","average","20",32,20,0,0
"average.628a4816764d2f993ee7493d","average","2",28,18,8,0.285714285714286
"average.628a4816764d2f993ee7493d","average","10",29,13,4,0.137931034482759
"average.628a4816764d2f993ee7493d","average","20",30,21,6,0.2
"average.62e97dfea1a1ef00cb9f0b10","average","2",30,13,2,0.0666666666666667
"average.62e97dfea1a1ef00cb9f0b10","average","10",30,16,4,0.133333333333333
"average.62e97dfea1a1ef00cb9f0b10","average","20",29,13,2,0.0689655172413793
"average.631a9f635762d2b83a53202b","average","2",32,20,8,0.25
"average.631a9f635762d2b83a53202b","average","10",31,19,9,0.290322580645161
"average.631a9f635762d2b83a53202b","average","20",31,16,4,0.129032258064516
"average.63b82398bbe6a599972413ad","average","2",30,16,7,0.233333333333333
"average.63b82398bbe6a599972413ad","average","10",32,25,7,0.21875
"average.63b82398bbe6a599972413ad","average","20",32,14,3,0.09375
"average.63dab0380b8791f9560fd329","average","2",32,21,4,0.125
"average.63dab0380b8791f9560fd329","average","10",31,21,1,0.032258064516129
"average.63dab0380b8791f9560fd329","average","20",30,19,2,0.0666666666666667
"average.64509bfcd8d8b7e61f801e95","average","2",29,18,0,0
"average.64509bfcd8d8b7e61f801e95","average","10",30,14,0,0
"average.64509bfcd8d8b7e61f801e95","average","20",30,21,3,0.1
"average.64a6e31ef9a471c4f100c91f","average","2",30,16,5,0.166666666666667
"average.64a6e31ef9a471c4f100c91f","average","10",31,16,3,0.0967741935483871
"average.64a6e31ef9a471c4f100c91f","average","20",31,12,2,0.0645161290322581
"average.650b695bf3b3d34f9c461926","average","2",31,17,5,0.161290322580645
"average.650b695bf3b3d34f9c461926","average","10",30,16,1,0.0333333333333333
"average.650b695bf3b3d34f9c461926","average","20",26,17,2,0.0769230769230769
"average.6544fd4daeb0e81889e217f7","average","2",30,17,5,0.166666666666667
"average.6544fd4daeb0e81889e217f7","average","10",27,14,3,0.111111111111111
"average.6544fd4daeb0e81889e217f7","average","20",29,14,4,0.137931034482759
"average.656c1adbdb298e7230d7b396","average","2",31,15,4,0.129032258064516
"average.656c1adbdb298e7230d7b396","average","10",31,19,6,0.193548387096774
"average.656c1adbdb298e7230d7b396","average","20",29,15,0,0
"average.65fa95fafeda35caf378b6f9","average","2",31,16,2,0.0645161290322581
"average.65fa95fafeda35caf378b6f9","average","10",30,13,3,0.1
"average.65fa95fafeda35caf378b6f9","average","20",31,20,9,0.290322580645161
"average.6631a9caa7ecf621ae2ad49f","average","2",28,14,0,0
"average.6631a9caa7ecf621ae2ad49f","average","10",31,19,1,0.032258064516129
"average.6631a9caa7ecf621ae2ad49f","average","20",30,15,2,0.0666666666666667
"average.66450101a6a8f52f8b5db596","average","2",30,14,6,0.2
"average.66450101a6a8f52f8b5db596","average","10",32,18,3,0.09375
"average.66450101a6a8f52f8b5db596","average","20",31,23,6,0.193548387096774
"average.66463e4efb99fba5a67a010a","average","2",32,17,8,0.25
"average.66463e4efb99fba5a67a010a","average","10",30,15,4,0.133333333333333
"average.66463e4efb99fba5a67a010a","average","20",30,18,4,0.133333333333333
"average.66707f3a4435f4e05d0940a1","average","2",32,17,6,0.1875
"average.66707f3a4435f4e05d0940a1","average","10",32,20,3,0.09375
"average.66707f3a4435f4e05d0940a1","average","20",30,14,3,0.1
