"meanVal","array_length","condition","mean_response","n_trials"
29,"8","experience",28.1666666666667,18
29,"12","average",26,11
29,"12","experience",29.4736842105263,19
30,"2","average",27.6785714285714,28
30,"2","experience",26.4666666666667,15
30,"6","average",27.6818181818182,22
30,"6","experience",29.4444444444444,27
30,"8","average",29.64,25
30,"8","experience",26.6923076923077,13
30,"12","average",32.04,25
30,"12","experience",29.5185185185185,27
31,"2","average",29,30
31,"2","experience",28.578947368421,19
31,"6","average",29.64,25
31,"6","experience",29.05,20
31,"8","average",29.15,20
31,"8","experience",31,16
31,"12","average",28.7931034482759,29
31,"12","experience",31,22
32,"2","average",29.64,25
32,"2","experience",28.85,20
32,"6","average",29.9166666666667,24
32,"6","experience",30,25
32,"8","average",32,17
32,"8","experience",31.4090909090909,22
32,"12","average",31.3076923076923,26
32,"12","experience",31.5416666666667,24
33,"2","average",28.8260869565217,23
33,"2","experience",28.1904761904762,21
33,"6","average",29.92,25
33,"6","experience",29.5217391304348,23
33,"8","average",31.5909090909091,22
33,"8","experience",31.5454545454545,22
33,"12","average",31.1904761904762,21
33,"12","experience",34.1578947368421,19
34,"2","average",28.9166666666667,24
34,"2","experience",33.0952380952381,21
34,"6","average",32.4090909090909,22
34,"6","experience",29.88,25
34,"8","average",31.2307692307692,26
34,"8","experience",33,23
34,"12","average",32.1923076923077,26
34,"12","experience",36.1764705882353,17
35,"2","average",32.3333333333333,24
35,"2","experience",29.8076923076923,26
35,"6","average",33.625,32
35,"6","experience",31.1538461538462,26
35,"8","average",30.6666666666667,21
35,"8","experience",33.75,24
35,"12","average",32.96,25
35,"12","experience",37.2608695652174,23
36,"2","average",32.8,25
36,"2","experience",31.7272727272727,22
36,"6","average",34.3333333333333,27
36,"6","experience",33.625,24
36,"8","average",33.0833333333333,24
36,"8","experience",30.7333333333333,30
36,"12","average",35.7826086956522,23
36,"12","experience",35.9047619047619,21
