"experiment","version","level","report","mean_objective","n","sd_objective","min_objective","max_objective"
"exp2","raw","20 squares",35,30.3227848101266,79,3.75793005513055,19.5,34.5
"exp2","raw","20 squares",36,30.5,66,3.65429147083893,19.5,34.5
"exp2","raw","20 squares",37,30.5925925925926,54,4.14031499357015,17.5,34.5
"exp2","raw","20 squares",38,29.8243243243243,37,4.01423892090569,20.5,34.5
"exp2","raw","20 squares",39,31.6176470588235,34,3.12142844031725,21.5,34.5
"exp2","raw","20 squares",40,31.3928571428571,28,2.68520342996903,22.5,34.5
"exp2","raw","20 squares",41,32.7666666666667,15,1.57963226582585,30.5,34.5
"exp2","raw","20 squares",42,31.8684210526316,19,2.16565428439817,28.5,34.5
"exp2","raw","20 squares",43,33,4,0.577350269189626,32.5,33.5
"exp2","raw","20 squares",44,32,6,2.50998007960223,28.5,34.5
"exp2","raw","20 squares",45,31.5,1,NA,31.5,31.5
"exp2","raw","20 squares",46,28.5,1,NA,28.5,28.5
"exp2","raw","20 squares",48,32,2,3.53553390593274,29.5,34.5
"exp2","shift_removed","2 squares",1,16,1,NA,16,16
"exp2","shift_removed","2 squares",3,14,2,0,14,14
"exp2","shift_removed","2 squares",5,14,2,0,14,14
"exp2","shift_removed","2 squares",6,18.5,2,6.36396103067893,14,23
"exp2","shift_removed","2 squares",7,15.375,8,1.30247018062932,14,18
"exp2","shift_removed","2 squares",8,17.1333333333333,15,3.24844285041017,14,26
"exp2","shift_removed","2 squares",9,15.0833333333333,12,0.996204919895622,14,17
"exp2","shift_removed","2 squares",10,15.8333333333333,18,1.8864844365676,14,21
"exp2","shift_removed","2 squares",11,17.7272727272727,33,3.03389938108459,14,26
"exp2","shift_removed","2 squares",12,17.1194029850746,67,3.11653648112336,14,30
"exp2","shift_removed","2 squares",13,17.4142857142857,70,3.87669685014303,14,35
"exp2","shift_removed","2 squares",14,18.1511627906977,86,3.47940982778086,14,29
"exp2","shift_removed","2 squares",15,17.5703703703704,135,3.10401939893524,14,30
"exp2","shift_removed","2 squares",16,18.079754601227,163,3.14069583210124,14,31
"exp2","shift_removed","2 squares",17,18.7684210526316,190,3.87490264517799,14,36
"exp2","shift_removed","2 squares",18,18.7286432160804,199,3.68682251689069,14,34
"exp2","shift_removed","2 squares",19,19.6383928571429,224,4.22554150292637,14,35
"exp2","shift_removed","2 squares",20,20.8834080717489,223,4.15952646400999,14,34
"exp2","shift_removed","2 squares",21,21.6653992395437,263,4.23388508945229,14,35
"exp2","shift_removed","2 squares",22,22.6869565217391,230,4.60845097523175,14,36
"exp2","shift_removed","2 squares",23,23.5230125523013,239,4.78514131881372,14,36
"exp2","shift_removed","2 squares",24,23.8991935483871,248,4.57527231494581,14,36
"exp2","shift_removed","2 squares",25,25.2489626556017,241,4.44178184997488,15,36
"exp2","shift_removed","2 squares",26,26.3478260869565,230,4.6858394470291,14,36
"exp2","shift_removed","2 squares",27,27.411214953271,214,4.92755645340218,14,36
"exp2","shift_removed","2 squares",28,27.8471615720524,229,4.19672525582778,15,36
"exp2","shift_removed","2 squares",29,28.5914893617021,235,4.22587824216711,14,36
"exp2","shift_removed","2 squares",30,29.7029702970297,202,3.99762256326399,18,36
"exp2","shift_removed","2 squares",31,30.1741573033708,178,3.96852099532938,15,36
"exp2","shift_removed","2 squares",32,30.9558011049724,181,3.50368568545228,19,36
"exp2","shift_removed","2 squares",33,31.4647058823529,170,3.76238643524703,15,36
"exp2","shift_removed","2 squares",34,31.9084967320261,153,3.40154662408801,19,36
