"meanVal","variance_level","condition","mean_response","n_trials"
23.1,"3","average",22.5277777777778,36
23.1,"3","experience",21.6428571428571,42
23.1,"5","average",21.8604651162791,43
23.1,"5","experience",23.421052631579,38
23.1,"7","average",25.0377358490566,53
23.1,"7","experience",24.2258064516129,31
23.2,"3","average",21.1666666666667,6
23.2,"3","experience",20.4285714285714,7
23.2,"5","average",22.5,6
23.2,"5","experience",20,9
23.2,"7","average",20.75,8
23.2,"7","experience",23.6666666666667,6
23.3,"3","average",26,1
23.7,"5","experience",29,1
23.8,"3","average",25.5,12
23.8,"3","experience",18.875,8
23.8,"5","average",24.125,8
23.8,"5","experience",21.9,10
23.8,"7","average",23.3333333333333,6
23.8,"7","experience",21.4,10
23.9,"3","average",23.3529411764706,34
23.9,"3","experience",21.1470588235294,34
23.9,"5","average",22.35,40
23.9,"5","experience",23.4186046511628,43
23.9,"7","average",24.2058823529412,34
23.9,"7","experience",23.8095238095238,42
24,"3","average",22.9850746268657,67
24,"3","experience",21.9,60
24,"5","average",22.987012987013,77
24,"5","experience",24.1038961038961,77
24,"7","average",22.5322580645161,62
24,"7","experience",25.0655737704918,61
24.1,"3","average",22.6346153846154,52
24.1,"3","experience",23.1621621621622,37
24.1,"5","average",23.0555555555556,36
24.1,"5","experience",24.4358974358974,39
24.1,"7","average",23.5454545454545,44
24.1,"7","experience",24.6304347826087,46
24.2,"3","average",20.5714285714286,7
24.2,"3","experience",19.5,4
24.2,"5","average",23.5,6
24.2,"5","experience",17.6,5
24.2,"7","average",23.75,4
24.2,"7","experience",23.3333333333333,6
24.8,"3","average",24.3333333333333,3
24.8,"3","experience",23.5,6
24.8,"5","average",25.1666666666667,6
24.8,"5","experience",22.4,5
24.8,"7","average",21.6666666666667,6
24.8,"7","experience",22.6428571428571,14
24.9,"3","average",23.5128205128205,39
24.9,"3","experience",23.7105263157895,38
24.9,"5","average",23.6590909090909,44
24.9,"5","experience",27.0238095238095,42
24.9,"7","average",24.45,40
24.9,"7","experience",24.7647058823529,34
25,"3","average",24.1617647058824,68
25,"3","experience",22.984375,64
25,"5","average",23.6266666666667,75
25,"5","experience",25.4794520547945,73
25,"7","average",25.5454545454545,55
25,"7","experience",25.5753424657534,73
25.1,"3","average",23.2647058823529,34
25.1,"3","experience",25.3243243243243,37
25.1,"5","average",24.5614035087719,57
25.1,"5","experience",24,37
25.1,"7","average",24.2432432432432,37
25.1,"7","experience",25.0217391304348,46
25.2,"3","average",24.5714285714286,14
25.2,"3","experience",24.8571428571429,7
25.2,"5","average",26,7
25.2,"5","experience",26.5,6
25.2,"7","average",23.1666666666667,6
25.2,"7","experience",24.3333333333333,9
25.3,"5","average",27,1
25.7,"5","average",22,1
25.8,"3","average",24,3
25.8,"3","experience",22.875,8
25.8,"5","average",26.1428571428571,7
25.8,"5","experience",27,3
25.8,"7","average",27.1,10
25.8,"7","experience",27.1666666666667,12
25.9,"3","average",24.1,40
25.9,"3","experience",24.5909090909091,44
25.9,"5","average",25.1111111111111,27
25.9,"5","experience",26.8636363636364,44
25.9,"7","average",26.5555555555556,36
25.9,"7","experience",27.5952380952381,42
26,"3","average",25.6625,80
26,"3","experience",25.1147540983607,61
26,"5","average",26.25,76
26,"5","experience",26.1923076923077,78
26,"7","average",25.7837837837838,74
26,"7","experience",27.2241379310345,58
26.1,"3","average",23.0882352941176,34
26.1,"3","experience",24.3888888888889,36
26.1,"5","average",24.475,40
26.1,"5","experience",26.4047619047619,42
26.1,"7","average",25.9545454545455,44
26.1,"7","experience",25.75,36
26.2,"3","average",27.25,4
26.2,"3","experience",29,7
26.2,"5","average",29.2,5
26.2,"5","experience",32,3
26.2,"7","average",25,11
26.2,"7","experience",26.5,6
26.7,"5","experience",28,1
26.8,"3","average",25.25,4
26.8,"3","experience",25.875,8
26.8,"5","average",21.5,2
26.8,"5","experience",25.2,5
26.8,"7","average",27.625,8
26.8,"7","experience",33.7142857142857,7
26.9,"3","average",23.7,30
26.9,"3","experience",24.6666666666667,39
26.9,"5","average",25.0571428571429,35
26.9,"5","experience",27.8157894736842,38
26.9,"7","average",26.3260869565217,46
26.9,"7","experience",26.6101694915254,59
27,"3","average",26.2658227848101,79
27,"3","experience",25.7068965517241,58
27,"5","average",26.6323529411765,68
27,"5","experience",27.8615384615385,65
27,"7","average",25.9850746268657,67
27,"7","experience",27.734375,64
27.1,"3","average",26.1458333333333,48
27.1,"3","experience",26.4358974358974,39
27.1,"5","average",26.8666666666667,45
27.1,"5","experience",26.25,44
27.1,"7","average",25.5116279069767,43
27.1,"7","experience",27.8974358974359,39
27.2,"3","average",24,4
27.2,"3","experience",26.4444444444444,9
27.2,"5","average",30.5,4
27.2,"5","experience",29.1428571428571,7
27.2,"7","average",27.6666666666667,9
27.2,"7","experience",28.8333333333333,6
27.3,"5","experience",24,1
27.7,"5","experience",27,1
27.8,"3","average",21.6666666666667,3
27.8,"3","experience",33.5,6
27.8,"5","average",28.7142857142857,7
27.8,"5","experience",27.2727272727273,11
27.8,"7","average",26.25,4
27.8,"7","experience",27.5,8
27.9,"3","average",27.4642857142857,28
27.9,"3","experience",28.0967741935484,31
27.9,"5","average",27.2222222222222,45
27.9,"5","experience",25.6129032258065,31
27.9,"7","average",28.4594594594595,37
27.9,"7","experience",28.2790697674419,43
28,"3","average",26.4054054054054,74
28,"3","experience",28,73
28,"5","average",26.6966292134831,89
28,"5","experience",27.7638888888889,72
28,"7","average",25.6176470588235,68
28,"7","experience",28.3076923076923,78
28.1,"3","average",28.2285714285714,35
28.1,"3","experience",29.5882352941176,34
28.1,"5","average",27.8965517241379,29
28.1,"5","experience",28.047619047619,42
28.1,"7","average",26.4237288135593,59
28.1,"7","experience",26.6486486486486,37
28.2,"3","average",28.4,5
28.2,"3","experience",32,3
28.2,"5","average",31.5,2
28.2,"5","experience",28.2857142857143,7
28.2,"7","average",24.6666666666667,3
28.2,"7","experience",27.3333333333333,3
28.3,"7","experience",30.5,2
28.7,"5","average",27,1
28.8,"3","average",31.1666666666667,6
28.8,"3","experience",33.6666666666667,3
28.8,"5","average",29.6666666666667,3
28.8,"5","experience",27.5,4
28.8,"7","average",27.625,8
28.8,"7","experience",30.6,5
28.9,"3","average",28.8780487804878,41
28.9,"3","experience",29.5744680851064,47
28.9,"5","average",27.5116279069767,43
28.9,"5","experience",28.5128205128205,39
28.9,"7","average",26.9375,32
28.9,"7","experience",28.4054054054054,37
29,"3","average",29.3030303030303,66
29,"3","experience",28.4833333333333,60
29,"5","average",27.7066666666667,75
29,"5","experience",29.1492537313433,67
29,"7","average",27.8611111111111,72
29,"7","experience",29.578947368421,76
29.1,"3","average",29.5116279069767,43
29.1,"3","experience",29.7105263157895,38
29.1,"5","average",28.1052631578947,38
29.1,"5","experience",29.9318181818182,44
29.1,"7","average",26.325,40
29.1,"7","experience",27.8571428571429,35
29.2,"3","average",23.7272727272727,11
