"participant_id","condition","variance_level","n_trials","r","z"
"average.699fc622b54af00bf1380eba","average","7",70,0.879084618576958,1.3717245291819
"average.69a30af34cf4575fd785090b","average","3",71,0.824936875166279,1.17207702712537
"average.69a30af34cf4575fd785090b","average","5",71,0.768176201821674,1.0158631536995
"average.69a30af34cf4575fd785090b","average","7",69,0.685242440220031,0.838931011436519
"average.69a4b67351c86f1665010c28","average","3",65,0.826249607766272,1.17620000319337
"average.69a4b67351c86f1665010c28","average","5",66,0.773917804331952,1.03002359873876
"average.69a4b67351c86f1665010c28","average","7",68,0.72623791388899,0.920720136498979
"average.69a54b53983c2fc21935a276","average","3",71,0.75681573488786,0.988719379606229
"average.69a54b53983c2fc21935a276","average","5",68,0.705963351277332,0.879090415239663
"average.69a54b53983c2fc21935a276","average","7",65,0.756978444590788,0.9891003375071
"average.69aa203bc67c0093e96b9875","average","3",71,0.867928643444785,1.32462153106453
"average.69aa203bc67c0093e96b9875","average","5",70,0.894817170238305,1.44558878049357
"average.69aa203bc67c0093e96b9875","average","7",72,0.864514291530464,1.31094485122795
"average.69ac80094c5494db959077d6","average","3",68,0.813691617625656,1.13785817218057
"average.69ac80094c5494db959077d6","average","5",69,0.650516508638936,0.776193613954067
"average.69ac80094c5494db959077d6","average","7",70,0.627050944502468,0.736541294386922
"average.69acffd5ce1304cfa474a22f","average","3",71,0.849888156602398,1.25574991072289
"average.69acffd5ce1304cfa474a22f","average","5",70,0.766130462144515,1.01089141173085
"average.69acffd5ce1304cfa474a22f","average","7",67,0.730012594027591,0.928754326943107
"average.69af386aa115c4cb66894fb8","average","3",68,0.560921018065588,0.634176006020629
"average.69af386aa115c4cb66894fb8","average","5",66,0.573947368813717,0.653389552269017
"average.69af386aa115c4cb66894fb8","average","7",65,0.160312541885602,0.161707465771256
"average.69b4b502fec38544c443c643","average","3",69,0.829470077994562,1.18643542603757
"average.69b4b502fec38544c443c643","average","5",70,0.80460309163397,1.11153151767466
"average.69b4b502fec38544c443c643","average","7",70,0.820773764084205,1.15918396960941
"average.69b702926fc53d9dd8eeaa52","average","3",70,0.728761779285186,0.926081609369397
"average.69b702926fc53d9dd8eeaa52","average","5",70,0.820724414508362,1.15903276258935
"average.69b702926fc53d9dd8eeaa52","average","7",72,0.782731723773272,1.05238462860975
"average.69b885c83f7ae2b8458c6624","average","3",66,0.759946590312136,0.99608865110426
"average.69b885c83f7ae2b8458c6624","average","5",66,0.740667020589801,0.951955396574976
"average.69b885c83f7ae2b8458c6624","average","7",64,0.587113891945415,0.67325034800228
