"participant_id","condition","variance_level","side","n_trials","inward"
"average.699288bfa36a91c33ada5723","average","5","high",13,6.32307692307692
"average.699288bfa36a91c33ada5723","average","5","low",21,-2.88571428571429
"average.699288bfa36a91c33ada5723","average","7","high",17,10.1
"average.699288bfa36a91c33ada5723","average","7","low",22,-1.28636363636364
"average.6998845b8b98b147215b19e5","average","3","high",23,-0.830434782608696
"average.6998845b8b98b147215b19e5","average","3","low",17,-0.088235294117647
"average.6998845b8b98b147215b19e5","average","5","high",17,-1.21176470588235
"average.6998845b8b98b147215b19e5","average","5","low",17,0.570588235294118
"average.6998845b8b98b147215b19e5","average","7","high",10,1.98
"average.6998845b8b98b147215b19e5","average","7","low",28,1.27857142857143
"average.699f3d1a77d51612aeaf5766","average","3","high",17,-2.71176470588235
"average.699f3d1a77d51612aeaf5766","average","3","low",16,-2.925
"average.699f3d1a77d51612aeaf5766","average","5","high",16,0.6875
"average.699f3d1a77d51612aeaf5766","average","5","low",21,-0.338095238095238
"average.699f3d1a77d51612aeaf5766","average","7","high",16,3.3
"average.699f3d1a77d51612aeaf5766","average","7","low",25,-1.384
"average.699fc622b54af00bf1380eba","average","3","high",13,-3.78461538461538
"average.699fc622b54af00bf1380eba","average","3","low",24,-4.72083333333333
"average.699fc622b54af00bf1380eba","average","5","high",9,-0.122222222222222
"average.699fc622b54af00bf1380eba","average","5","low",22,-2.91818181818182
"average.699fc622b54af00bf1380eba","average","7","high",25,-0.744
"average.699fc622b54af00bf1380eba","average","7","low",13,-1.03846153846154
"average.69a30af34cf4575fd785090b","average","3","high",15,-6.06666666666667
"average.69a30af34cf4575fd785090b","average","3","low",15,-2.58666666666667
"average.69a30af34cf4575fd785090b","average","5","high",19,-1.61578947368421
"average.69a30af34cf4575fd785090b","average","5","low",22,0.886363636363636
"average.69a30af34cf4575fd785090b","average","7","high",14,-1.42857142857143
"average.69a30af34cf4575fd785090b","average","7","low",22,0.122727272727273
"average.69a4b67351c86f1665010c28","average","3","high",17,-0.51764705882353
"average.69a4b67351c86f1665010c28","average","3","low",16,1.6625
"average.69a4b67351c86f1665010c28","average","5","high",16,0.11875
"average.69a4b67351c86f1665010c28","average","5","low",21,2.66666666666667
"average.69a4b67351c86f1665010c28","average","7","high",16,1.9
"average.69a4b67351c86f1665010c28","average","7","low",20,4
"average.69a54b53983c2fc21935a276","average","3","high",19,0.642105263157895
"average.69a54b53983c2fc21935a276","average","3","low",17,-6.75294117647059
"average.69a54b53983c2fc21935a276","average","5","high",8,-2.25
"average.69a54b53983c2fc21935a276","average","5","low",19,-4.6
"average.69a54b53983c2fc21935a276","average","7","high",14,-0.492857142857143
"average.69a54b53983c2fc21935a276","average","7","low",25,-3.056
"average.69aa203bc67c0093e96b9875","average","3","high",19,-1.14210526315789
"average.69aa203bc67c0093e96b9875","average","3","low",15,-1.05333333333333
"average.69aa203bc67c0093e96b9875","average","5","high",17,-1.80588235294118
"average.69aa203bc67c0093e96b9875","average","5","low",21,0.20952380952381
"average.69aa203bc67c0093e96b9875","average","7","high",13,-1.37692307692308
"average.69aa203bc67c0093e96b9875","average","7","low",28,0.742857142857143
"average.69ac80094c5494db959077d6","average","3","high",17,2.85294117647059
"average.69ac80094c5494db959077d6","average","3","low",22,-0.422727272727273
"average.69ac80094c5494db959077d6","average","5","high",10,6.27
"average.69ac80094c5494db959077d6","average","5","low",18,1.41666666666667
"average.69ac80094c5494db959077d6","average","7","high",19,7.5
"average.69ac80094c5494db959077d6","average","7","low",18,-0.444444444444445
"average.69acffd5ce1304cfa474a22f","average","3","high",14,-4.1
"average.69acffd5ce1304cfa474a22f","average","3","low",27,-1.81111111111111
"average.69acffd5ce1304cfa474a22f","average","5","high",10,-0.81
"average.69acffd5ce1304cfa474a22f","average","5","low",18,-0.161111111111111
"average.69acffd5ce1304cfa474a22f","average","7","high",21,3.08095238095238
"average.69acffd5ce1304cfa474a22f","average","7","low",14,-0.0500000000000002
"average.69af386aa115c4cb66894fb8","average","3","high",14,-2.5
"average.69af386aa115c4cb66894fb8","average","3","low",25,8.308
"average.69af386aa115c4cb66894fb8","average","5","high",11,-2.08181818181818
"average.69af386aa115c4cb66894fb8","average","5","low",19,6.86315789473684
"average.69af386aa115c4cb66894fb8","average","7","high",19,4.82631578947368
"average.69af386aa115c4cb66894fb8","average","7","low",15,8.88
"average.69b4b502fec38544c443c643","average","3","high",16,0.0937500000000004
"average.69b4b502fec38544c443c643","average","3","low",18,0.466666666666667
"average.69b4b502fec38544c443c643","average","5","high",16,-0.55
"average.69b4b502fec38544c443c643","average","5","low",23,3.24782608695652
"average.69b4b502fec38544c443c643","average","7","high",18,-0.0666666666666661
"average.69b4b502fec38544c443c643","average","7","low",20,4.53
"average.69b702926fc53d9dd8eeaa52","average","3","high",7,-7.34285714285714
"average.69b702926fc53d9dd8eeaa52","average","3","low",22,5.07727272727273
"average.69b702926fc53d9dd8eeaa52","average","5","high",9,-6.65555555555556
"average.69b702926fc53d9dd8eeaa52","average","5","low",33,5.11818181818182
"average.69b702926fc53d9dd8eeaa52","average","7","high",34,-2.84411764705882
"average.69b702926fc53d9dd8eeaa52","average","7","low",7,3.01428571428571
"average.69b885c83f7ae2b8458c6624","average","3","high",13,2.53076923076923
"average.69b885c83f7ae2b8458c6624","average","3","low",22,-6.24090909090909
"average.69b885c83f7ae2b8458c6624","average","5","high",19,-0.157894736842105
"average.69b885c83f7ae2b8458c6624","average","5","low",14,-5.13571428571429
"average.69b885c83f7ae2b8458c6624","average","7","high",16,0.75
"average.69b885c83f7ae2b8458c6624","average","7","low",20,-1.07
"average.69b8c2e2a791bd09e0041dd7","average","3","high",17,3.48823529411765
"average.69b8c2e2a791bd09e0041dd7","average","3","low",14,-1.42857142857143
"average.69b8c2e2a791bd09e0041dd7","average","5","high",18,5.65
"average.69b8c2e2a791bd09e0041dd7","average","5","low",26,1.61923076923077
"average.69b8c2e2a791bd09e0041dd7","average","7","high",12,2.45
"average.69b8c2e2a791bd09e0041dd7","average","7","low",23,3.46086956521739
"average.69b9174a05fa2db6d0a8b4ff","average","3","high",20,9.31
"average.69b9174a05fa2db6d0a8b4ff","average","3","low",26,-9.22692307692308
"average.69b9174a05fa2db6d0a8b4ff","average","5","high",13,8.13076923076923
"average.69b9174a05fa2db6d0a8b4ff","average","5","low",19,-4.05789473684211
"average.69b9174a05fa2db6d0a8b4ff","average","7","high",12,10.6
"average.69b9174a05fa2db6d0a8b4ff","average","7","low",17,-1.81764705882353
"average.69bb5d0e58b8b38af6ea30eb","average","3","high",14,1.50714285714286
"average.69bb5d0e58b8b38af6ea30eb","average","3","low",21,-2.1952380952381
"average.69bb5d0e58b8b38af6ea30eb","average","5","high",13,3.20769230769231
"average.69bb5d0e58b8b38af6ea30eb","average","5","low",26,-1.61923076923077
"average.69bb5d0e58b8b38af6ea30eb","average","7","high",20,2.985
"average.69bb5d0e58b8b38af6ea30eb","average","7","low",14,3.44285714285714
"average.69bc4a5a75e354d36da3b4df","average","3","high",15,0.213333333333333
"average.69bc4a5a75e354d36da3b4df","average","3","low",22,-1.06363636363636
"average.69bc4a5a75e354d36da3b4df","average","5","high",19,4.45789473684211
"average.69bc4a5a75e354d36da3b4df","average","5","low",19,-3.03157894736842
"average.69bc4a5a75e354d36da3b4df","average","7","high",14,4.58571428571429
"average.69bc4a5a75e354d36da3b4df","average","7","low",16,-3.1625
"average.69bdd52e962f286c3349b154","average","3","high",18,3.78333333333333
"average.69bdd52e962f286c3349b154","average","3","low",21,1.46190476190476
"average.69bdd52e962f286c3349b154","average","5","high",13,1.01538461538462
"average.69bdd52e962f286c3349b154","average","5","low",25,4.564
"average.69bdd52e962f286c3349b154","average","7","high",16,2.05
"average.69bdd52e962f286c3349b154","average","7","low",19,5.31578947368421
"average.69c07518ef8c7765906f4e89","average","3","high",13,0.0692307692307692
"average.69c07518ef8c7765906f4e89","average","3","low",24,-1.2125
"average.69c07518ef8c7765906f4e89","average","5","high",13,1.39230769230769
"average.69c07518ef8c7765906f4e89","average","5","low",22,-0.154545454545454
"average.69c07518ef8c7765906f4e89","average","7","high",22,2.75909090909091
"average.69c07518ef8c7765906f4e89","average","7","low",17,3.42352941176471
"average.69c19681729c357296460f3d","average","3","high",26,-4.21538461538462
"average.69c19681729c357296460f3d","average","3","low",15,-2.38666666666667
"average.69c19681729c357296460f3d","average","5","high",10,-3.3
"average.69c19681729c357296460f3d","average","5","low",22,0.759090909090909
"average.69c19681729c357296460f3d","average","7","high",14,-1.87142857142857
"average.69c19681729c357296460f3d","average","7","low",24,-0.0666666666666668
"average.69c1aaedff8c0b25b7df1d32","average","3","high",18,0.522222222222223
"average.69c1aaedff8c0b25b7df1d32","average","3","low",19,-7.39473684210526
"average.69c1aaedff8c0b25b7df1d32","average","5","high",16,-2.48125
"average.69c1aaedff8c0b25b7df1d32","average","5","low",20,-5.97
"average.69c1aaedff8c0b25b7df1d32","average","7","high",16,-0.61875
"average.69c1aaedff8c0b25b7df1d32","average","7","low",23,-2.53478260869565
"experience.558955ebfdf99b6bd06016c9","experience","3","high",17,-1.00588235294118
"experience.558955ebfdf99b6bd06016c9","experience","3","low",29,-3.31724137931034
"experience.558955ebfdf99b6bd06016c9","experience","5","high",18,-0.116666666666667
"experience.558955ebfdf99b6bd06016c9","experience","5","low",22,-1.26363636363636
"experience.558955ebfdf99b6bd06016c9","experience","7","high",14,-1.52857142857143
"experience.558955ebfdf99b6bd06016c9","experience","7","low",8,2.05
"experience.56c79f6cc41c43000c0886b0","experience","3","high",16,-1.0875
"experience.56c79f6cc41c43000c0886b0","experience","3","low",21,1.08095238095238
"experience.56c79f6cc41c43000c0886b0","experience","5","high",14,0.835714285714285
"experience.56c79f6cc41c43000c0886b0","experience","5","low",17,0.864705882352941
"experience.56c79f6cc41c43000c0886b0","experience","7","high",15,1.87333333333333
"experience.56c79f6cc41c43000c0886b0","experience","7","low",23,3.27391304347826
"experience.5711c09d28742b0011c585be","experience","3","high",12,-2.15833333333333
"experience.5711c09d28742b0011c585be","experience","3","low",13,5.76923076923077
"experience.5711c09d28742b0011c585be","experience","5","high",16,-2.1875
"experience.5711c09d28742b0011c585be","experience","5","low",24,5.54166666666667
"experience.5711c09d28742b0011c585be","experience","7","high",15,-0.466666666666667
"experience.5711c09d28742b0011c585be","experience","7","low",22,6.25454545454545
"experience.5a5aabd3acc75b00017a5300","experience","3","high",15,4.91333333333333
"experience.5a5aabd3acc75b00017a5300","experience","3","low",20,0.75
"experience.5a5aabd3acc75b00017a5300","experience","5","high",15,4.79333333333333
"experience.5a5aabd3acc75b00017a5300","experience","5","low",19,1.7
"experience.5a5aabd3acc75b00017a5300","experience","7","high",20,5.35
"experience.5a5aabd3acc75b00017a5300","experience","7","low",23,3.54782608695652
"experience.5a792c898fe2dc0001058c3b","experience","3","high",16,-5.26875
"experience.5a792c898fe2dc0001058c3b","experience","3","low",22,-2.84090909090909
"experience.5a792c898fe2dc0001058c3b","experience","5","high",17,-2.82352941176471
"experience.5a792c898fe2dc0001058c3b","experience","5","low",22,0.690909090909091
"experience.5a792c898fe2dc0001058c3b","experience","7","high",19,-3.21052631578947
"experience.5a792c898fe2dc0001058c3b","experience","7","low",18,-0.016666666666667
"experience.5b0d1b8e444cef0001ca66ac","experience","3","high",19,2.38421052631579
"experience.5b0d1b8e444cef0001ca66ac","experience","3","low",23,-2.94782608695652
"experience.5b0d1b8e444cef0001ca66ac","experience","5","high",17,3.13529411764706
"experience.5b0d1b8e444cef0001ca66ac","experience","5","low",19,-3.54736842105263
"experience.5b0d1b8e444cef0001ca66ac","experience","7","high",14,2
"experience.5b0d1b8e444cef0001ca66ac","experience","7","low",18,-0.627777777777777
"experience.5bb58e338f3bd70001e5df57","experience","3","high",16,1.6125
"experience.5bb58e338f3bd70001e5df57","experience","3","low",21,-3.62380952380952
"experience.5bb58e338f3bd70001e5df57","experience","5","high",15,5.18
"experience.5bb58e338f3bd70001e5df57","experience","5","low",22,-2.83181818181818
"experience.5bb58e338f3bd70001e5df57","experience","7","high",20,6.065
"experience.5bb58e338f3bd70001e5df57","experience","7","low",15,-0.926666666666667
"experience.5c223d4a4a7e1f000137e5b9","experience","3","high",16,-6.7625
"experience.5c223d4a4a7e1f000137e5b9","experience","3","low",22,-2.87727272727273
"experience.5c223d4a4a7e1f000137e5b9","experience","5","high",17,-2.78235294117647
"experience.5c223d4a4a7e1f000137e5b9","experience","5","low",26,1.34615384615385
"experience.5c223d4a4a7e1f000137e5b9","experience","7","high",15,-2.55333333333333
"experience.5c223d4a4a7e1f000137e5b9","experience","7","low",12,1.675
"experience.5d0c46b3dff7d70019e6dda7","experience","3","high",16,-2.06875
"experience.5d0c46b3dff7d70019e6dda7","experience","3","low",17,0.888235294117647
"experience.5d0c46b3dff7d70019e6dda7","experience","5","high",13,-1.6
"experience.5d0c46b3dff7d70019e6dda7","experience","5","low",23,1.74347826086957
"experience.5d0c46b3dff7d70019e6dda7","experience","7","high",17,-1.7
"experience.5d0c46b3dff7d70019e6dda7","experience","7","low",21,3.05238095238095
"experience.5d4611bb3c5a360001b1bb59","experience","3","high",18,-3.11666666666667
"experience.5d4611bb3c5a360001b1bb59","experience","3","low",19,2
"experience.5d4611bb3c5a360001b1bb59","experience","5","high",16,-1.85625
"experience.5d4611bb3c5a360001b1bb59","experience","5","low",25,1.768
"experience.5d4611bb3c5a360001b1bb59","experience","7","high",15,-2.43333333333333
"experience.5d4611bb3c5a360001b1bb59","experience","7","low",15,6.76
"experience.5e991aaac7bc1615ea5b3eb8","experience","3","high",14,4.94285714285714
"experience.5e991aaac7bc1615ea5b3eb8","experience","3","low",23,-0.760869565217391
"experience.5e991aaac7bc1615ea5b3eb8","experience","5","high",13,4.67692307692308
"experience.5e991aaac7bc1615ea5b3eb8","experience","5","low",22,-0.781818181818182
"experience.5e991aaac7bc1615ea5b3eb8","experience","7","high",19,6.31052631578947
"experience.5e991aaac7bc1615ea5b3eb8","experience","7","low",16,3.525
"experience.5ebb96b6cd673a0008ace9ce","experience","3","high",12,4.48333333333333
"experience.5ebb96b6cd673a0008ace9ce","experience","3","low",17,-2.22352941176471
"experience.5ebb96b6cd673a0008ace9ce","experience","5","high",15,6
"experience.5ebb96b6cd673a0008ace9ce","experience","5","low",23,-0.58695652173913
"experience.5ebb96b6cd673a0008ace9ce","experience","7","high",23,6.71739130434783
"experience.5ebb96b6cd673a0008ace9ce","experience","7","low",23,-0.926086956521739
"experience.5f16f559325a640008bb9a07","experience","3","high",13,-1.8
"experience.5f16f559325a640008bb9a07","experience","3","low",23,0.565217391304347
"experience.5f16f559325a640008bb9a07","experience","5","high",17,-3.1
"experience.5f16f559325a640008bb9a07","experience","5","low",22,1.2
"experience.5f16f559325a640008bb9a07","experience","7","high",14,-1.29285714285714
"experience.5f16f559325a640008bb9a07","experience","7","low",17,3.48235294117647
"experience.5fb809a247aaee22c2a204fc","experience","3","high",16,4.2875
"experience.5fb809a247aaee22c2a204fc","experience","3","low",24,-3.4875
"experience.5fb809a247aaee22c2a204fc","experience","5","high",13,4.4
"experience.5fb809a247aaee22c2a204fc","experience","5","low",18,-3.8
"experience.5fb809a247aaee22c2a204fc","experience","7","high",18,6.14444444444444
"experience.5fb809a247aaee22c2a204fc","experience","7","low",19,-5.92105263157895
"experience.608f39d2c76e436967135846","experience","3","high",18,0.872222222222223
"experience.608f39d2c76e436967135846","experience","3","low",21,0.866666666666667
"experience.608f39d2c76e436967135846","experience","5","high",14,0.249999999999999
