"participant_id","condition","variance_level","n_sides","n_low","n_high","inward_low","inward_high","inward"
"average.69854f587004c7ca1ef67ab5","average","3",2,14,21,-0.292857142857142,-0.104761904761904,-0.198809523809523
"average.69854f587004c7ca1ef67ab5","average","5",2,25,10,1.66,0.29,0.975
"average.69854f587004c7ca1ef67ab5","average","7",2,20,17,4.26,0.982352941176471,2.62117647058824
"average.69864918d688ba39aab5c4a9","average","3",2,21,17,-1.65238095238095,1.51764705882353,-0.0673669467787116
"average.69864918d688ba39aab5c4a9","average","5",2,22,13,0.904545454545455,2.02307692307692,1.46381118881119
"average.69864918d688ba39aab5c4a9","average","7",2,20,13,2.245,4.64615384615385,3.44557692307692
"average.698a3d827015c99ab3f87957","average","3",2,19,18,-2.55263157894737,8.41666666666667,2.93201754385965
"average.698a3d827015c99ab3f87957","average","5",2,19,16,-2.98421052631579,8.88125,2.9485197368421
"average.698a3d827015c99ab3f87957","average","7",2,25,12,-1.14,10.5666666666667,4.71333333333333
"average.699288bfa36a91c33ada5723","average","3",2,21,17,-4.14285714285714,4.67647058823529,0.266806722689076
"average.699288bfa36a91c33ada5723","average","5",2,21,13,-2.88571428571429,6.32307692307692,1.71868131868132
"average.699288bfa36a91c33ada5723","average","7",2,22,17,-1.28636363636364,10.1,4.40681818181818
"average.6998845b8b98b147215b19e5","average","3",2,17,23,-0.088235294117647,-0.830434782608696,-0.459335038363171
"average.6998845b8b98b147215b19e5","average","5",2,17,17,0.570588235294118,-1.21176470588235,-0.320588235294118
"average.6998845b8b98b147215b19e5","average","7",2,28,10,1.27857142857143,1.98,1.62928571428571
"average.699f3d1a77d51612aeaf5766","average","3",2,16,17,-2.925,-2.71176470588235,-2.81838235294118
"average.699f3d1a77d51612aeaf5766","average","5",2,21,16,-0.338095238095238,0.6875,0.174702380952381
"average.699f3d1a77d51612aeaf5766","average","7",2,25,16,-1.384,3.3,0.958
"average.699fc622b54af00bf1380eba","average","3",2,24,13,-4.72083333333333,-3.78461538461538,-4.25272435897436
"average.699fc622b54af00bf1380eba","average","5",2,22,9,-2.91818181818182,-0.122222222222222,-1.52020202020202
"average.699fc622b54af00bf1380eba","average","7",2,13,25,-1.03846153846154,-0.744,-0.891230769230769
"average.69a30af34cf4575fd785090b","average","3",2,15,15,-2.58666666666667,-6.06666666666667,-4.32666666666667
"average.69a30af34cf4575fd785090b","average","5",2,22,19,0.886363636363636,-1.61578947368421,-0.364712918660287
"average.69a30af34cf4575fd785090b","average","7",2,22,14,0.122727272727273,-1.42857142857143,-0.652922077922078
"average.69a4b67351c86f1665010c28","average","3",2,16,17,1.6625,-0.51764705882353,0.572426470588235
"average.69a4b67351c86f1665010c28","average","5",2,21,16,2.66666666666667,0.11875,1.39270833333333
"average.69a4b67351c86f1665010c28","average","7",2,20,16,4,1.9,2.95
"average.69a54b53983c2fc21935a276","average","3",2,17,19,-6.75294117647059,0.642105263157895,-3.05541795665635
"average.69a54b53983c2fc21935a276","average","5",2,19,8,-4.6,-2.25,-3.425
"average.69a54b53983c2fc21935a276","average","7",2,25,14,-3.056,-0.492857142857143,-1.77442857142857
"average.69aa203bc67c0093e96b9875","average","3",2,15,19,-1.05333333333333,-1.14210526315789,-1.09771929824561
"average.69aa203bc67c0093e96b9875","average","5",2,21,17,0.20952380952381,-1.80588235294118,-0.798179271708683
"average.69aa203bc67c0093e96b9875","average","7",2,28,13,0.742857142857143,-1.37692307692308,-0.317032967032967
"average.69ac80094c5494db959077d6","average","3",2,22,17,-0.422727272727273,2.85294117647059,1.21510695187166
"average.69ac80094c5494db959077d6","average","5",2,18,10,1.41666666666667,6.27,3.84333333333333
"average.69ac80094c5494db959077d6","average","7",2,18,19,-0.444444444444445,7.5,3.52777777777778
"average.69acffd5ce1304cfa474a22f","average","3",2,27,14,-1.81111111111111,-4.1,-2.95555555555556
"average.69acffd5ce1304cfa474a22f","average","5",2,18,10,-0.161111111111111,-0.81,-0.485555555555555
"average.69acffd5ce1304cfa474a22f","average","7",2,14,21,-0.0500000000000002,3.08095238095238,1.51547619047619
"average.69af386aa115c4cb66894fb8","average","3",2,25,14,8.308,-2.5,2.904
"average.69af386aa115c4cb66894fb8","average","5",2,19,11,6.86315789473684,-2.08181818181818,2.39066985645933
"average.69af386aa115c4cb66894fb8","average","7",2,15,19,8.88,4.82631578947368,6.85315789473684
"average.69b4b502fec38544c443c643","average","3",2,18,16,0.466666666666667,0.0937500000000004,0.280208333333334
"average.69b4b502fec38544c443c643","average","5",2,23,16,3.24782608695652,-0.55,1.34891304347826
"average.69b4b502fec38544c443c643","average","7",2,20,18,4.53,-0.0666666666666661,2.23166666666667
"average.69b702926fc53d9dd8eeaa52","average","3",2,22,7,5.07727272727273,-7.34285714285714,-1.13279220779221
"average.69b702926fc53d9dd8eeaa52","average","5",2,33,9,5.11818181818182,-6.65555555555556,-0.768686868686868
"average.69b702926fc53d9dd8eeaa52","average","7",2,7,34,3.01428571428571,-2.84411764705882,0.0850840336134453
"average.69b885c83f7ae2b8458c6624","average","3",2,22,13,-6.24090909090909,2.53076923076923,-1.85506993006993
"average.69b885c83f7ae2b8458c6624","average","5",2,14,19,-5.13571428571429,-0.157894736842105,-2.6468045112782
"average.69b885c83f7ae2b8458c6624","average","7",2,20,16,-1.07,0.75,-0.16
