"participant_id","condition","variance_level","band","n_trials","dist","inward"
"average.66c0f464e0ff62798027b486","average","3","extreme",33,7.80051237007759,-2.21212121212121
"average.66c0f464e0ff62798027b486","average","3","middle",33,2.62263211828429,0.093939393939394
"average.66c0f464e0ff62798027b486","average","5","extreme",33,8.08820084907041,0.927272727272727
"average.66c0f464e0ff62798027b486","average","5","middle",37,3.14123253688471,1.25405405405405
"average.66c0f464e0ff62798027b486","average","7","extreme",39,7.97261241174285,2.41025641025641
"average.66c0f464e0ff62798027b486","average","7","middle",32,2.48125,2.16875
"average.66e89b61d7709ff7f27a76be","average","3","extreme",57,7.71116352201258,0.447368421052632
"average.66e89b61d7709ff7f27a76be","average","3","middle",14,3.41576819407008,2.55
"average.66e89b61d7709ff7f27a76be","average","5","extreme",24,8.43667452830189,2.00833333333333
"average.66e89b61d7709ff7f27a76be","average","5","middle",45,2.44311320754717,1.34
"average.66e89b61d7709ff7f27a76be","average","7","extreme",32,7.99882075471698,2.64375
"average.66e89b61d7709ff7f27a76be","average","7","middle",40,2.54700471698113,0.84
"average.66f0c81ea46a554aeb92cd04","average","3","extreme",29,7.63145888594164,1.04137931034483
"average.66f0c81ea46a554aeb92cd04","average","3","middle",36,2.80136752136752,1.15
"average.66f0c81ea46a554aeb92cd04","average","5","extreme",36,8.16713675213675,3.65277777777778
"average.66f0c81ea46a554aeb92cd04","average","5","middle",27,2.50262108262108,0.933333333333333
"average.66f0c81ea46a554aeb92cd04","average","7","extreme",36,7.85047008547009,3.19722222222222
"average.66f0c81ea46a554aeb92cd04","average","7","middle",31,2.53508684863524,-0.170967741935483
"average.6711ee336b91eb0fcf53841f","average","3","extreme",38,7.60101412066752,-1.98684210526316
"average.6711ee336b91eb0fcf53841f","average","3","middle",30,2.48333333333333,-1.38333333333333
"average.6711ee336b91eb0fcf53841f","average","5","extreme",39,7.73284552845529,0.305128205128205
"average.6711ee336b91eb0fcf53841f","average","5","middle",29,2.83116904962153,0.624137931034483
"average.6711ee336b91eb0fcf53841f","average","7","extreme",30,8.59,0.29
"average.6711ee336b91eb0fcf53841f","average","7","middle",39,2.82100062539087,0.864102564102564
"average.67265982eb0c3fc495c6e33a","average","3","extreme",36,8.16965915190553,-0.336111111111111
"average.67265982eb0c3fc495c6e33a","average","3","middle",33,2.81932367149758,0.121212121212121
"average.67265982eb0c3fc495c6e33a","average","5","extreme",36,8.08286366076221,1.15833333333333
"average.67265982eb0c3fc495c6e33a","average","5","middle",33,2.79256331430244,0.496969696969697
"average.67265982eb0c3fc495c6e33a","average","7","extreme",33,7.93927682623335,0.775757575757576
"average.67265982eb0c3fc495c6e33a","average","7","middle",36,2.42453032742888,0.611111111111111
"average.672a8544e38b571bd7d4fb71","average","3","extreme",45,7.95970649895178,1.41111111111111
"average.672a8544e38b571bd7d4fb71","average","3","middle",27,2.31062194269741,0.174074074074074
"average.672a8544e38b571bd7d4fb71","average","5","extreme",38,7.97189672293942,2.12631578947368
"average.672a8544e38b571bd7d4fb71","average","5","middle",32,2.565625,0.971875
"average.672a8544e38b571bd7d4fb71","average","7","extreme",30,7.59842767295597,3.15666666666667
"average.672a8544e38b571bd7d4fb71","average","7","middle",40,2.79235849056604,0.88
"average.67382e41c232d1004b052fc4","average","3","extreme",35,8.00951929587001,1.24571428571429
"average.67382e41c232d1004b052fc4","average","3","middle",34,2.86796766099805,0.858823529411765
"average.67382e41c232d1004b052fc4","average","5","extreme",38,8.18684210526316,2.31842105263158
"average.67382e41c232d1004b052fc4","average","5","middle",32,2.23576718009479,-1.009375
"average.67382e41c232d1004b052fc4","average","7","extreme",35,7.9454163845633,2.58857142857143
"average.67382e41c232d1004b052fc4","average","7","middle",37,2.8459331369284,1.86756756756757
"average.673feeafa80a279f5cc63e33","average","3","extreme",30,8.08239530988275,-2.83666666666667
"average.673feeafa80a279f5cc63e33","average","3","middle",33,2.65544388609715,-3.56969696969697
"average.673feeafa80a279f5cc63e33","average","5","extreme",28,7.86886216798277,-2.28928571428571
"average.673feeafa80a279f5cc63e33","average","5","middle",38,2.7451467865644,-1.51052631578947
