"response_value","array_length","condition","mean_true","n_trials"
38,"10","average",34.2833333333333,12
38,"10","experience",32.5,40
38,"20","average",31.9285714285714,14
38,"20","experience",28.5434782608696,23
39,"2","average",34,12
39,"2","experience",33.3125,16
39,"10","average",33.8923076923077,13
39,"10","experience",32.8216216216216,37
39,"20","average",30.8125,16
39,"20","experience",32.3333333333333,18
40,"2","average",33.2,10
40,"2","experience",32.1538461538462,13
40,"10","average",32.7454545454545,11
40,"10","experience",33.28,25
40,"20","average",31.3571428571429,7
40,"20","experience",31.4047619047619,21
41,"2","average",33.5,4
41,"2","experience",33.5714285714286,7
41,"10","average",32.8,5
41,"10","experience",33.7909090909091,22
41,"20","average",31.5,2
41,"20","experience",32.9615384615385,13
42,"2","average",33.75,8
42,"2","experience",33.1111111111111,9
42,"10","average",35,5
42,"10","experience",35.325,16
42,"20","average",32.5,6
42,"20","experience",31.5769230769231,13
43,"2","experience",33.7142857142857,7
43,"10","average",35.2,2
43,"10","experience",34.3428571428571,7
43,"20","experience",33,4
44,"2","average",33,1
44,"2","experience",34,4
44,"10","average",36.2,2
44,"10","experience",32.5333333333333,3
44,"20","average",28.5,1
44,"20","experience",32.7,5
45,"2","average",34,1
45,"2","experience",35,2
45,"10","average",34.2,1
45,"10","experience",33.0333333333333,6
45,"20","experience",31.5,1
46,"2","experience",36,2
46,"10","average",36.2,1
46,"10","experience",34.7,2
46,"20","experience",28.5,1
48,"2","experience",32,3
48,"10","experience",32,5
48,"20","average",34.5,1
48,"20","experience",29.5,1
