"participant_id","condition","array_length","n_trials","r","z"
"average.672c2b25d6aa996ff3d8244f","average","10",29,0.844253146599508,1.23579886067656
"average.672c2b25d6aa996ff3d8244f","average","20",32,0.892465615119994,1.43391258017447
"average.672c4e78eeaae1dfe925f5e2","average","2",31,0.843174450390089,1.23205528513592
"average.672c4e78eeaae1dfe925f5e2","average","10",28,0.721518627192921,0.910805464956328
"average.672c4e78eeaae1dfe925f5e2","average","20",29,0.511314074908575,0.564507398249105
"average.672fcaf82c52010e8586b90a","average","2",31,0.794962094882751,1.08477215929276
"average.672fcaf82c52010e8586b90a","average","10",31,0.762153656142162,1.00133357854635
"average.672fcaf82c52010e8586b90a","average","20",32,0.788321431839193,1.06698188756168
"average.6732dd2ad292849faaca9cd3","average","2",28,0.650918956830583,0.776891622381534
"average.6732dd2ad292849faaca9cd3","average","10",29,0.612087963808606,0.712253443311854
"average.6732dd2ad292849faaca9cd3","average","20",27,0.751886551905187,0.977281211180017
"average.6735b2a6112cf17b7b8df8d1","average","2",30,0.752973625948723,0.979786865625003
"average.6735b2a6112cf17b7b8df8d1","average","10",31,0.588072240440486,0.674714069566544
"average.6735b2a6112cf17b7b8df8d1","average","20",32,0.420686041351532,0.448525294055214
"average.673a27fe372ce97a95aecf5c","average","2",31,0.852084800317034,1.26371403411496
"average.673a27fe372ce97a95aecf5c","average","10",31,0.527508633085174,0.586686933558444
"average.673a27fe372ce97a95aecf5c","average","20",31,0.714492237999538,0.896301514253187
"average.67414dcbcf89f6a633385d49","average","2",30,0.849277035535845,1.25355328538594
"average.67414dcbcf89f6a633385d49","average","10",32,0.810306905712487,1.12792209905446
"average.67414dcbcf89f6a633385d49","average","20",32,0.903181853781013,1.48922399335305
"average.674c8549a9fd90b7c8dda9d3","average","2",30,0.791415328223037,1.07520810705644
"average.674c8549a9fd90b7c8dda9d3","average","10",31,0.686436601229903,0.841185746658845
"average.674c8549a9fd90b7c8dda9d3","average","20",31,0.833778710500995,1.20040700808493
"average.6753b6b7014705911770ecd0","average","2",31,0.785869049752438,1.06053634670968
"average.6753b6b7014705911770ecd0","average","10",32,0.579861479932333,0.662253992330856
"average.6753b6b7014705911770ecd0","average","20",31,0.692764639296795,0.853252125728281
"average.675aaec58dfc729c338a52eb","average","2",32,0.862884631712659,1.30452938342976
"average.675aaec58dfc729c338a52eb","average","10",31,0.827106428627573,1.17890629854469
"average.675aaec58dfc729c338a52eb","average","20",30,0.804169913291861,1.11030425222749
"average.675c61776fc3233ee8002446","average","2",30,0.900363616403768,1.47413656443109
"average.675c61776fc3233ee8002446","average","10",32,0.81688429548742,1.14738008467664
"average.675c61776fc3233ee8002446","average","20",31,0.764082277845141,1.00595138447353
"average.676ed8014625d5ebd417b5f2","average","2",32,0.822500323141872,1.16449792639675
"average.676ed8014625d5ebd417b5f2","average","10",31,0.782668714116511,1.05222197282623
"average.676ed8014625d5ebd417b5f2","average","20",32,0.692881621943643,0.853477094042226
"average.677c5e96582459bcf49e80da","average","2",29,0.908070545143759,1.51641316840001
"average.677c5e96582459bcf49e80da","average","10",32,0.724858807208374,0.917808040490635
"average.677c5e96582459bcf49e80da","average","20",29,0.501698337699574,0.551573165257512
"average.678ff81c8c6b56f93355e0bb","average","2",31,0.700252459652718,0.867795718251501
"average.678ff81c8c6b56f93355e0bb","average","10",30,0.924118280709592,1.61652365148409
"average.678ff81c8c6b56f93355e0bb","average","20",31,0.793375926249494,1.08047702076373
"average.67a4e8dd295e3fb3cf7cee74","average","2",31,0.579335401829484,0.661461784270994
"average.67a4e8dd295e3fb3cf7cee74","average","10",29,0.580131656069559,0.662661126935856
"average.67a4e8dd295e3fb3cf7cee74","average","20",31,0.533691065176589,0.595292102619044
"average.67be4c756ba3a15a47e60356","average","2",32,0.8283786704381,1.18294720160798
"average.67be4c756ba3a15a47e60356","average","10",31,0.870204897039818,1.33392309923847
"average.67be4c756ba3a15a47e60356","average","20",32,0.879886079886371,1.37526291572669
"average.67cb97aa66285604188d577a","average","2",32,0.866412209381842,1.31850719651141
"average.67cb97aa66285604188d577a","average","10",30,0.658153474021041,0.789549007635569
"average.67cb97aa66285604188d577a","average","20",32,0.581636885297119,0.664932921101922
"average.67d1ddb07de1caaaa343e133","average","2",30,0.493137858396164,0.540198036606108
"average.67d1ddb07de1caaaa343e133","average","10",32,0.750502745864707,0.974105199674807
"average.67d1ddb07de1caaaa343e133","average","20",30,0.719213320617264,0.906013430258114
"average.67e0a8458369d92d9789b0b4","average","2",32,0.735929316533388,0.941540685197335
"average.67e0a8458369d92d9789b0b4","average","10",32,0.399194436272395,0.42269029319706
"average.67e0a8458369d92d9789b0b4","average","20",31,0.70046020177355,0.868203454691382
"average.67e1dc9c35b6facf1079fb30","average","2",29,0.860394024140807,1.29485979439084
"average.67e1dc9c35b6facf1079fb30","average","10",30,0.603474092380614,0.698593241181625
"average.67e1dc9c35b6facf1079fb30","average","20",27,0.891951736320913,1.4313931133622
"average.67e467ad6bd6407f4c60fb77","average","2",31,0.894893968865079,1.44597425094053
"average.67e467ad6bd6407f4c60fb77","average","10",32,0.743412817082745,0.958065679525186
"average.67e467ad6bd6407f4c60fb77","average","20",31,0.831082055360711,1.19162464792116
"average.67f01fa0e63319ca919878ca","average","2",30,0.814027784455189,1.13885383173638
"average.67f01fa0e63319ca919878ca","average","10",30,0.859717585871212,1.29226114257186
"average.67f01fa0e63319ca919878ca","average","20",31,0.77551098816378,1.03400839010063
"average.67f2fbc77b115d1edb94ef11","average","2",30,0.493888467290233,0.541190321888836
"average.67f2fbc77b115d1edb94ef11","average","10",29,0.537627684455105,0.600812799346585
"average.67f2fbc77b115d1edb94ef11","average","20",31,0.364238001444415,0.381763516924207
"average.680d85e020df383491477a41","average","2",31,0.771176985619201,1.02322536321422
"average.680d85e020df383491477a41","average","10",31,0.669403969624795,0.809662379654332
"average.680d85e020df383491477a41","average","20",31,0.708108504894788,0.883379879340654
"experience.56802e5fc5767f00121cc6a0","experience","2",30,0.685528884931456,0.839471221945595
"experience.56802e5fc5767f00121cc6a0","experience","10",29,0.707838598206139,0.882838738458006
"experience.56802e5fc5767f00121cc6a0","experience","20",31,0.741236113389576,0.95321726939087
"experience.56d39b96da2aaa000dab6178","experience","2",32,0.913548556607824,1.54856588604785
"experience.56d39b96da2aaa000dab6178","experience","10",32,0.796836337638515,1.08988546727895
"experience.56d39b96da2aaa000dab6178","experience","20",30,0.854916151486487,1.27414146588253
"experience.582474a8aac01b0001e45ef9","experience","2",31,0.765231967551872,1.00871972821401
"experience.582474a8aac01b0001e45ef9","experience","10",32,0.69395203502202,0.855538861110761
"experience.582474a8aac01b0001e45ef9","experience","20",31,0.727398803707845,0.923181033300731
"experience.59014ee029f42300013cc5b7","experience","2",31,0.800750676855842,1.10070098949864
"experience.59014ee029f42300013cc5b7","experience","10",32,0.820634558146119,1.15875753918179
"experience.59014ee029f42300013cc5b7","experience","20",32,0.888173941506676,1.41321042879982
"experience.5ae12548dee8590001b08925","experience","2",29,0.839908739290134,1.22086360954758
"experience.5ae12548dee8590001b08925","experience","10",29,0.770879270389696,1.02249119849216
"experience.5ae12548dee8590001b08925","experience","20",29,0.714013597843761,0.895324383871356
"experience.5baa535fa3c9170001156197","experience","2",30,0.78976421978807,1.07080475278277
"experience.5baa535fa3c9170001156197","experience","10",31,0.824818257437027,1.17170585606749
"experience.5baa535fa3c9170001156197","experience","20",32,0.852389052077487,1.26482569106396
"experience.5c309bb410677f0001dda0ed","experience","2",31,0.813499411278223,1.13728961916299
"experience.5c309bb410677f0001dda0ed","experience","10",32,0.80175785966014,1.10351442074946
"experience.5c309bb410677f0001dda0ed","experience","20",29,0.612201807695068,0.712435512360846
"experience.5c4d1a6c9ce35100019dbc88","experience","2",32,0.834841791054998,1.20390484138348
"experience.5c4d1a6c9ce35100019dbc88","experience","10",32,0.765905341145925,1.01034661022014
"experience.5c4d1a6c9ce35100019dbc88","experience","20",32,0.772003933266579,1.02526898660127
"experience.5cd6c1197b871a0001b13589","experience","2",32,0.479878651672417,0.522826612382103
"experience.5cd6c1197b871a0001b13589","experience","10",31,0.143565768050588,0.144564499333933
"experience.5cd6c1197b871a0001b13589","experience","20",31,0.496628799347745,0.544821259624605
"experience.5d0c2e061c7a8f0016e3d263","experience","2",31,0.899127893292213,1.467648306013
"experience.5d0c2e061c7a8f0016e3d263","experience","10",31,0.836231802264158,1.2085094088078
"experience.5d0c2e061c7a8f0016e3d263","experience","20",31,0.872091558536596,1.3417484292068
"experience.5d1a2f59d79f260017add4a3","experience","2",31,0.900558550944697,1.47516703844031
"experience.5d1a2f59d79f260017add4a3","experience","10",31,0.747376317524033,0.966984867208908
"experience.5d1a2f59d79f260017add4a3","experience","20",32,0.772431161059794,1.02632731954093
"experience.5d4a41890e604c00011ade8b","experience","2",32,0.817797540445467,1.15013121035414
"experience.5d4a41890e604c00011ade8b","experience","10",30,0.736165624085493,0.942056376968838
"experience.5d4a41890e604c00011ade8b","experience","20",32,0.759308918312591,0.994581029168754
"experience.5d4c78071b920f00198e8533","experience","2",31,0.89801870793503,1.46188822522183
"experience.5d4c78071b920f00198e8533","experience","10",32,0.803258017428154,1.10772859016145
"experience.5d4c78071b920f00198e8533","experience","20",30,0.748780676595087,0.970173855910309
"experience.5d743ec4869c8f0019b35907","experience","2",31,0.816116484885818,1.1450766068299
"experience.5d743ec4869c8f0019b35907","experience","10",31,0.886972296145249,1.40754795415633
"experience.5d743ec4869c8f0019b35907","experience","20",32,0.594012434270441,0.683843563570208
"experience.5dd7d4d5d3ac2a92dfbb40d5","experience","2",31,0.414353048323507,0.440855179691739
"experience.5dd7d4d5d3ac2a92dfbb40d5","experience","10",30,0.746302334440488,0.964556307376475
"experience.5dd7d4d5d3ac2a92dfbb40d5","experience","20",32,0.825359772915873,1.17340218494643
"experience.5de7b588ff15c2a06658dd1d","experience","2",32,0.770179583283941,1.02076903642391
"experience.5de7b588ff15c2a06658dd1d","experience","10",31,0.803266520102613,1.10775255690326
"experience.5de7b588ff15c2a06658dd1d","experience","20",31,0.850668194144462,1.25856566191791
"experience.5e0b388b15ef4037cebdecc9","experience","2",31,0.872075692835126,1.34168217584912
"experience.5e0b388b15ef4037cebdecc9","experience","10",32,0.639515861847655,0.757354157433139
"experience.5e0b388b15ef4037cebdecc9","experience","20",30,0.855222574742043,1.27528119467238
"experience.5ecda06ecc240b00087e1c00","experience","2",30,0.894583586387488,1.44441799959063
"experience.5ecda06ecc240b00087e1c00","experience","10",32,0.921657656441153,1.5999276061258
"experience.5ecda06ecc240b00087e1c00","experience","20",32,0.882266190172657,1.38590276145412
"experience.5f2f8574ff256b37b1970220","experience","2",28,0.668201284725915,0.807486372087146
"experience.5f2f8574ff256b37b1970220","experience","10",30,0.508968885412163,0.561337171796683
"experience.5f2f8574ff256b37b1970220","experience","20",32,0.597489129998551,0.689233139568524
"experience.5f7a28b8bedcf2112ebd1289","experience","2",31,0.636225666020155,0.751806865764022
"experience.5f7a28b8bedcf2112ebd1289","experience","10",32,0.716059017170491,0.8995096310595
"experience.5f7a28b8bedcf2112ebd1289","experience","20",30,0.693416247051653,0.854506120751187
"experience.5faefcc22be93b11829e84df","experience","2",32,0.934271898502457,1.69097984814936
"experience.5faefcc22be93b11829e84df","experience","10",31,0.932683616594838,1.6786305727833
"experience.5faefcc22be93b11829e84df","experience","20",32,0.901334445769076,1.47928768380098
"experience.60087afa0a5c054c002eaf0e","experience","2",31,0.954983944330384,1.88555902048696
"experience.60087afa0a5c054c002eaf0e","experience","10",32,0.687856891393888,0.843876563752398
"experience.60087afa0a5c054c002eaf0e","experience","20",28,0.521129113011023,0.577888580749815
"experience.60132d398c19b319aacdbbb2","experience","2",30,0.787340461264453,1.06439577047399
"experience.60132d398c19b319aacdbbb2","experience","10",31,0.570796168586408,0.648702972981966
"experience.60132d398c19b319aacdbbb2","experience","20",32,0.815831854901743,1.14422489579344
"experience.601478ee2d7cc94b1f1855ec","experience","2",31,0.666749649975837,0.804868341050405
"experience.601478ee2d7cc94b1f1855ec","experience","10",32,0.68154037780888,0.831984925898227
"experience.601478ee2d7cc94b1f1855ec","experience","20",29,0.729211228198263,0.927040784475274
"experience.60a1e1f4a3707c983a98f185","experience","2",32,0.738843153764028,0.947927073337548
"experience.60a1e1f4a3707c983a98f185","experience","10",30,0.788142363841999,1.06650902642979
"experience.60a1e1f4a3707c983a98f185","experience","20",31,0.678308950864533,0.82597518918647
"experience.60fe0b73bbb479e45039b320","experience","2",32,0.854384705691597,1.27217002570037
