"participant_id","condition","array_length","side","n_trials","inward"
"average.628f83dc5398c04bac86f9e6","average","10","high",6,10.0333333333333
"average.628f83dc5398c04bac86f9e6","average","10","low",8,-3.45
"average.628f83dc5398c04bac86f9e6","average","20","high",13,10.2692307692308
"average.628f83dc5398c04bac86f9e6","average","20","low",9,-3.38888888888889
"average.6290c65ed46e5dce4f16bb92","average","2","high",9,10.7777777777778
"average.6290c65ed46e5dce4f16bb92","average","2","low",6,-0.666666666666667
"average.6290c65ed46e5dce4f16bb92","average","10","high",9,12.3111111111111
"average.6290c65ed46e5dce4f16bb92","average","10","low",8,-0.199999999999999
"average.6290c65ed46e5dce4f16bb92","average","20","high",10,12.3
"average.6290c65ed46e5dce4f16bb92","average","20","low",6,-1
"average.62b0b6c050a175081568bf35","average","2","high",6,0
"average.62b0b6c050a175081568bf35","average","2","low",13,5.61538461538462
"average.62b0b6c050a175081568bf35","average","10","high",11,1.56363636363637
"average.62b0b6c050a175081568bf35","average","10","low",5,0.400000000000001
"average.62b0b6c050a175081568bf35","average","20","high",6,-2.33333333333333
"average.62b0b6c050a175081568bf35","average","20","low",11,2.22727272727273
"average.62e0532289a4e5d9fedadde1","average","2","high",15,-0.733333333333333
"average.62e0532289a4e5d9fedadde1","average","2","low",5,-2.6
"average.62e0532289a4e5d9fedadde1","average","10","high",7,-0.799999999999998
"average.62e0532289a4e5d9fedadde1","average","10","low",6,5.3
"average.62e0532289a4e5d9fedadde1","average","20","high",5,-0.0999999999999998
"average.62e0532289a4e5d9fedadde1","average","20","low",7,3.5
"average.631fdedf78d4f7b0a6b985ad","average","2","high",11,-2
"average.631fdedf78d4f7b0a6b985ad","average","2","low",4,3.5
"average.631fdedf78d4f7b0a6b985ad","average","10","high",6,-1.46666666666666
"average.631fdedf78d4f7b0a6b985ad","average","10","low",6,8.8
"average.631fdedf78d4f7b0a6b985ad","average","20","high",6,-1.5
"average.631fdedf78d4f7b0a6b985ad","average","20","low",12,7.66666666666667
"average.63251e479509813fab713ad2","average","2","high",12,11.4166666666667
"average.63251e479509813fab713ad2","average","2","low",3,-2
"average.63251e479509813fab713ad2","average","10","high",10,14.3
"average.63251e479509813fab713ad2","average","10","low",6,-8.53333333333333
"average.63251e479509813fab713ad2","average","20","high",6,10
"average.63251e479509813fab713ad2","average","20","low",7,-6.07142857142857
"average.633f4f203450d46b01e3d16b","average","2","high",7,2.57142857142857
"average.633f4f203450d46b01e3d16b","average","2","low",7,0.571428571428572
"average.633f4f203450d46b01e3d16b","average","10","high",8,0.700000000000002
"average.633f4f203450d46b01e3d16b","average","10","low",11,6.34545454545455
"average.633f4f203450d46b01e3d16b","average","20","high",7,0.642857142857143
"average.633f4f203450d46b01e3d16b","average","20","low",13,5.26923076923077
"average.63e63f77c742a91baf498dd0","average","2","high",7,7
"average.63e63f77c742a91baf498dd0","average","2","low",10,-4.6
"average.63e63f77c742a91baf498dd0","average","10","high",11,10.2909090909091
"average.63e63f77c742a91baf498dd0","average","10","low",9,3.91111111111111
"average.63e63f77c742a91baf498dd0","average","20","high",5,11.1
"average.63e63f77c742a91baf498dd0","average","20","low",15,-1.43333333333333
"average.64012a2623351894f2917605","average","2","high",5,12.6
"average.64012a2623351894f2917605","average","2","low",9,-1.77777777777778
"average.64012a2623351894f2917605","average","10","high",9,3.31111111111111
"average.64012a2623351894f2917605","average","10","low",6,-1.36666666666667
"average.64012a2623351894f2917605","average","20","high",5,4.1
"average.64012a2623351894f2917605","average","20","low",13,-1.34615384615385
"average.640415971520c41606ca4389","average","2","high",6,7.33333333333333
"average.640415971520c41606ca4389","average","2","low",13,-6.30769230769231
"average.640415971520c41606ca4389","average","10","high",11,4.74545454545455
"average.640415971520c41606ca4389","average","10","low",12,-1.61666666666667
"average.640415971520c41606ca4389","average","20","high",5,1.9
"average.640415971520c41606ca4389","average","20","low",11,-4.13636363636364
"average.651b249337102ada9fee4951","average","2","high",9,1
"average.651b249337102ada9fee4951","average","2","low",10,-2
"average.651b249337102ada9fee4951","average","10","high",7,2.91428571428572
"average.651b249337102ada9fee4951","average","10","low",9,1.91111111111111
"average.651b249337102ada9fee4951","average","20","high",6,2.83333333333333
"average.651b249337102ada9fee4951","average","20","low",9,1.05555555555556
"average.6572244f5a6d2b943074aa73","average","2","high",7,3.57142857142857
"average.6572244f5a6d2b943074aa73","average","2","low",2,-8
"average.6572244f5a6d2b943074aa73","average","10","high",11,-0.07272727272727
"average.6572244f5a6d2b943074aa73","average","10","low",7,2.51428571428572
"average.6572244f5a6d2b943074aa73","average","20","high",8,-4.25
"average.6572244f5a6d2b943074aa73","average","20","low",8,3.125
"average.657b80c8ff78a49936e4cff3","average","2","high",6,5.16666666666667
"average.657b80c8ff78a49936e4cff3","average","2","low",11,0.454545454545454
"average.657b80c8ff78a49936e4cff3","average","10","high",12,3.11666666666667
"average.657b80c8ff78a49936e4cff3","average","10","low",5,2.6
"average.657b80c8ff78a49936e4cff3","average","20","high",10,0.8
