"participant_id","condition","array_length","n_trials","mean_abs_resp","mean_abs_obj","ratio"
"average.63e63f77c742a91baf498dd0","average","10",2,10,3,0.3
"average.63e63f77c742a91baf498dd0","average","20",4,10.25,6,0.585365853658537
"average.640415971520c41606ca4389","average","2",5,11.0645161290323,6.27311827956989,0.566958211856171
"average.640415971520c41606ca4389","average","10",8,13.2137096774194,9.69220430107527,0.733496083816499
"average.640415971520c41606ca4389","average","20",7,13.5253456221198,9.37634408602151,0.693242475865985
"average.651b249337102ada9fee4951","average","2",11,12.1926877470356,9.62351778656127,0.789286003728017
"average.651b249337102ada9fee4951","average","10",4,8.94021739130435,8.57065217391304,0.958662613981763
"average.651b249337102ada9fee4951","average","20",4,10.25,8.25,0.804878048780488
"average.6572244f5a6d2b943074aa73","average","2",4,13.8333333333333,6.38709677419355,0.461717839098329
"average.6572244f5a6d2b943074aa73","average","10",10,10.5333333333333,8.35483870967742,0.793180890159249
"average.6572244f5a6d2b943074aa73","average","20",11,12.7878787878788,7.46627565982405,0.5838556795597
"average.657b80c8ff78a49936e4cff3","average","2",4,11.1968085106383,10.3297872340426,0.922565320665083
"average.657b80c8ff78a49936e4cff3","average","10",7,10.5151975683891,9.97720364741641,0.948836537071831
"average.657b80c8ff78a49936e4cff3","average","20",7,10.40273556231,8.50303951367781,0.817384952520088
"average.6604664cb53a76971c8a1dce","average","2",10,11.0172043010753,9.06666666666667,0.822955299629124
"average.6604664cb53a76971c8a1dce","average","10",4,10.2715053763441,10.5833333333333,1.03035854488354
"average.6604664cb53a76971c8a1dce","average","20",5,9.75698924731183,9.33333333333333,0.95657923738153
"average.662613a0c132844f74a62143","average","2",7,11.1996927803379,8.4331797235023,0.752983129886161
"average.662613a0c132844f74a62143","average","10",10,12.1,5.70645161290323,0.471607571314316
"average.662613a0c132844f74a62143","average","20",8,11.9489247311828,8.10887096774194,0.678627671541057
"average.6627e29477d23bd171a6728a","average","2",3,13.195652173913,10.6702898550725,0.808621636463482
"average.6627e29477d23bd171a6728a","average","10",3,12.2536231884058,9.01086956521739,0.735363690124187
