"participant_id","condition","array_length","n_trials","r","z"
"average.6604664cb53a76971c8a1dce","average","20",30,0.79931920904387,1.096724057078
"average.662613a0c132844f74a62143","average","2",30,0.749395627033597,0.971575079496142
"average.662613a0c132844f74a62143","average","10",31,0.653528756141389,0.781433549232956
"average.662613a0c132844f74a62143","average","20",32,0.78184927863106,1.0501104091201
"average.6627e29477d23bd171a6728a","average","2",31,0.648415685429441,0.772560180862815
"average.6627e29477d23bd171a6728a","average","10",30,0.733212020809659,0.935638683969867
"average.6627e29477d23bd171a6728a","average","20",31,0.740724200397165,0.952082077138529
"average.667871d17d7fdf0358f82a28","average","2",31,0.751111655337693,0.975500857989538
"average.667871d17d7fdf0358f82a28","average","10",32,0.748751854189665,0.970108253393372
"average.667871d17d7fdf0358f82a28","average","20",29,0.825073789709429,1.17250573419866
"average.6683fb33cc602af8407e62e9","average","2",32,0.913251355467864,1.5467722802191
"average.6683fb33cc602af8407e62e9","average","10",32,0.851781297803204,1.26260720896701
"average.6683fb33cc602af8407e62e9","average","20",31,0.872125417964933,1.34188984792301
"average.669eb709554e753adddffe01","average","2",31,0.660476163348515,0.793657765012443
"average.669eb709554e753adddffe01","average","10",29,0.738876696094947,0.948000941129379
"average.669eb709554e753adddffe01","average","20",31,0.859856624147678,1.2927943340753
"average.66a428de01ccbc61556d585b","average","2",31,0.706478636105475,0.8801184112096
"average.66a428de01ccbc61556d585b","average","10",31,0.647910284630623,0.77168862685897
"average.66a428de01ccbc61556d585b","average","20",32,0.68958418385173,0.847162495744026
"average.66cc97280604bbb0c7bc71bd","average","2",31,0.757295862241355,0.989844151569028
"average.66cc97280604bbb0c7bc71bd","average","10",32,0.712018428541871,0.891265915441468
"average.66cc97280604bbb0c7bc71bd","average","20",31,0.751359777656772,0.976070409792243
"average.66ccbb7d4109382e498e3c82","average","2",30,0.848401679387478,1.2504210960827
"average.66ccbb7d4109382e498e3c82","average","10",29,0.738176245561209,0.946460061688181
"average.66ccbb7d4109382e498e3c82","average","20",31,0.715657600627531,0.898686291570183
"average.66f9a40196d53f05f2232cff","average","2",27,0.878712204457221,1.37008781320787
"average.66f9a40196d53f05f2232cff","average","10",27,0.589605149595847,0.677060592378598
"average.66f9a40196d53f05f2232cff","average","20",31,0.771744638214734,1.02462750068847
