"response_value","array_length","condition","mean_true","n_trials"
44,"20","experience",32.7,5
45,"2","average",34,1
45,"2","experience",35,2
45,"10","average",34.2,1
45,"10","experience",34.2,4
45,"20","experience",31.5,1
46,"2","experience",36,1
46,"10","average",36.2,1
46,"10","experience",35.2,1
46,"20","experience",28.5,1
48,"2","experience",32,3
48,"10","experience",32,5
48,"20","experience",29.5,1
