"participant_id","condition","array_length","n_trials","n_eligible","n_exaggerated","prop_exagg"
"experience.601478ee2d7cc94b1f1855ec","experience","20",29,21,4,0.137931034482759
"experience.60fe0b73bbb479e45039b320","experience","2",32,15,8,0.25
"experience.60fe0b73bbb479e45039b320","experience","10",32,17,6,0.1875
"experience.60fe0b73bbb479e45039b320","experience","20",30,21,1,0.0333333333333333
"experience.610036d6b6496ca7c4dbdb1b","experience","2",28,13,6,0.214285714285714
"experience.610036d6b6496ca7c4dbdb1b","experience","10",32,12,8,0.25
"experience.610036d6b6496ca7c4dbdb1b","experience","20",32,16,7,0.21875
"experience.61082e086188b2dd15182697","experience","2",31,12,1,0.032258064516129
"experience.61082e086188b2dd15182697","experience","10",32,23,1,0.03125
"experience.61082e086188b2dd15182697","experience","20",31,18,2,0.0645161290322581
"experience.636d4527078f3ccc1f713265","experience","2",32,16,7,0.21875
"experience.636d4527078f3ccc1f713265","experience","10",32,17,12,0.375
"experience.636d4527078f3ccc1f713265","experience","20",31,15,10,0.32258064516129
"experience.63d13f416b2c25038c13007f","experience","2",31,15,3,0.0967741935483871
"experience.63d13f416b2c25038c13007f","experience","10",30,18,4,0.133333333333333
"experience.63d13f416b2c25038c13007f","experience","20",29,15,8,0.275862068965517
"experience.6400e07f37c248e81cbc9d41","experience","2",31,15,6,0.193548387096774
"experience.6400e07f37c248e81cbc9d41","experience","10",32,22,6,0.1875
"experience.6400e07f37c248e81cbc9d41","experience","20",26,13,3,0.115384615384615
"experience.641363c9b6f7b3cb23a301f1","experience","2",32,20,9,0.28125
"experience.641363c9b6f7b3cb23a301f1","experience","10",32,13,4,0.125
"experience.641363c9b6f7b3cb23a301f1","experience","20",31,19,5,0.161290322580645
"experience.6428c3d1aeb8d1cbe7e8cb78","experience","2",32,18,7,0.21875
"experience.6428c3d1aeb8d1cbe7e8cb78","experience","10",31,23,8,0.258064516129032
"experience.6428c3d1aeb8d1cbe7e8cb78","experience","20",32,17,5,0.15625
"experience.642f6ac1b10ead55a45175ab","experience","2",32,20,6,0.1875
"experience.642f6ac1b10ead55a45175ab","experience","10",32,16,1,0.03125
"experience.642f6ac1b10ead55a45175ab","experience","20",29,21,5,0.172413793103448
"experience.6463e139c1cfbd6321e08714","experience","2",29,15,1,0.0344827586206897
"experience.6463e139c1cfbd6321e08714","experience","10",29,13,2,0.0689655172413793
"experience.6463e139c1cfbd6321e08714","experience","20",30,17,5,0.166666666666667
"experience.647652cb5644044df439e1fb","experience","2",32,19,13,0.40625
"experience.647652cb5644044df439e1fb","experience","10",31,18,5,0.161290322580645
"experience.647652cb5644044df439e1fb","experience","20",31,14,2,0.0645161290322581
"experience.65a09ede5747bb3166d505a4","experience","2",32,14,5,0.15625
"experience.65a09ede5747bb3166d505a4","experience","10",32,23,2,0.0625
"experience.65a09ede5747bb3166d505a4","experience","20",30,14,3,0.1
"experience.65cb708afe5755feaeec417f","experience","2",31,16,3,0.0967741935483871
"experience.65cb708afe5755feaeec417f","experience","10",32,22,0,0
"experience.65cb708afe5755feaeec417f","experience","20",31,20,3,0.0967741935483871
"experience.65ccfdf16bdcab83d5bd1163","experience","2",32,16,4,0.125
"experience.65ccfdf16bdcab83d5bd1163","experience","10",31,15,5,0.161290322580645
"experience.65ccfdf16bdcab83d5bd1163","experience","20",30,16,4,0.133333333333333
"experience.66045663fbc92e11eb7e557c","experience","2",30,18,2,0.0666666666666667
"experience.66045663fbc92e11eb7e557c","experience","10",32,15,2,0.0625
"experience.66045663fbc92e11eb7e557c","experience","20",32,22,3,0.09375
"experience.663a6537d8be42a9bd890765","experience","2",31,13,1,0.032258064516129
"experience.663a6537d8be42a9bd890765","experience","10",29,18,4,0.137931034482759
"experience.663a6537d8be42a9bd890765","experience","20",30,13,4,0.133333333333333
"experience.6648acc2d8f61a601c3a37ac","experience","2",31,16,3,0.0967741935483871
"experience.6648acc2d8f61a601c3a37ac","experience","10",30,20,7,0.233333333333333
"experience.6648acc2d8f61a601c3a37ac","experience","20",32,13,3,0.09375
"experience.666b836f18949a2e08b6c741","experience","2",32,16,5,0.15625
"experience.666b836f18949a2e08b6c741","experience","10",31,19,2,0.0645161290322581
"experience.666b836f18949a2e08b6c741","experience","20",32,26,8,0.25
"experience.66759eb2274a4f10deeba339","experience","2",29,9,2,0.0689655172413793
"experience.66759eb2274a4f10deeba339","experience","10",28,16,8,0.285714285714286
"experience.66759eb2274a4f10deeba339","experience","20",28,16,6,0.214285714285714
"experience.66c26b01a3d551a7d8bd342c","experience","2",29,15,8,0.275862068965517
"experience.66c26b01a3d551a7d8bd342c","experience","10",32,14,6,0.1875
"experience.66c26b01a3d551a7d8bd342c","experience","20",32,13,9,0.28125
"experience.66d88375799e00b593a8655f","experience","2",29,14,0,0
"experience.66d88375799e00b593a8655f","experience","10",31,17,1,0.032258064516129
"experience.66d88375799e00b593a8655f","experience","20",31,15,0,0
"experience.66dbd5f3eec0242b9d2ce9f2","experience","2",31,14,2,0.0645161290322581
"experience.66dbd5f3eec0242b9d2ce9f2","experience","10",29,18,3,0.103448275862069
"experience.66dbd5f3eec0242b9d2ce9f2","experience","20",31,17,2,0.0645161290322581
"experience.66e0813b79955faf3b6017c3","experience","2",31,15,7,0.225806451612903
"experience.66e0813b79955faf3b6017c3","experience","10",32,16,2,0.0625
"experience.66e0813b79955faf3b6017c3","experience","20",30,17,3,0.1
"experience.66fceda149718a86f36761b4","experience","2",32,18,11,0.34375
"experience.66fceda149718a86f36761b4","experience","10",31,12,3,0.0967741935483871
"experience.66fceda149718a86f36761b4","experience","20",31,13,6,0.193548387096774
"experience.6713eeea64ca1fb59cbcbce4","experience","2",31,17,4,0.129032258064516
"experience.6713eeea64ca1fb59cbcbce4","experience","10",30,16,0,0
"experience.6713eeea64ca1fb59cbcbce4","experience","20",31,18,1,0.032258064516129
"experience.672fd24711f758e7a04ac043","experience","2",31,18,0,0
"experience.672fd24711f758e7a04ac043","experience","10",31,16,1,0.032258064516129
"experience.672fd24711f758e7a04ac043","experience","20",32,19,1,0.03125
"experience.67435bbf9649c44a0e379543","experience","2",32,12,3,0.09375
"experience.67435bbf9649c44a0e379543","experience","10",30,17,7,0.233333333333333
"experience.67435bbf9649c44a0e379543","experience","20",32,19,4,0.125
"experience.6751acc5dc78128951a34f1f","experience","2",31,18,2,0.0645161290322581
"experience.6751acc5dc78128951a34f1f","experience","10",30,17,1,0.0333333333333333
"experience.6751acc5dc78128951a34f1f","experience","20",31,17,4,0.129032258064516
"experience.6782941e57f81cd1ab7841b2","experience","2",29,19,5,0.172413793103448
"experience.6782941e57f81cd1ab7841b2","experience","10",32,23,10,0.3125
"experience.6782941e57f81cd1ab7841b2","experience","20",32,19,6,0.1875
"experience.6786d5ddfc32db55097ed259","experience","2",31,12,4,0.129032258064516
"experience.6786d5ddfc32db55097ed259","experience","10",32,15,4,0.125
"experience.6786d5ddfc32db55097ed259","experience","20",30,15,4,0.133333333333333
"experience.67c7d97be1bcafdd7b0a8059","experience","2",32,16,3,0.09375
"experience.67c7d97be1bcafdd7b0a8059","experience","10",27,19,3,0.111111111111111
"experience.67c7d97be1bcafdd7b0a8059","experience","20",26,15,2,0.0769230769230769
