"participant_id","condition","array_length","n_trials","mean_abs_resp","mean_abs_obj","ratio"
"average.67be4c756ba3a15a47e60356","average","20",2,11.1315789473684,11.1652631578947,1.00302600472813
"average.67d1ddb07de1caaaa343e133","average","2",6,12.4130434782609,7.39782608695652,0.595971978984238
"average.67d1ddb07de1caaaa343e133","average","10",4,10.7065217391304,9.29891304347826,0.868527918781726
"average.67d1ddb07de1caaaa343e133","average","20",10,12.4347826086957,8.54086956521739,0.686853146853147
"average.67e1dc9c35b6facf1079fb30","average","2",5,12.7488372093023,10.3383720930233,0.810926669098869
"average.67e1dc9c35b6facf1079fb30","average","10",8,12.1656976744186,8.31598837209302,0.683560334528077
"average.67e1dc9c35b6facf1079fb30","average","20",8,10.9796511627907,8.98401162790698,0.818241990998147
"average.67e467ad6bd6407f4c60fb77","average","2",7,11.2598784194529,8.92841945288754,0.792941017681199
"average.67e467ad6bd6407f4c60fb77","average","10",6,9.27304964539007,6.93297872340426,0.747648183556405
"average.67e467ad6bd6407f4c60fb77","average","20",4,16.0904255319149,9.25053191489362,0.574909090909091
"average.680d85e020df383491477a41","average","2",3,12.0537634408602,9.21254480286738,0.764287838239667
"average.680d85e020df383491477a41","average","10",3,8.17204301075269,7.16236559139785,0.876447368421053
"experience.56802e5fc5767f00121cc6a0","experience","2",8,13.075,4.92388888888889,0.37658806033567
"experience.56802e5fc5767f00121cc6a0","experience","10",7,12.4142857142857,8.3068253968254,0.66913438179261
"experience.56802e5fc5767f00121cc6a0","experience","20",8,14.55,7.32611111111111,0.503512791141657
"experience.56d39b96da2aaa000dab6178","experience","2",3,13,9.96312056737589,0.766393889798145
"experience.56d39b96da2aaa000dab6178","experience","10",3,10,8.97021276595745,0.897021276595745
"experience.56d39b96da2aaa000dab6178","experience","20",3,13,8.38936170212766,0.645335515548282
"experience.59014ee029f42300013cc5b7","experience","2",11,14.377033492823,7.39291866028708,0.514217252396166
"experience.59014ee029f42300013cc5b7","experience","10",11,14.3377990430622,8.95655502392345,0.624681305479544
"experience.59014ee029f42300013cc5b7","experience","20",13,14.4607287449393,8.24963562753037,0.570485469511171
"experience.5ae12548dee8590001b08925","experience","2",7,12.807881773399,8.25467980295567,0.6445
"experience.5ae12548dee8590001b08925","experience","10",5,19.3310344827586,10.0765517241379,0.521262932572244
"experience.5ae12548dee8590001b08925","experience","20",6,13.5,8.16666666666667,0.604938271604938
"experience.5baa535fa3c9170001156197","experience","2",5,10.7935483870968,9.81806451612903,0.909623430962343
"experience.5baa535fa3c9170001156197","experience","10",2,15.489247311828,11.2301075268817,0.72502603262756
"experience.5baa535fa3c9170001156197","experience","20",8,12.130376344086,9.73494623655914,0.802526315789474
"experience.5cd6c1197b871a0001b13589","experience","2",1,10.0957446808511,12.2797872340426,1.21633298208641
"experience.5cd6c1197b871a0001b13589","experience","10",1,10.9042553191489,6.52021276595745,0.597951219512195
"experience.5cd6c1197b871a0001b13589","experience","20",5,11.0957446808511,5.86787234042553,0.528839884947267
"experience.5d0c2e061c7a8f0016e3d263","experience","2",3,13.3763440860215,11.1430107526882,0.833038585209003
"experience.5d0c2e061c7a8f0016e3d263","experience","10",1,10.2903225806452,9.99032258064516,0.970846394984326
"experience.5d0c2e061c7a8f0016e3d263","experience","20",4,10.75,9,0.837209302325581
"experience.5d1a2f59d79f260017add4a3","experience","2",1,12.2978723404255,10.4595744680851,0.850519031141868
"experience.5d1a2f59d79f260017add4a3","experience","10",1,10.2978723404255,7.2595744680851,0.70495867768595
"experience.5d1a2f59d79f260017add4a3","experience","20",5,12.0978723404255,8.97574468085106,0.741927541329581
"experience.5d4a41890e604c00011ade8b","experience","2",8,14.4175531914894,7.08776595744681,0.491606714628297
"experience.5d4a41890e604c00011ade8b","experience","10",15,13.2716312056738,7.0581560283688,0.531822796986053
"experience.5d4a41890e604c00011ade8b","experience","20",7,15.6306990881459,7.15349544072948,0.457656781720953
"experience.5d4c78071b920f00198e8533","experience","2",8,14.0470430107527,9.31639784946237,0.663228399196249
"experience.5d4c78071b920f00198e8533","experience","10",7,10.3256528417819,7.29800307219662,0.706783695328771
"experience.5d4c78071b920f00198e8533","experience","20",3,16.3440860215054,7.88279569892473,0.482302631578947
"experience.5dd7d4d5d3ac2a92dfbb40d5","experience","10",2,15.1075268817204,9.14623655913979,0.605409252669039
"experience.5dd7d4d5d3ac2a92dfbb40d5","experience","20",2,11.6075268817204,4.44623655913978,0.383047707271885
"experience.5e0b388b15ef4037cebdecc9","experience","2",8,12.9637096774194,8.74758064516129,0.674774494556765
"experience.5e0b388b15ef4037cebdecc9","experience","10",7,13.2350230414747,8.5815668202765,0.648398328690808
"experience.5e0b388b15ef4037cebdecc9","experience","20",7,14.4792626728111,8.57004608294931,0.591884150222788
"experience.5f2f8574ff256b37b1970220","experience","2",4,15.1666666666667,8.17777777777778,0.539194139194139
"experience.5f2f8574ff256b37b1970220","experience","10",9,13.1481481481481,6.31975308641975,0.480657276995305
"experience.5f2f8574ff256b37b1970220","experience","20",7,13.2857142857143,7.26031746031746,0.54647550776583
"experience.5f7a28b8bedcf2112ebd1289","experience","2",3,16.7741935483871,7.57634408602151,0.451666666666667
"experience.5f7a28b8bedcf2112ebd1289","experience","10",11,11.1417399804497,8.39354838709678,0.753342691700298
"experience.5f7a28b8bedcf2112ebd1289","experience","20",8,15.8454301075269,7.45483870967742,0.470472474340487
"experience.60132d398c19b319aacdbbb2","experience","2",3,12.3118279569892,8.84731182795699,0.718602620087336
"experience.60132d398c19b319aacdbbb2","experience","10",12,14.3405017921147,7.82544802867384,0.545688577855536
"experience.60132d398c19b319aacdbbb2","experience","20",15,13.8623655913978,7.35648745519713,0.530680525390423
"experience.601478ee2d7cc94b1f1855ec","experience","2",9,14.780193236715,7.78442028985507,0.52667919594705
"experience.601478ee2d7cc94b1f1855ec","experience","10",13,12.0919732441472,7.40091973244147,0.612052274927396
"experience.601478ee2d7cc94b1f1855ec","experience","20",10,13.3608695652174,7.11760869565217,0.532720468597462
"experience.60fe0b73bbb479e45039b320","experience","2",13,13.3469721767594,5.79705400981997,0.434334763948498
"experience.60fe0b73bbb479e45039b320","experience","10",10,12.1425531914894,7.34553191489362,0.604941300157701
"experience.60fe0b73bbb479e45039b320","experience","20",6,12.0460992907801,5.19432624113475,0.431204003532529
"experience.610036d6b6496ca7c4dbdb1b","experience","2",9,15.4082125603865,7.58454106280193,0.492240163034958
"experience.610036d6b6496ca7c4dbdb1b","experience","10",5,13.4130434782609,9.06956521739131,0.676175040518639
"experience.610036d6b6496ca7c4dbdb1b","experience","20",8,11.875,9.25,0.778947368421053
"experience.61082e086188b2dd15182697","experience","2",3,15.290780141844,5.35851063829787,0.350440630797774
"experience.61082e086188b2dd15182697","experience","10",2,11.1276595744681,9.22446808510638,0.828967495219885
"experience.61082e086188b2dd15182697","experience","20",5,11.0765957446809,7.45468085106383,0.673011909335382
"experience.636d4527078f3ccc1f713265","experience","2",11,13.600956937799,7.58401913875598,0.557609230985717
"experience.636d4527078f3ccc1f713265","experience","10",16,16.2013157894737,6.98118421052632,0.430902298383822
"experience.636d4527078f3ccc1f713265","experience","20",17,16.1362229102167,6.53981424148607,0.405287797390637
"experience.63d13f416b2c25038c13007f","experience","2",8,12.375,8.125,0.656565656565657
"experience.63d13f416b2c25038c13007f","experience","10",5,12.3644444444444,8.92333333333334,0.721693026599569
"experience.63d13f416b2c25038c13007f","experience","20",11,13.4646464646465,7.68939393939394,0.571080270067517
"experience.6400e07f37c248e81cbc9d41","experience","2",10,13.8112359550562,8.44134831460674,0.61119427269769
"experience.6400e07f37c248e81cbc9d41","experience","10",8,13.1390449438202,9.37668539325843,0.713650454302512
"experience.6400e07f37c248e81cbc9d41","experience","20",2,13.4438202247191,7.29325842696629,0.542498955286251
"experience.641363c9b6f7b3cb23a301f1","experience","2",10,15.1273684210526,8.89726315789474,0.588156704474289
"experience.641363c9b6f7b3cb23a301f1","experience","10",9,12.1590643274854,5.6174269005848,0.461994998076183
"experience.641363c9b6f7b3cb23a301f1","experience","20",9,12.7298245614035,7.47298245614035,0.587045203969129
"experience.6428c3d1aeb8d1cbe7e8cb78","experience","2",8,13.5171052631579,7.99657894736842,0.591589603815828
"experience.6428c3d1aeb8d1cbe7e8cb78","experience","10",9,11.4923976608187,7.63485380116959,0.664339507429269
"experience.6428c3d1aeb8d1cbe7e8cb78","experience","20",6,12,8.5,0.708333333333333
"experience.642f6ac1b10ead55a45175ab","experience","2",6,14.820788530466,8.65376344086022,0.583893591293833
"experience.642f6ac1b10ead55a45175ab","experience","10",1,14.4623655913978,9.26129032258065,0.640371747211896
"experience.642f6ac1b10ead55a45175ab","experience","20",11,12.6783968719453,7.90557184750733,0.623546646106399
"experience.6463e139c1cfbd6321e08714","experience","2",2,20.4204545454545,6,0.293823038397329
"experience.6463e139c1cfbd6321e08714","experience","10",2,16,3.43409090909091,0.214630681818182
"experience.6463e139c1cfbd6321e08714","experience","20",10,12.7840909090909,8.08045454545455,0.632071111111111
