"participant_id","condition","variance_level","n_trials","n_eligible","n_exaggerated","prop_exagg"
"average.69b9174a05fa2db6d0a8b4ff","average","5",71,32,13,0.183098591549296
"average.69b9174a05fa2db6d0a8b4ff","average","7",67,29,9,0.134328358208955
"average.69bb5d0e58b8b38af6ea30eb","average","3",71,33,8,0.112676056338028
"average.69bb5d0e58b8b38af6ea30eb","average","5",70,38,8,0.114285714285714
"average.69bb5d0e58b8b38af6ea30eb","average","7",69,32,3,0.0434782608695652
"average.69bc4a5a75e354d36da3b4df","average","3",69,36,11,0.159420289855072
"average.69bc4a5a75e354d36da3b4df","average","5",68,36,8,0.117647058823529
"average.69bc4a5a75e354d36da3b4df","average","7",71,27,9,0.126760563380282
"average.69bdd52e962f286c3349b154","average","3",69,35,5,0.072463768115942
"average.69bdd52e962f286c3349b154","average","5",72,36,1,0.0138888888888889
"average.69bdd52e962f286c3349b154","average","7",71,32,1,0.0140845070422535
"average.69c07518ef8c7765906f4e89","average","3",69,36,11,0.159420289855072
"average.69c07518ef8c7765906f4e89","average","5",72,33,5,0.0694444444444444
"average.69c07518ef8c7765906f4e89","average","7",67,34,5,0.0746268656716418
"average.69c19681729c357296460f3d","average","3",72,36,19,0.263888888888889
"average.69c19681729c357296460f3d","average","5",71,30,10,0.140845070422535
"average.69c19681729c357296460f3d","average","7",68,37,13,0.191176470588235
"average.69c1aaedff8c0b25b7df1d32","average","3",70,35,24,0.342857142857143
"average.69c1aaedff8c0b25b7df1d32","average","5",72,36,23,0.319444444444444
"average.69c1aaedff8c0b25b7df1d32","average","7",71,35,8,0.112676056338028
"experience.558955ebfdf99b6bd06016c9","experience","3",68,44,15,0.220588235294118
"experience.558955ebfdf99b6bd06016c9","experience","5",71,39,9,0.126760563380282
"experience.558955ebfdf99b6bd06016c9","experience","7",71,19,4,0.0563380281690141
"experience.56c79f6cc41c43000c0886b0","experience","3",71,36,12,0.169014084507042
"experience.56c79f6cc41c43000c0886b0","experience","5",70,30,8,0.114285714285714
"experience.56c79f6cc41c43000c0886b0","experience","7",70,37,4,0.0571428571428571
"experience.5711c09d28742b0011c585be","experience","3",71,25,6,0.0845070422535211
"experience.5711c09d28742b0011c585be","experience","5",70,40,4,0.0571428571428571
"experience.5711c09d28742b0011c585be","experience","7",69,37,5,0.072463768115942
"experience.5a5aabd3acc75b00017a5300","experience","3",71,31,0,0
"experience.5a5aabd3acc75b00017a5300","experience","5",68,34,2,0.0294117647058824
"experience.5a5aabd3acc75b00017a5300","experience","7",71,40,2,0.028169014084507
"experience.5a792c898fe2dc0001058c3b","experience","3",71,35,19,0.267605633802817
"experience.5a792c898fe2dc0001058c3b","experience","5",72,37,11,0.152777777777778
"experience.5a792c898fe2dc0001058c3b","experience","7",68,34,13,0.191176470588235
"experience.5b0d1b8e444cef0001ca66ac","experience","3",70,40,12,0.171428571428571
"experience.5b0d1b8e444cef0001ca66ac","experience","5",70,32,10,0.142857142857143
"experience.5b0d1b8e444cef0001ca66ac","experience","7",71,31,6,0.0845070422535211
"experience.5bb58e338f3bd70001e5df57","experience","3",70,35,15,0.214285714285714
"experience.5bb58e338f3bd70001e5df57","experience","5",71,36,11,0.154929577464789
"experience.5bb58e338f3bd70001e5df57","experience","7",70,32,7,0.1
"experience.5c223d4a4a7e1f000137e5b9","experience","3",72,36,20,0.277777777777778
"experience.5c223d4a4a7e1f000137e5b9","experience","5",69,42,15,0.217391304347826
"experience.5c223d4a4a7e1f000137e5b9","experience","7",71,25,10,0.140845070422535
"experience.5d0c46b3dff7d70019e6dda7","experience","3",72,32,6,0.0833333333333333
"experience.5d0c46b3dff7d70019e6dda7","experience","5",70,36,3,0.0428571428571429
"experience.5d0c46b3dff7d70019e6dda7","experience","7",70,37,6,0.0857142857142857
"experience.5d4611bb3c5a360001b1bb59","experience","3",71,34,11,0.154929577464789
"experience.5d4611bb3c5a360001b1bb59","experience","5",72,39,5,0.0694444444444444
"experience.5d4611bb3c5a360001b1bb59","experience","7",70,30,6,0.0857142857142857
"experience.5e991aaac7bc1615ea5b3eb8","experience","3",69,35,6,0.0869565217391304
"experience.5e991aaac7bc1615ea5b3eb8","experience","5",69,35,5,0.072463768115942
"experience.5e991aaac7bc1615ea5b3eb8","experience","7",71,35,1,0.0140845070422535
"experience.5ebb96b6cd673a0008ace9ce","experience","3",72,27,8,0.111111111111111
"experience.5ebb96b6cd673a0008ace9ce","experience","5",70,36,4,0.0571428571428571
"experience.5ebb96b6cd673a0008ace9ce","experience","7",72,43,7,0.0972222222222222
"experience.5f16f559325a640008bb9a07","experience","3",68,33,15,0.220588235294118
"experience.5f16f559325a640008bb9a07","experience","5",71,38,16,0.225352112676056
"experience.5f16f559325a640008bb9a07","experience","7",69,30,9,0.130434782608696
"experience.5fb809a247aaee22c2a204fc","experience","3",70,39,13,0.185714285714286
"experience.5fb809a247aaee22c2a204fc","experience","5",69,28,13,0.188405797101449
"experience.5fb809a247aaee22c2a204fc","experience","7",71,35,12,0.169014084507042
"experience.608f39d2c76e436967135846","experience","3",71,38,6,0.0845070422535211
"experience.608f39d2c76e436967135846","experience","5",69,33,3,0.0434782608695652
"experience.608f39d2c76e436967135846","experience","7",71,34,3,0.0422535211267606
"experience.610c83598db46d4d46de2c61","experience","3",70,37,14,0.2
"experience.610c83598db46d4d46de2c61","experience","5",70,35,4,0.0571428571428571
"experience.610c83598db46d4d46de2c61","experience","7",68,31,3,0.0441176470588235
"experience.6120602a67554358bbd53c9d","experience","3",71,41,13,0.183098591549296
"experience.6120602a67554358bbd53c9d","experience","5",69,27,4,0.0579710144927536
"experience.6120602a67554358bbd53c9d","experience","7",72,36,4,0.0555555555555556
"experience.6172cf92f2ea6613f717abb6","experience","3",64,29,5,0.078125
"experience.6172cf92f2ea6613f717abb6","experience","5",63,33,7,0.111111111111111
"experience.6172cf92f2ea6613f717abb6","experience","7",65,35,8,0.123076923076923
"experience.62e174454a461d00781acfe1","experience","3",70,37,13,0.185714285714286
"experience.62e174454a461d00781acfe1","experience","5",68,32,11,0.161764705882353
"experience.62e174454a461d00781acfe1","experience","7",70,33,9,0.128571428571429
"experience.6329e23d509947bfd4c50ab3","experience","3",69,36,23,0.333333333333333
"experience.6329e23d509947bfd4c50ab3","experience","5",72,37,15,0.208333333333333
"experience.6329e23d509947bfd4c50ab3","experience","7",70,32,8,0.114285714285714
"experience.63d92dacc885e6167a4a486c","experience","3",70,30,3,0.0428571428571429
"experience.63d92dacc885e6167a4a486c","experience","5",72,36,4,0.0555555555555556
"experience.63d92dacc885e6167a4a486c","experience","7",68,36,3,0.0441176470588235
"experience.64badb09518eb5b219132eea","experience","3",70,40,27,0.385714285714286
"experience.64badb09518eb5b219132eea","experience","5",70,34,16,0.228571428571429
"experience.64badb09518eb5b219132eea","experience","7",71,31,10,0.140845070422535
"experience.65181c2f753b188afdddd2c4","experience","3",71,38,8,0.112676056338028
"experience.65181c2f753b188afdddd2c4","experience","5",71,35,5,0.0704225352112676
"experience.65181c2f753b188afdddd2c4","experience","7",69,31,3,0.0434782608695652
"experience.655f8b959477c803eb906622","experience","3",70,34,15,0.214285714285714
"experience.655f8b959477c803eb906622","experience","5",71,35,9,0.126760563380282
"experience.655f8b959477c803eb906622","experience","7",71,34,4,0.0563380281690141
"experience.655fd05c12d38751dfa91559","experience","3",72,35,9,0.125
"experience.655fd05c12d38751dfa91559","experience","5",68,36,5,0.0735294117647059
"experience.655fd05c12d38751dfa91559","experience","7",70,32,6,0.0857142857142857
"experience.6599b15ac5bd63ec64f8b1f5","experience","3",70,35,5,0.0714285714285714
"experience.6599b15ac5bd63ec64f8b1f5","experience","5",70,35,8,0.114285714285714
"experience.6599b15ac5bd63ec64f8b1f5","experience","7",71,34,6,0.0845070422535211
"experience.65cce024500351e8c8f7ff26","experience","3",72,39,7,0.0972222222222222
"experience.65cce024500351e8c8f7ff26","experience","5",70,32,4,0.0571428571428571
"experience.65cce024500351e8c8f7ff26","experience","7",71,35,6,0.0845070422535211
"experience.6639151df5e0ac5d59c17055","experience","3",68,32,13,0.191176470588235
"experience.6639151df5e0ac5d59c17055","experience","5",71,33,16,0.225352112676056
"experience.6639151df5e0ac5d59c17055","experience","7",69,36,13,0.188405797101449
"experience.6650ecda2657647b60a302eb","experience","3",70,34,14,0.2
"experience.6650ecda2657647b60a302eb","experience","5",68,36,10,0.147058823529412
"experience.6650ecda2657647b60a302eb","experience","7",70,33,4,0.0571428571428571
"experience.66573c811d17794993965781","experience","3",69,33,13,0.188405797101449
"experience.66573c811d17794993965781","experience","5",71,38,12,0.169014084507042
"experience.66573c811d17794993965781","experience","7",71,33,14,0.197183098591549
"experience.66613916abcfcbe01b57b32a","experience","3",69,37,7,0.101449275362319
"experience.66613916abcfcbe01b57b32a","experience","5",71,37,0,0
"experience.66613916abcfcbe01b57b32a","experience","7",70,29,2,0.0285714285714286
"experience.66789a1e138a59bb4ad16fa5","experience","3",69,28,7,0.101449275362319
"experience.66789a1e138a59bb4ad16fa5","experience","5",71,40,8,0.112676056338028
"experience.66789a1e138a59bb4ad16fa5","experience","7",70,35,2,0.0285714285714286
"experience.66d8e14e71c04a7d23ff43c9","experience","3",65,32,11,0.169230769230769
"experience.66d8e14e71c04a7d23ff43c9","experience","5",66,28,9,0.136363636363636
"experience.66d8e14e71c04a7d23ff43c9","experience","7",70,36,17,0.242857142857143
"experience.66fcd1c4584eed5dbd49859c","experience","3",68,33,1,0.0147058823529412
"experience.66fcd1c4584eed5dbd49859c","experience","5",68,34,2,0.0294117647058824
"experience.66fcd1c4584eed5dbd49859c","experience","7",71,33,1,0.0140845070422535
"experience.6716283de5fe806da4523e16","experience","3",69,34,9,0.130434782608696
"experience.6716283de5fe806da4523e16","experience","5",72,33,8,0.111111111111111
"experience.6716283de5fe806da4523e16","experience","7",70,35,14,0.2
"experience.67352889b3b5e7bc6bb4981b","experience","3",69,46,5,0.072463768115942
"experience.67352889b3b5e7bc6bb4981b","experience","5",70,19,1,0.0142857142857143
"experience.67352889b3b5e7bc6bb4981b","experience","7",69,36,0,0
"experience.675758f40df8b09c8aa98ad0","experience","3",69,35,8,0.115942028985507
"experience.675758f40df8b09c8aa98ad0","experience","5",70,32,1,0.0142857142857143
"experience.675758f40df8b09c8aa98ad0","experience","7",68,38,2,0.0294117647058824
"experience.67df65cf111af9caf43e00a5","experience","3",69,33,20,0.289855072463768
"experience.67df65cf111af9caf43e00a5","experience","5",71,37,16,0.225352112676056
"experience.67df65cf111af9caf43e00a5","experience","7",71,32,8,0.112676056338028
"experience.68dc82cf2d34a90250ee5972","experience","3",68,34,11,0.161764705882353
"experience.68dc82cf2d34a90250ee5972","experience","5",66,39,13,0.196969696969697
"experience.68dc82cf2d34a90250ee5972","experience","7",68,26,9,0.132352941176471
"experience.697ed59824964096e537d7d3","experience","3",71,30,10,0.140845070422535
"experience.697ed59824964096e537d7d3","experience","5",71,37,9,0.126760563380282
"experience.697ed59824964096e537d7d3","experience","7",67,33,9,0.134328358208955
"experience.698ce63b43f959c040a1a38c","experience","3",71,39,7,0.0985915492957746
"experience.698ce63b43f959c040a1a38c","experience","5",69,30,7,0.101449275362319
"experience.698ce63b43f959c040a1a38c","experience","7",69,33,7,0.101449275362319
"experience.698e495c1fc8060e7080c7b9","experience","3",69,33,17,0.246376811594203
"experience.698e495c1fc8060e7080c7b9","experience","5",69,38,19,0.27536231884058
"experience.698e495c1fc8060e7080c7b9","experience","7",69,30,9,0.130434782608696
"experience.699085db00ce46f1d7f46540","experience","3",72,39,16,0.222222222222222
"experience.699085db00ce46f1d7f46540","experience","5",70,34,10,0.142857142857143
"experience.699085db00ce46f1d7f46540","experience","7",71,31,13,0.183098591549296
"experience.6995ebe917abe5d36a3b17e0","experience","3",71,36,17,0.23943661971831
"experience.6995ebe917abe5d36a3b17e0","experience","5",71,35,9,0.126760563380282
"experience.6995ebe917abe5d36a3b17e0","experience","7",69,35,15,0.217391304347826
"experience.6997463b53dc974a895c3f7d","experience","3",69,43,13,0.188405797101449
"experience.6997463b53dc974a895c3f7d","experience","5",69,28,4,0.0579710144927536
"experience.6997463b53dc974a895c3f7d","experience","7",72,34,7,0.0972222222222222
"experience.69ab40ce103bf88603a63252","experience","3",68,42,28,0.411764705882353
"experience.69ab40ce103bf88603a63252","experience","5",70,24,15,0.214285714285714
"experience.69ab40ce103bf88603a63252","experience","7",69,33,20,0.289855072463768
"experience.69adbd35d535ed1bd0cdce42","experience","3",69,29,6,0.0869565217391304
"experience.69adbd35d535ed1bd0cdce42","experience","5",71,33,8,0.112676056338028
"experience.69adbd35d535ed1bd0cdce42","experience","7",70,41,17,0.242857142857143
"experience.69b9a9800190f414ab589c05","experience","3",70,36,18,0.257142857142857
"experience.69b9a9800190f414ab589c05","experience","5",71,34,13,0.183098591549296
"experience.69b9a9800190f414ab589c05","experience","7",71,35,16,0.225352112676056
"experience.69b9bede6c5d94595aa6f31f","experience","3",71,37,19,0.267605633802817
"experience.69b9bede6c5d94595aa6f31f","experience","5",70,33,10,0.142857142857143
"experience.69b9bede6c5d94595aa6f31f","experience","7",71,35,11,0.154929577464789
"experience.69bf4d1a17c6fd5e56da4309","experience","3",70,36,12,0.171428571428571
"experience.69bf4d1a17c6fd5e56da4309","experience","5",70,35,10,0.142857142857143
"experience.69bf4d1a17c6fd5e56da4309","experience","7",69,32,8,0.115942028985507
