"z","experiment","participant_id","condition","variance_level","n_trials","slope_fwd","slope_rev","r","bias","abs_error","sd_response","sd_objective","mean_rt"
1.07222814697705,"exp4","average.69854f587004c7ca1ef67ab5","average","5",69,0.880338436744561,0.709468998230621,0.790299202088092,0.72463768115942,3.44927536231884,6.72983711447631,6.04152298679729,1435.01449275362
0.977704057444235,"exp4","average.69854f587004c7ca1ef67ab5","average","7",72,0.691215472603605,0.818282785134558,0.752070290631253,1.58333333333333,3.80555555555556,6.05271573445576,6.5855986475161,1262.81944444444
1.02472217473029,"exp4","average.69864918d688ba39aab5c4a9","average","3",69,1.00715875494137,0.591415083911491,0.771782922566859,-1.07246376811594,4.3768115942029,8.09662975995171,6.20442462364448,2104.21739130435
1.08548852280099,"exp4","average.69864918d688ba39aab5c4a9","average","5",66,0.797756971574835,0.792702244433537,0.795225591816482,0.212121212121212,3.18181818181818,6.46467900147212,6.44416578986549,2016.68181818182
0.812465178590475,"exp4","average.69864918d688ba39aab5c4a9","average","7",71,0.61152476182302,0.736145371889086,0.670947928837694,-0.563380281690141,3.66197183098592,5.58198453131564,6.12439788852601,2176.02816901408
0.912350507327642,"exp4","average.698a3d827015c99ab3f87957","average","3",70,0.643249403684298,0.810972159528002,0.722258511906198,-5.54285714285714,5.97142857142857,5.70657606205042,6.40750401173932,1304.12857142857
1.00376661332965,"exp4","average.698a3d827015c99ab3f87957","average","5",69,0.645634577258837,0.902105875330956,0.763171504618729,-5.79710144927536,6.08695652173913,5.27750780781531,6.23827117721548,1270.57971014493
0.547393860352788,"exp4","average.698a3d827015c99ab3f87957","average","7",70,0.352447226217782,0.705258712660028,0.498564416141937,-5.18571428571429,6.15714285714286,4.3162747529868,6.10571127264691,1293.98571428571
1.0001738504384,"exp4","average.699288bfa36a91c33ada5723","average","3",71,0.940064778317598,0.617124345575994,0.761667159012576,-5.29577464788732,6.19718309859155,7.75788039669967,6.28565483783851,1563.15492957746
0.926227983893826,"exp4","average.699288bfa36a91c33ada5723","average","5",70,0.733331921270433,0.724356526787629,0.728830407896069,-5.28571428571429,5.57142857142857,6.2915533767377,6.25293305918511,1571.87142857143
0.657933247761091,"exp4","average.699288bfa36a91c33ada5723","average","7",70,0.457328812019675,0.727951627081605,0.576986354102954,-4.88571428571429,5.82857142857143,5.02006326620366,6.33353492105896,1593.2
1.5214965617244,"exp4","average.6998845b8b98b147215b19e5","average","3",69,1.11947030417683,0.738031941080325,0.908958107710916,0.0144927536231884,2.71014492753623,8.05837081260553,6.5430243729822,1717.53623188406
1.29619925926463,"exp4","average.6998845b8b98b147215b19e5","average","5",72,1.02162771352671,0.725191712094719,0.860741512125359,-0.0277777777777778,2.94444444444444,7.16591599955484,6.03742566059399,1809.43055555556
1.21829017041053,"exp4","average.6998845b8b98b147215b19e5","average","7",72,0.883323305517043,0.79718397642926,0.839149083992061,0.347222222222222,2.90277777777778,6.43658119383176,6.11469343003793,1749.29166666667
1.29856986090834,"exp4","average.699f3d1a77d51612aeaf5766","average","3",72,1.30044628626076,0.570520790768108,0.861354540005994,-1.48611111111111,4.26388888888889,9.46155014479181,6.26688642107949,1865.09722222222
1.18645123768903,"exp4","average.699f3d1a77d51612aeaf5766","average","5",70,0.962924464820093,0.714520005196155,0.82947501083924,-1.47142857142857,3.32857142857143,7.1415154019315,6.15178945166014,1903.11428571429
0.977735634597001,"exp4","average.699f3d1a77d51612aeaf5766","average","7",69,0.846535824071884,0.668170605037653,0.752084007113673,-2.63768115942029,4.43478260869565,7.24765888061703,6.43900491642346,1855.92753623188
1.27871947421959,"exp4","average.699fc622b54af00bf1380eba","average","3",71,1.44282079888228,0.508019751092184,0.856143365984226,-2.14084507042254,5.40845070422535,10.4696552996054,6.21250118922781,1893.14084507042
1.21352676101881,"exp4","average.699fc622b54af00bf1380eba","average","5",70,1.13597760149323,0.617792756212441,0.837734285690936,-2.47142857142857,4.07142857142857,7.82224888633388,5.76856979809796,1806.07142857143
1.36424612521652,"exp4","average.699fc622b54af00bf1380eba","average","7",70,1.11196514525979,0.692274891621064,0.877374236241938,-0.285714285714286,3.25714285714286,8.36169913488642,6.59763430844033,1733.91428571429
1.16972896113927,"exp4","average.69a30af34cf4575fd785090b","average","3",71,1.45939972470596,0.465452566207438,0.824185262539205,0.366197183098592,5.26760563380282,10.6183092319669,5.9966120548874,1792.57746478873
1.01616740185275,"exp4","average.69a30af34cf4575fd785090b","average","5",71,1.07266964294001,0.550296407399472,0.76830088561472,1.12676056338028,4.42253521126761,9.19309950293289,6.58456826492159,1713
0.838418826999878,"exp4","average.69a30af34cf4575fd785090b","average","7",69,1.00665022110564,0.466085235616424,0.684970660311336,-0.260869565217391,5.47826086956522,8.99917112788268,6.12344592042128,1671.86956521739
1.18417654288719,"exp4","average.69a4b67351c86f1665010c28","average","3",65,0.989934808627671,0.693833385391103,0.828764031306034,2.03076923076923,3.63076923076923,7.33979537547513,6.14480706337911,3218.26153846154
1.02798515465677,"exp4","average.69a4b67351c86f1665010c28","average","5",66,0.818873306394105,0.729883424741305,0.773098993208609,1.59090909090909,3.74242424242424,6.95769768742198,6.56876837380631,3279.43939393939
0.921146685810763,"exp4","average.69a4b67351c86f1665010c28","average","7",68,0.702630405706643,0.751055235328825,0.726439429482727,1.73529411764706,3.64705882352941,6.21999381755562,6.43076178245795,3427.69117647059
0.987911259152152,"exp4","average.69a54b53983c2fc21935a276","average","3",71,1.43914443942134,0.397630185238387,0.756470270421714,-4.84507042253521,8.11267605633803,11.3519868584228,5.96704565114236,1671.84507042254
0.879558445422016,"exp4","average.69a54b53983c2fc21935a276","average","5",68,1.44339140534262,0.345516591653255,0.706198045023905,-2.05882352941176,7.76470588235294,11.7540178623606,5.75080633350782,1513.23529411765
0.987460206368202,"exp4","average.69a54b53983c2fc21935a276","average","7",65,1.23457731606903,0.463280261915054,0.756277265520288,-2.29230769230769,6.26153846153846,10.9599796462472,6.71386338395871,1628.73846153846
1.32847177096267,"exp4","average.69aa203bc67c0093e96b9875","average","3",71,1.17523361926359,0.642378098072444,0.868875328878281,-0.507042253521127,3.04225352112676,8.19773242436031,6.06075876278574,1790.69014084507
1.44892644859106,"exp4","average.69aa203bc67c0093e96b9875","average","5",70,1.17060648197668,0.685016821844926,0.895480391697516,1.35714285714286,3.12857142857143,8.13352594551823,6.22191412034199,1695.1
1.31346962786869,"exp4","average.69aa203bc67c0093e96b9875","average","7",72,1.08304361567636,0.691094724900738,0.865150697642528,0.972222222222222,3.11111111111111,7.87892535747943,6.2937980253361,1747.48611111111
1.13804456812992,"exp4","average.69ac80094c5494db959077d6","average","3",68,0.822326497508979,0.805272040504701,0.813754592374224,-1.48529411764706,3.13235294117647,6.81389055368605,6.74286277627436,2268.61764705882
0.773769074124002,"exp4","average.69ac80094c5494db959077d6","average","5",69,0.606861685214627,0.694311865196007,0.649115758996313,-2.04347826086957,3.84057971014493,5.41232529807104,5.78917029924178,2393.26086956522
